figure_id,dataset_quality,selection_rank,dataset,task,label_name,selection_rule,frac_nonclean,frac_audit_clean,source_config,source_cliffs,source_records,kind,split_A,id_A,smiles_A,activity_A,split_B,id_B,smiles_B,activity_B,activity_delta,activity_delta_abs,tanimoto,scaffold_tanimoto,levenshtein_sim,max_similarity,valid_A,comment_A,n_reos_warnings_A,inchi_A,valid_B,comment_B,n_reos_warnings_B,inchi_B
C01,best,1,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,78,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,1.0,train,797,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1ccco1,0.0,1.0,1.0,0.8676470588235294,1.0,0.9830508474576272,1.0,True,"imine, Oxygen-nitrogen single bond",2.0,"InChI=1S/C16H16N4O8S/c1-26-19-9(8-3-2-4-27-8)12(21)18-10-13(22)20-11(15(23)24)7(5-28-16(17)25)6-29-14(10)20/h2-4,10,14H,5-6H2,1H3,(H2,17,25)(H,18,21)(H,23,24)/b19-9-/t10-,14-/m1/s1",True,"imine, Oxygen-nitrogen single bond",2.0,"InChI=1S/C17H17N3O8S/c1-8(21)28-6-9-7-29-16-12(15(23)20(16)13(9)17(24)25)18-14(22)11(19-26-2)10-4-3-5-27-10/h3-5,12,16H,6-7H2,1-2H3,(H,18,22)(H,24,25)/b19-11-/t12-,16-/m1/s1"
C02,best,2,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,130,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,train,1762,CC1CC2C3CC=C4CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)[C@@]1(O)C(=O)CCl,1.0,-1.0,1.0,0.85,1.0,0.8187919463087249,1.0,True,isolated alkene,1.0,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1",True,"alkyl halide, isolated alkene",2.0,"InChI=1S/C22H28ClFO4/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,24)17(26)10-20(16,3)22(12,28)18(27)11-23/h6-7,9,12,15-17,26,28H,4-5,8,10-11H2,1-3H3/t12?,15?,16?,17?,19?,20?,21-,22-/m0/s1"
C03,best,3,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,54,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.0,train,945,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.0,1.0,1.0,0.8461538461538461,0.8148148148148148,0.9614035087719298,0.9614035087719298,True,"> 2 ester groups, isolated alkene",2.0,"InChI=1S/C46H58N4O9/c1-8-42(54)23-28-24-45(40(52)57-6,36-30(15-19-49(25-28)26-42)29-13-10-11-14-33(29)47-36)32-21-31-34(22-35(32)56-5)48(4)38-44(31)17-20-50-18-12-16-43(9-2,37(44)50)39(59-27(3)51)46(38,55)41(53)58-7/h10-14,16,21-22,28,37-39,47,54-55H,8-9,15,17-20,23-26H2,1-7H3/t28-,37+,38-,39-,42+,43-,44-,45+,46+/m1/s1",True,isolated alkene,1.0,"InChI=1S/C43H55N5O7/c1-6-39(52)21-25-22-42(38(51)55-5,33-27(13-17-47(23-25)24-39)26-11-8-9-12-30(26)45-33)29-19-28-31(20-32(29)54-4)46(3)35-41(28)15-18-48-16-10-14-40(7-2,34(41)48)36(49)43(35,53)37(44)50/h8-12,14,19-20,25,34-36,45,49,52-53H,6-7,13,15-18,21-24H2,1-5H3,(H2,44,50)/t25-,34+,35-,36-,39+,40-,41-,42+,43+/m1/s1"
C04,best,4,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,5,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,1.0,train,817,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,0.0,1.0,1.0,0.8387096774193549,0.8085106382978723,0.967741935483871,0.967741935483871,True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H18ClN3O5S/c1-8-11(12(22-28-8)9-6-4-5-7-10(9)20)15(24)21-13-16(25)23-14(18(26)27)19(2,3)29-17(13)23/h4-7,13-14,17H,1-3H3,(H,21,24)(H,26,27)/t13-,14+,17-/m1/s1",True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H17Cl2N3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1"
C05,best,5,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,264,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.0,train,1623,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CS,1.0,-1.0,1.0,0.8363636363636363,1.0,0.9868421052631579,1.0,True,"((2, 'molecule has an stereo bond to a stereocenter'), (2, 'molecule has a stereo bond in a ring'))",0.0,"InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",True,thiol,1.0,"InChI=1S/C21H30O4S/c1-19-7-5-13(22)9-12(19)3-4-14-15-6-8-21(25,17(24)11-26)20(15,2)10-16(23)18(14)19/h9,14-16,18,23,25-26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1"
C06,best,6,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,891,CN(C)C1C(=O)C(C(=O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.0,valid,7,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1.0,-1.0,1.0,0.8289473684210527,0.8727272727272727,0.9533678756476685,0.9533678756476685,True,beta-keto/anhydride,1.0,"InChI=1S/C29H35N3O10/c1-28(41)14-7-4-8-17(33)18(14)22(34)19-15(28)10-16-21(31(2)3)23(35)20(25(37)29(16,42)24(19)36)26(38)30-12-32-9-5-6-13(11-32)27(39)40/h4,7-8,13,15-16,21,30,33-34,38,41-42H,5-6,9-12H2,1-3H3,(H,39,40)/b26-20-/t13?,15-,16-,21-,28+,29-/m0/s1",True,beta-keto/anhydride,1.0,"InChI=1S/C27H33N3O8/c1-26(37)13-7-6-8-16(31)17(13)21(32)18-14(26)11-15-20(29(2)3)22(33)19(24(35)27(15,38)23(18)34)25(36)28-12-30-9-4-5-10-30/h6-8,14-15,20,28,31-32,36-38H,4-5,9-12H2,1-3H3/b25-19-/t14-,15-,20-,26+,27-/m0/s1"
C07,best,7,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,130,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,train,1809,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(C)C(=O)CO,1.0,-1.0,1.0,0.8166666666666667,1.0,0.9826589595375722,1.0,True,isolated alkene,1.0,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1",True,isolated alkene,1.0,"InChI=1S/C23H31FO4/c1-13-9-17-16-6-5-14-10-15(26)7-8-20(14,2)23(16,24)18(27)11-21(17,3)22(13,4)19(28)12-25/h7-8,10,13,16-18,25,27H,5-6,9,11-12H2,1-4H3/t13-,16+,17+,18+,20+,21+,22-,23+/m1/s1"
C08,best,8,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,626,CC[C@H](NC(=O)c1c(OCCCN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1.0,train,628,CC[C@H](NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.0,1.0,1.0,0.7966101694915254,1.0,0.9411764705882353,1.0,True,Aliphatic long chain,1.0,"InChI=1S/C30H33N3O2/c1-4-25(22-14-7-5-8-15-22)32-30(34)27-24-18-11-12-19-26(24)31-28(23-16-9-6-10-17-23)29(27)35-21-13-20-33(2)3/h5-12,14-19,25H,4,13,20-21H2,1-3H3,(H,32,34)/t25-/m0/s1",True,Aliphatic long chain,1.0,"InChI=1S/C29H28N2O4/c1-2-23(20-12-5-3-6-13-20)31-29(34)26-22-16-9-10-17-24(22)30-27(21-14-7-4-8-15-21)28(26)35-19-11-18-25(32)33/h3-10,12-17,23H,2,11,18-19H2,1H3,(H,31,34)(H,32,33)/t23-/m0/s1"
C09,best,9,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,5,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,1.0,train,148,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,0.0,1.0,1.0,0.7903225806451613,0.7916666666666666,0.9830508474576272,0.9830508474576272,True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H18ClN3O5S/c1-8-11(12(22-28-8)9-6-4-5-7-10(9)20)15(24)21-13-16(25)23-14(18(26)27)19(2,3)29-17(13)23/h4-7,13-14,17H,1-3H3,(H,21,24)(H,26,27)/t13-,14+,17-/m1/s1",True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H19N3O5S/c1-9-11(12(21-27-9)10-7-5-4-6-8-10)15(23)20-13-16(24)22-14(18(25)26)19(2,3)28-17(13)22/h4-8,13-14,17H,1-3H3,(H,20,23)(H,25,26)/t13-,14+,17-/m1/s1"
C10,best,10,moleculenet/MoleculeNet-BBBP,classification,p_np,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.0292682926829268,0.9707317073170731,configs/moleculenet/bbbp.yaml,runs/moleculenet/MoleculeNet-BBBP/cliffs.jsonl,runs/moleculenet/MoleculeNet-BBBP/records.csv,intra_tv,train,5,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,1.0,train,238,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,0.0,1.0,1.0,0.7878787878787878,0.8085106382978723,0.975609756097561,0.975609756097561,True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H18ClN3O5S/c1-8-11(12(22-28-8)9-6-4-5-7-10(9)20)15(24)21-13-16(25)23-14(18(26)27)19(2,3)29-17(13)23/h4-7,13-14,17H,1-3H3,(H,21,24)(H,26,27)/t13-,14+,17-/m1/s1",True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H17ClFN3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1"
