task_type,metric,model,scenario,spearman_fraction_expected_effect,p_spearman,monotone_expected_direction
classification,pr_auc,lgbm,cliffs,0.9642857142857145,0.0004541491691941689,True
classification,pr_auc,lgbm,conflicts,1.0,0.0,True
classification,pr_auc,lgbm,contamination,1.0,0.0,True
classification,pr_auc,lgbm,random_label_noise,1.0,0.0,True
classification,pr_auc,rf,cliffs,0.9642857142857145,0.0004541491691941689,True
classification,pr_auc,rf,conflicts,1.0,0.0,True
classification,pr_auc,rf,contamination,1.0,0.0,True
classification,pr_auc,rf,random_label_noise,1.0,0.0,True
classification,pr_auc,torch_mlp,cliffs,1.0,0.0,True
classification,pr_auc,torch_mlp,conflicts,1.0,0.0,True
classification,pr_auc,torch_mlp,contamination,1.0,0.0,True
classification,pr_auc,torch_mlp,random_label_noise,1.0,0.0,True
classification,roc_auc,lgbm,cliffs,1.0,0.0,True
classification,roc_auc,lgbm,conflicts,1.0,0.0,True
classification,roc_auc,lgbm,contamination,1.0,0.0,True
classification,roc_auc,lgbm,random_label_noise,1.0,0.0,True
classification,roc_auc,rf,cliffs,0.8928571428571429,0.006807187408935392,True
classification,roc_auc,rf,conflicts,1.0,0.0,True
classification,roc_auc,rf,contamination,1.0,0.0,True
classification,roc_auc,rf,random_label_noise,1.0,0.0,True
classification,roc_auc,torch_mlp,cliffs,1.0,0.0,True
classification,roc_auc,torch_mlp,conflicts,1.0,0.0,True
classification,roc_auc,torch_mlp,contamination,1.0,0.0,True
classification,roc_auc,torch_mlp,random_label_noise,1.0,0.0,True
regression,mae,lgbm,cliffs,1.0,0.0,True
regression,mae,lgbm,conflicts,1.0,0.0,True
regression,mae,lgbm,contamination,1.0,0.0,True
regression,mae,lgbm,random_label_noise,1.0,0.0,True
regression,mae,rf,cliffs,0.9642857142857145,0.0004541491691941689,True
regression,mae,rf,conflicts,1.0,0.0,True
regression,mae,rf,contamination,1.0,0.0,True
regression,mae,rf,random_label_noise,0.9642857142857145,0.0004541491691941689,True
regression,mae,torch_mlp,cliffs,0.9642857142857145,0.0004541491691941689,True
regression,mae,torch_mlp,conflicts,1.0,0.0,True
regression,mae,torch_mlp,contamination,1.0,0.0,True
regression,mae,torch_mlp,random_label_noise,1.0,0.0,True
regression,rmse,lgbm,cliffs,0.9642857142857145,0.0004541491691941689,True
regression,rmse,lgbm,conflicts,1.0,0.0,True
regression,rmse,lgbm,contamination,0.9642857142857145,0.0004541491691941689,True
regression,rmse,lgbm,random_label_noise,0.9642857142857145,0.0004541491691941689,True
regression,rmse,rf,cliffs,0.9642857142857145,0.0004541491691941689,True
regression,rmse,rf,conflicts,1.0,0.0,True
regression,rmse,rf,contamination,1.0,0.0,True
regression,rmse,rf,random_label_noise,0.8928571428571429,0.006807187408935392,True
regression,rmse,torch_mlp,cliffs,0.9642857142857145,0.0004541491691941689,True
regression,rmse,torch_mlp,conflicts,1.0,0.0,True
regression,rmse,torch_mlp,contamination,1.0,0.0,True
regression,rmse,torch_mlp,random_label_noise,0.9642857142857145,0.0004541491691941689,True
