task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,std_degradation,ci95_low,ci95_high,positive_rate,expected_direction,p_expected_direction,q_expected_direction,supports_expected
classification,pr_auc,lgbm,cliffs,0.01,81,0.0006349305130362122,0.0,0.005971255566409638,-0.0006654762547596645,0.0019353372808320888,0.345679012345679,degrade,0.055479920537518275,0.05955671981024326,False
classification,pr_auc,lgbm,cliffs,0.02,81,0.00014933843702320728,0.0,0.005804679682250274,-0.0011147918048890744,0.001413468678935489,0.41975308641975306,degrade,0.06951628053114745,0.0734511643347973,False
classification,pr_auc,lgbm,cliffs,0.05,81,0.0009130347011916251,0.00029473797157775206,0.008111804036995926,-0.0008535359557541542,0.0026796053581374045,0.5432098765432098,degrade,0.04623537102601597,0.0497919380280172,True
classification,pr_auc,lgbm,cliffs,0.1,81,0.0011271702711787939,0.0013099882173045474,0.013566626513424062,-0.0018273395028557797,0.004081680045213368,0.5802469135802469,degrade,0.002299148471081408,0.0027788269290768097,True
classification,pr_auc,lgbm,cliffs,0.2,81,0.0027060606588041936,0.001033784967395368,0.013071688120087537,-0.00014066253179264784,0.005552783849401035,0.6296296296296297,degrade,0.0014509905177525267,0.0017728465962358144,True
classification,pr_auc,lgbm,cliffs,0.5,81,0.008772458562648727,0.002639931331907208,0.024619456482002165,0.003410888039901588,0.014134029085395865,0.7530864197530864,degrade,1.3497898514837255e-05,1.9299122982916246e-05,True
classification,pr_auc,lgbm,cliffs,1.0,81,0.019160725404118818,0.010101130129006819,0.030440971304369496,0.012531358320056127,0.02579009248818151,0.8641975308641975,degrade,1.382158390833705e-10,3.0156183072735385e-10,True
classification,pr_auc,lgbm,conflicts,0.01,81,0.0016911771166074868,0.0018231388250816716,0.012722536202895008,-0.0010795085453563149,0.004461862778571289,0.6790123456790124,degrade,0.0010626023525936003,0.0013174700755404047,True
classification,pr_auc,lgbm,conflicts,0.02,81,0.004277967066673766,0.0031065448825683406,0.012360994911687009,0.0015860170636841507,0.006969917069663382,0.7407407407407407,degrade,6.300233850011836e-06,9.244011238445314e-06,True
classification,pr_auc,lgbm,conflicts,0.05,81,0.0058508265770195675,0.006269579987038809,0.02131327045904419,0.001209269899272166,0.010492383254766969,0.7530864197530864,degrade,6.161665284974654e-05,8.281278143005935e-05,True
classification,pr_auc,lgbm,conflicts,0.1,81,0.01581125433182539,0.013161372090904178,0.0224745219734579,0.010916802879827893,0.020705705783822886,0.8765432098765432,degrade,5.163047933672825e-10,1.0513843064933751e-09,True
classification,pr_auc,lgbm,conflicts,0.2,81,0.0238149304162672,0.024011259220183045,0.02336094448685035,0.0187274358391309,0.028902424993403498,0.8765432098765432,degrade,1.2853055662919583e-11,3.152282264774438e-11,True
classification,pr_auc,lgbm,conflicts,0.5,81,0.052878135906277324,0.052973062024496476,0.03986959250493731,0.044195424649646535,0.06156084716290811,0.9259259259259259,degrade,6.340960096785044e-13,1.9368750841088864e-12,True
classification,pr_auc,lgbm,conflicts,1.0,81,0.33030083480524364,0.39579037546254103,0.1568513296275597,0.29614210079746395,0.3644595688130233,1.0,degrade,2.656508844358384e-15,3.1699809871514794e-14,True
classification,pr_auc,lgbm,contamination,0.01,81,-0.014422947681389835,-0.001541907270555809,0.054196822449583404,-0.026225811237076888,-0.002620084125702783,0.32098765432098764,inflate,0.00011053052137401493,0.00014679152245718977,True
classification,pr_auc,lgbm,contamination,0.02,81,-0.020064191106974272,-0.0034623246631564353,0.060180943882315305,-0.03317026333023405,-0.006958118883714495,0.13580246913580246,inflate,3.3319790066050284e-11,7.7746176820784e-11,True
classification,pr_auc,lgbm,contamination,0.05,81,-0.033612954808750914,-0.009629123990978039,0.07655364106692246,-0.050284636641102914,-0.016941272976398913,0.037037037037037035,inflate,8.457242579507803e-15,6.314741126032494e-14,True
classification,pr_auc,lgbm,contamination,0.1,81,-0.04292482037294736,-0.01708800963324708,0.08686691365839748,-0.06184250379188726,-0.02400713695400747,0.024691358024691357,inflate,3.3544113134269244e-15,3.2202348608898475e-14,True
classification,pr_auc,lgbm,contamination,0.2,81,-0.06879701995260469,-0.03472743955298574,0.09746219697180995,-0.09002212062646553,-0.04757191927874386,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,pr_auc,lgbm,contamination,0.5,81,-0.1259159910724015,-0.08591685852762687,0.12317451254483125,-0.15274066269327585,-0.09909131945152715,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,pr_auc,lgbm,contamination,1.0,81,-0.1959944269377716,-0.12150336139604423,0.17837591748557963,-0.2348407378568534,-0.15714811601868983,0.0,inflate,2.656508844358384e-15,3.1699809871514794e-14,True
classification,pr_auc,lgbm,random_label_noise,0.01,81,0.0014977328954110046,0.0012042190212701032,0.015270601958371457,-0.0018278648644121126,0.004823330655234122,0.654320987654321,degrade,0.0034455855116411363,0.004090871844209971,True
classification,pr_auc,lgbm,random_label_noise,0.02,81,0.004643032257271345,0.003633361744043051,0.008306718494960277,0.002834013562813329,0.006452050951729361,0.7901234567901234,degrade,1.727996638532679e-07,2.9030343527349007e-07,True
classification,pr_auc,lgbm,random_label_noise,0.05,81,0.009194489025797666,0.0076470910235121314,0.010483139114795937,0.006911494285242107,0.011477483766353226,0.8888888888888888,degrade,4.406891153550121e-12,1.1568089278069068e-11,True
classification,pr_auc,lgbm,random_label_noise,0.1,81,0.014956039588961738,0.014102549961533595,0.020213941922605155,0.010553892236927726,0.01935818694099575,0.8888888888888888,degrade,2.5291497483687217e-10,5.278225561812984e-10,True
classification,pr_auc,lgbm,random_label_noise,0.2,81,0.030644212816796856,0.030120388495958883,0.028437717441893644,0.02445110990722891,0.036837315726364804,0.9012345679012346,degrade,1.3343447134338096e-12,3.9676090594138055e-12,True
classification,pr_auc,lgbm,random_label_noise,0.5,81,0.10016817688867279,0.09956550664235597,0.06227385843120564,0.08660631438587689,0.11373003939146868,0.9259259259259259,degrade,3.2414864003015745e-14,2.1782788610026582e-13,True
classification,pr_auc,lgbm,random_label_noise,1.0,81,0.32131916233978963,0.38541223005308256,0.1670563786755113,0.28493799542823384,0.35770032925134543,0.9506172839506173,degrade,5.851872161443008e-15,4.572625688941513e-14,True
classification,pr_auc,rf,cliffs,0.01,81,0.0010801344808789924,0.0,0.005447873322126557,-0.00010629126482856891,0.0022665602265865537,0.35802469135802467,degrade,0.005122590959240555,0.006018148819247645,True
classification,pr_auc,rf,cliffs,0.02,81,0.0014057026030087538,0.0,0.008040051940970553,-0.000345242041913722,0.0031566472479312296,0.4074074074074074,degrade,0.05647465260425691,0.06043147539818573,False
classification,pr_auc,rf,cliffs,0.05,81,0.0014613626237946768,0.0,0.009840189969823636,-0.0006816120807446925,0.003604337328334046,0.4567901234567901,degrade,0.06896705232724833,0.0731007242332979,False
