family,task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,positive_rate
dti,classification,pr_auc,lgbm,cliffs,0.01,33,3.921905744389082e-05,0.0,0.2727272727272727
dti,classification,pr_auc,lgbm,cliffs,0.02,33,0.0003013090208684505,0.0,0.30303030303030304
dti,classification,pr_auc,lgbm,cliffs,0.05,33,-2.9623228696986097e-05,0.0,0.45454545454545453
dti,classification,pr_auc,lgbm,cliffs,0.1,33,-0.00433647284534033,0.0,0.2727272727272727
dti,classification,pr_auc,lgbm,cliffs,0.2,33,-0.0034465716448620048,-0.00012105951952801064,0.36363636363636365
dti,classification,pr_auc,lgbm,cliffs,0.5,33,-0.0014001103709190461,0.0005124811520000883,0.6363636363636364
dti,classification,pr_auc,lgbm,cliffs,1.0,33,-0.0006826422538473196,0.0012340104415957676,0.6666666666666666
dti,classification,pr_auc,lgbm,conflicts,0.01,33,-0.0009202458717966059,0.0018231388250816716,0.7272727272727273
dti,classification,pr_auc,lgbm,conflicts,0.02,33,0.0012794174427072243,0.0026584194305055986,0.7272727272727273
dti,classification,pr_auc,lgbm,conflicts,0.05,33,0.002510260284289975,0.0066707724332176754,0.8181818181818182
dti,classification,pr_auc,lgbm,conflicts,0.1,33,0.010688051034204147,0.010689724819553992,0.8787878787878788
dti,classification,pr_auc,lgbm,conflicts,0.2,33,0.02445295318906896,0.023272469167512022,0.9696969696969697
dti,classification,pr_auc,lgbm,conflicts,0.5,33,0.049586315953685865,0.050663389766669065,0.9393939393939394
dti,classification,pr_auc,lgbm,conflicts,1.0,33,0.38602396430721075,0.4098540471392352,1.0
dti,classification,pr_auc,lgbm,contamination,0.01,33,-0.03394654389386446,-0.00236291907215036,0.21212121212121213
dti,classification,pr_auc,lgbm,contamination,0.02,33,-0.04056461336955614,-0.004234203678177728,0.09090909090909091
dti,classification,pr_auc,lgbm,contamination,0.05,33,-0.05967818488985895,-0.00995478131658234,0.030303030303030304
dti,classification,pr_auc,lgbm,contamination,0.1,33,-0.07378925977185091,-0.020114184570833027,0.030303030303030304
dti,classification,pr_auc,lgbm,contamination,0.2,33,-0.09222397338068777,-0.04376526079534504,0.0
dti,classification,pr_auc,lgbm,contamination,0.5,33,-0.12699452754208912,-0.09100098339543261,0.0
dti,classification,pr_auc,lgbm,contamination,1.0,33,-0.1590372516940716,-0.1143547312223514,0.0
dti,classification,pr_auc,lgbm,random_label_noise,0.01,33,-0.0029640103526556087,0.0018264900552446006,0.696969696969697
dti,classification,pr_auc,lgbm,random_label_noise,0.02,33,0.004009285956822829,0.002835754694766379,0.8181818181818182
dti,classification,pr_auc,lgbm,random_label_noise,0.05,33,0.007367870310534496,0.006819650640118802,0.9090909090909091
dti,classification,pr_auc,lgbm,random_label_noise,0.1,33,0.012497176270179697,0.014178758923640289,0.9090909090909091
dti,classification,pr_auc,lgbm,random_label_noise,0.2,33,0.029273870836885395,0.02903653771024539,0.8787878787878788
dti,classification,pr_auc,lgbm,random_label_noise,0.5,33,0.11256618354086266,0.11715213735848995,0.9696969696969697
dti,classification,pr_auc,lgbm,random_label_noise,1.0,33,0.38083518420543166,0.4198654999487019,0.9696969696969697
dti,classification,pr_auc,rf,cliffs,0.01,33,0.0018816981101688023,0.0,0.2727272727272727
dti,classification,pr_auc,rf,cliffs,0.02,33,0.0031633411279885153,0.0,0.3939393939393939
dti,classification,pr_auc,rf,cliffs,0.05,33,0.002594357483302183,0.0,0.3939393939393939
dti,classification,pr_auc,rf,cliffs,0.1,33,0.001743164148108284,0.0,0.3939393939393939
dti,classification,pr_auc,rf,cliffs,0.2,33,3.063225562827289e-05,0.0,0.3939393939393939
dti,classification,pr_auc,rf,cliffs,0.5,33,0.0010659582009311453,0.000701230302892597,0.6363636363636364
dti,classification,pr_auc,rf,cliffs,1.0,33,-0.0030484635680553397,0.0009830635003508226,0.6363636363636364
dti,classification,pr_auc,rf,conflicts,0.01,33,0.0002528062856826503,0.0002577790318911699,0.6363636363636364
dti,classification,pr_auc,rf,conflicts,0.02,33,0.004141154091813387,0.002634740000330593,0.7878787878787878
dti,classification,pr_auc,rf,conflicts,0.05,33,0.003847126446585104,0.004305427756492786,0.7878787878787878
dti,classification,pr_auc,rf,conflicts,0.1,33,0.008341175844277132,0.008057074205365944,0.8787878787878788
dti,classification,pr_auc,rf,conflicts,0.2,33,0.017541484612470615,0.017534713960211834,0.9696969696969697
dti,classification,pr_auc,rf,conflicts,0.5,33,0.046506512616448316,0.04465660838369234,0.9393939393939394
dti,classification,pr_auc,rf,conflicts,1.0,33,0.389074332370605,0.4108187225071794,1.0
dti,classification,pr_auc,rf,contamination,0.01,33,-0.027198922612638832,-0.0017245727073154082,0.15151515151515152
dti,classification,pr_auc,rf,contamination,0.02,33,-0.03741275179353731,-0.0034650061638661356,0.06060606060606061
dti,classification,pr_auc,rf,contamination,0.05,33,-0.050412317151165724,-0.012019636943735312,0.0
dti,classification,pr_auc,rf,contamination,0.1,33,-0.06357142870145717,-0.019767570865776407,0.0
dti,classification,pr_auc,rf,contamination,0.2,33,-0.08275649425633173,-0.04677195966034553,0.0
dti,classification,pr_auc,rf,contamination,0.5,33,-0.11953704700928985,-0.10023179751442812,0.0
dti,classification,pr_auc,rf,contamination,1.0,33,-0.15461419229509618,-0.1325859853262129,0.0
dti,classification,pr_auc,rf,random_label_noise,0.01,33,0.0003121523197195807,0.0014096880475396034,0.6666666666666666
dti,classification,pr_auc,rf,random_label_noise,0.02,33,0.0023937560359974016,0.002796486799055309,0.7878787878787878
dti,classification,pr_auc,rf,random_label_noise,0.05,33,0.0035267586117812906,0.004596540530094395,0.8181818181818182
dti,classification,pr_auc,rf,random_label_noise,0.1,33,0.010548213345701352,0.010941088857814751,0.9393939393939394
dti,classification,pr_auc,rf,random_label_noise,0.2,33,0.020487468961883394,0.021403016257770524,0.9090909090909091
dti,classification,pr_auc,rf,random_label_noise,0.5,33,0.09983861321143717,0.10162757844727277,0.9393939393939394
dti,classification,pr_auc,rf,random_label_noise,1.0,33,0.39267813941204993,0.4156953706293855,1.0
dti,classification,pr_auc,torch_mlp,cliffs,0.01,33,-0.0015389470232522766,0.0,0.2727272727272727
dti,classification,pr_auc,torch_mlp,cliffs,0.02,33,-0.00023772904936463158,0.0,0.36363636363636365
dti,classification,pr_auc,torch_mlp,cliffs,0.05,33,-0.0005089549189576852,0.0,0.30303030303030304
dti,classification,pr_auc,torch_mlp,cliffs,0.1,33,-0.002764387781751804,-0.001049253194973232,0.15151515151515152
dti,classification,pr_auc,torch_mlp,cliffs,0.2,33,0.00036556948083108366,0.0,0.45454545454545453
dti,classification,pr_auc,torch_mlp,cliffs,0.5,33,0.004881486257707054,0.005879196771739537,0.6666666666666666
dti,classification,pr_auc,torch_mlp,cliffs,1.0,33,0.008117556698570854,0.008535005550511121,0.7272727272727273
dti,classification,pr_auc,torch_mlp,conflicts,0.01,33,0.013811992613336885,0.016932680421410717,0.7575757575757576
dti,classification,pr_auc,torch_mlp,conflicts,0.02,33,0.017606826285358826,0.020124488976264066,0.8484848484848485
dti,classification,pr_auc,torch_mlp,conflicts,0.05,33,0.022669610338606577,0.02799818355712358,0.8181818181818182
dti,classification,pr_auc,torch_mlp,conflicts,0.1,33,0.03543141160822367,0.03864409827539683,0.9393939393939394
dti,classification,pr_auc,torch_mlp,conflicts,0.2,33,0.04892643887556103,0.050645584728014836,1.0
dti,classification,pr_auc,torch_mlp,conflicts,0.5,33,0.12448611594505855,0.11222387512980525,1.0
dti,classification,pr_auc,torch_mlp,conflicts,1.0,33,0.32239074949843743,0.3648745467810701,0.9393939393939394
dti,classification,pr_auc,torch_mlp,contamination,0.01,33,-0.017728380685883175,-0.006083000045004283,0.3333333333333333
dti,classification,pr_auc,torch_mlp,contamination,0.02,33,-0.02716926072728903,-0.005026690514205123,0.36363636363636365
dti,classification,pr_auc,torch_mlp,contamination,0.05,33,-0.04911314156405459,-0.019477345352316267,0.09090909090909091
dti,classification,pr_auc,torch_mlp,contamination,0.1,33,-0.07150611128066377,-0.030392338904355554,0.0
dti,classification,pr_auc,torch_mlp,contamination,0.2,33,-0.10420517420564242,-0.05877591425742135,0.0
dti,classification,pr_auc,torch_mlp,contamination,0.5,33,-0.16288410545376364,-0.10640625392628023,0.0
dti,classification,pr_auc,torch_mlp,contamination,1.0,33,-0.2194471126310014,-0.138744665275361,0.0
dti,classification,pr_auc,torch_mlp,random_label_noise,0.01,33,0.007652523708719698,0.005356396513065076,0.7272727272727273
dti,classification,pr_auc,torch_mlp,random_label_noise,0.02,33,0.005728430586911817,0.004596835248917186,0.7272727272727273
dti,classification,pr_auc,torch_mlp,random_label_noise,0.05,33,0.02119930002822857,0.014160193549376365,0.8787878787878788
dti,classification,pr_auc,torch_mlp,random_label_noise,0.1,33,0.04143290618305492,0.045657241152199934,0.9696969696969697
dti,classification,pr_auc,torch_mlp,random_label_noise,0.2,33,0.06936118868538153,0.07168288951250235,0.9696969696969697
dti,classification,pr_auc,torch_mlp,random_label_noise,0.5,33,0.1764293990812404,0.1979915755142697,0.9393939393939394
dti,classification,pr_auc,torch_mlp,random_label_noise,1.0,33,0.3310057237393489,0.35882292821687506,0.9090909090909091
dti,classification,roc_auc,lgbm,cliffs,0.01,33,1.8232309667364323e-05,0.0,0.2727272727272727
dti,classification,roc_auc,lgbm,cliffs,0.02,33,-0.00018867537233554802,0.0,0.3333333333333333
dti,classification,roc_auc,lgbm,cliffs,0.05,33,-0.0009712652974648934,0.0,0.30303030303030304
dti,classification,roc_auc,lgbm,cliffs,0.1,33,-0.003939137664966667,0.0,0.3333333333333333
dti,classification,roc_auc,lgbm,cliffs,0.2,33,-0.0024916094369296597,0.0,0.3939393939393939
dti,classification,roc_auc,lgbm,cliffs,0.5,33,-0.0023821066850122203,0.0006873033793264316,0.6060606060606061
dti,classification,roc_auc,lgbm,cliffs,1.0,33,-3.6497530581927535e-05,0.0009861895543366028,0.6666666666666666
dti,classification,roc_auc,lgbm,conflicts,0.01,33,-0.0008653001500177674,0.0009448039396335872,0.6060606060606061
dti,classification,roc_auc,lgbm,conflicts,0.02,33,0.0016463865595997568,0.0019389935187347218,0.7575757575757576
dti,classification,roc_auc,lgbm,conflicts,0.05,33,0.00017598200487067503,0.004039569830697198,0.7272727272727273
dti,classification,roc_auc,lgbm,conflicts,0.1,33,0.006719877597161891,0.008899621178117934,0.8484848484848485
dti,classification,roc_auc,lgbm,conflicts,0.2,33,0.02047258288974172,0.01686336171866709,0.9393939393939394
dti,classification,roc_auc,lgbm,conflicts,0.5,33,0.039187420143524214,0.041187214611872136,0.9393939393939394
dti,classification,roc_auc,lgbm,conflicts,1.0,33,0.3467560711016572,0.38043183269476377,1.0
dti,classification,roc_auc,lgbm,contamination,0.01,33,-0.032097679404102,-0.002479152580572408,0.24242424242424243
dti,classification,roc_auc,lgbm,contamination,0.02,33,-0.038169910200846056,-0.003412859396632273,0.12121212121212122
dti,classification,roc_auc,lgbm,contamination,0.05,33,-0.05410772178408171,-0.01095495669532165,0.0
dti,classification,roc_auc,lgbm,contamination,0.1,33,-0.06791795162766266,-0.020788822683061037,0.0
dti,classification,roc_auc,lgbm,contamination,0.2,33,-0.08711343805630631,-0.04951174406580883,0.0
dti,classification,roc_auc,lgbm,contamination,0.5,33,-0.12029931233968172,-0.09509691396037079,0.0
dti,classification,roc_auc,lgbm,contamination,1.0,33,-0.1505385451362892,-0.11956816730523623,0.0
dti,classification,roc_auc,lgbm,random_label_noise,0.01,33,-0.002930371997608449,0.0008815284527999845,0.6060606060606061
dti,classification,roc_auc,lgbm,random_label_noise,0.02,33,0.0017927241318697355,0.0021744368502399913,0.8181818181818182
