family,dataset,task_type,n_label_tasks,rows_total,rows_train,rows_valid,rows_test,status,skip_reason
moleculenet,MoleculeNet-BACE,classification,1,1481,1184,148,149,included,
moleculenet,MoleculeNet-BBBP,classification,1,1973,1563,205,205,included,
moleculenet,MoleculeNet-ClinTox,classification,2,1439,1149,142,148,skipped,multitask:2
moleculenet,MoleculeNet-ESOL,regression,1,1119,893,113,113,included,
moleculenet,MoleculeNet-FreeSolv,regression,1,642,513,64,65,included,
moleculenet,MoleculeNet-HIV,classification,1,41102,32882,4109,4111,included,
moleculenet,MoleculeNet-Lipophilicity,regression,1,4200,3360,420,420,included,
moleculenet,MoleculeNet-SIDER,classification,27,1424,1139,142,143,skipped,multitask:27
moleculenet,MoleculeNet-Tox21,classification,12,7827,6260,783,784,skipped,multitask:12
tdc,BBB_Martins,classification,1,2006,1398,203,405,included,
tdc,Bioavailability_Ma,classification,1,640,448,64,128,included,
tdc,CYP1A2_Veith,classification,1,12572,8799,1257,2516,included,
tdc,CYP2C19_Veith,classification,1,12659,8862,1266,2531,included,
tdc,CYP2C9_Substrate_CarbonMangels,classification,1,669,468,67,134,included,
tdc,CYP2C9_Veith,classification,1,12086,8461,1209,2416,included,
tdc,CYP2D6_Substrate_CarbonMangels,classification,1,664,464,67,133,included,
tdc,CYP2D6_Veith,classification,1,13127,9189,1312,2626,included,
tdc,CYP3A4_Substrate_CarbonMangels,classification,1,670,469,67,134,included,
tdc,CYP3A4_Veith,classification,1,12324,8627,1233,2464,included,
tdc,Caco2_Wang,regression,1,902,629,91,182,included,
tdc,Clearance_Hepatocyte_AZ,regression,1,1109,755,119,235,included,
tdc,Clearance_Microsome_AZ,regression,1,1102,772,110,220,included,
tdc,HIA_Hou,classification,1,578,404,58,116,included,
tdc,Half_Life_Obach,regression,1,667,467,67,133,included,
tdc,HydrationFreeEnergy_FreeSolv,regression,1,642,450,64,128,included,
tdc,Lipophilicity_AstraZeneca,regression,1,4200,2940,420,840,included,
tdc,PAMPA_NCATS,classification,1,2034,1424,203,407,included,
tdc,PPBR_AZ,regression,1,1614,1130,161,323,included,
tdc,Pgp_Broccatelli,classification,1,1217,851,122,244,included,
tdc,Solubility_AqSolDB,regression,1,9979,6985,998,1996,included,
tdc,VDss_Lombardo,regression,1,1096,773,108,215,included,
polaris,novartis-adme-novartis-cyp3a4-reg,regression,1,16607,16239,0,368,included,
polaris,polaris-adme-fang-hclint-1,regression,1,2804,2229,0,575,included,
polaris,polaris-adme-fang-hppb-1,regression,1,160,126,0,34,included,
polaris,polaris-adme-fang-perm-1,regression,1,2402,1919,0,483,included,
polaris,polaris-adme-fang-rclint-1,regression,1,2777,2218,0,559,included,
polaris,polaris-adme-fang-rppb-1,regression,1,135,111,0,24,included,
polaris,polaris-adme-fang-solu-1,regression,1,1978,1578,0,400,included,
dti,BindingDB_cluster_cls,classification,1,13116,7469,4154,1493,included,
dti,BindingDB_protein_cls,classification,1,24638,13627,3237,7774,included,
dti,BindingDB_random_cls,classification,1,24872,13876,4047,6949,included,
dti,BindingDB_scaffold_cls,classification,1,14631,10069,1577,2985,included,
dti,BioSNAP_cluster_cls,classification,1,4705,2533,1497,675,included,
dti,BioSNAP_protein_cls,classification,1,9283,4366,1877,3040,included,
dti,BioSNAP_random_cls,classification,1,9196,4391,1902,2903,included,
dti,BioSNAP_scaffold_cls,classification,1,4490,3119,466,905,included,
dti,Human_protein_cls,classification,1,3490,2039,449,1002,included,
dti,Human_random_cls,classification,1,3455,2150,465,840,included,
dti,Human_scaffold_cls,classification,1,2724,1690,329,705,included,
dti,PDBBindv2016_reg,regression,1,3333,2682,363,288,included,
dti,PDBBindv2020_reg,regression,1,15142,14001,798,343,included,
