family,dataset,task_type,model,scenario,fraction,seed,n_train_original,n_train_noisy,n_test,n_conflicts_added,roc_auc,pr_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,mcc,log_loss,brier_score,n_eval_rows,positive_rate,mse,rmse,mae,median_ae,r2,explained_variance,pearson,spearman,kendall_tau,max_error,error,n_cliffs_modified,n_cliff_candidates,n_contamination_added,n_random_labels_modified
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.0,0,1332,1332,149,0.0,0.8767842981760507,0.7637717742575636,0.7637717742575636,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4313572296262526,0.13674812608369222,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.0,0,1332,1332,149,0.0,0.883624107850912,0.7943591206475977,0.7943591206475977,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4733323766866657,0.13708266974872513,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.0,0,1332,1332,149,0.0,0.8298969072164949,0.7288894405549033,0.7288894405549033,0.7386003172085647,0.7583892617449665,0.660377358490566,0.6481481481481481,0.6730769230769231,0.47318380123878045,1.2486778332624118,0.20785876747698875,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.01,0,1332,1346,149,14.0,0.876883425852498,0.7538488835314757,0.7538488835314757,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4301642567213377,0.13355614588268813,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.01,0,1332,1346,149,14.0,0.8752973830293418,0.7792273638808234,0.7792273638808234,0.7791435368754956,0.8053691275167785,0.7128712871287128,0.7346938775510204,0.6923076923076923,0.5664310754192161,0.4777985571468729,0.14115158755787086,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.01,0,1332,1346,149,14.0,0.8257335448057098,0.7287154163780525,0.7287154163780525,0.753370340999207,0.7718120805369127,0.6792452830188679,0.6666666666666666,0.6923076923076923,0.5024751956652774,1.1688819845596061,0.1962877991595561,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.02,0,1332,1359,149,27.0,0.8933386201427439,0.7722438831178885,0.7722438831178885,0.7983743061062649,0.8187919463087249,0.7378640776699029,0.7450980392156863,0.7307692307692307,0.5994884645425554,0.41149877873852675,0.1318043892123902,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.02,0,1332,1359,149,27.0,0.8782712133227597,0.7856371491555983,0.7856371491555983,0.7502973830293418,0.785234899328859,0.673469387755102,0.717391304347826,0.6346153846153846,0.5165071232194829,0.46959679322590936,0.14781503625179912,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.02,0,1332,1359,149,27.0,0.8144329896907216,0.7181597377261523,0.7181597377261523,0.7430610626486915,0.7583892617449665,0.6666666666666666,0.6428571428571429,0.6923076923076923,0.4784069047564639,1.2352800470155498,0.20539745474678853,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.05,0,1332,1399,149,67.0,0.8774781919111816,0.7183040808606627,0.7183040808606627,0.7739888977002378,0.7986577181208053,0.7058823529411765,0.72,0.6923076923076923,0.5531563474686261,0.43189956129402707,0.13777088464374065,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.05,0,1332,1399,149,67.0,0.8594369547977795,0.7506183001843846,0.7506183001843846,0.7842981760507534,0.8120805369127517,0.72,0.75,0.6923076923076923,0.5799763740328459,0.4719331491209983,0.1480297659889902,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.05,0,1332,1399,149,67.0,0.7908406026962728,0.6679167398247258,0.6679167398247258,0.7252180808881841,0.7583892617449665,0.64,0.6666666666666666,0.6153846153846154,0.45945129769966025,1.179520763886156,0.2081331522868699,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.1,0,1332,1466,149,134.0,0.841990483743061,0.7110464466479849,0.7110464466479849,0.7688342585249801,0.7919463087248322,0.6990291262135923,0.7058823529411765,0.6923076923076923,0.5401371148968142,0.4853064202937502,0.15666875440703393,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.1,0,1332,1466,149,134.0,0.8334655035685963,0.7165680304359031,0.7165680304359031,0.7104480570975416,0.7449664429530202,0.62,0.6458333333333334,0.5961538461538461,0.42932002861636387,0.5148187945630012,0.16732288763639877,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.1,0,1332,1466,149,134.0,0.753766851704996,0.6294447931566273,0.6294447931566273,0.6781324345757336,0.6912751677852349,0.5892857142857143,0.55,0.6346153846153846,0.3462501017090905,1.2316394245675135,0.2524557365099696,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.2,0,1332,1599,149,267.0,0.8568596352101507,0.7288659292967584,0.7288659292967584,0.8028350515463918,0.8187919463087249,0.7428571428571429,0.7358490566037735,0.75,0.6030455600644564,0.4647159262316456,0.1479833508111029,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.2,0,1332,1599,149,267.0,0.8691514670896113,0.7599934632920188,0.7599934632920188,0.8021411578112609,0.8120805369127517,0.7407407407407407,0.7142857142857143,0.7692307692307693,0.5946917804639894,0.4407178891449397,0.13817016286656583,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.2,0,1332,1599,149,267.0,0.7997620935765265,0.6710066187683963,0.6710066187683963,0.7275971451229183,0.738255033557047,0.6486486486486487,0.6101694915254238,0.6923076923076923,0.44364652511604397,0.903206733335411,0.20459557400352746,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,0.5,0,1332,1998,149,666.0,0.8001586042823157,0.6667284682007717,0.6667284682007717,0.7643735130848532,0.7919463087248322,0.693069306930693,0.7142857142857143,0.6730769230769231,0.5364601129769351,0.5569768060300938,0.18587095837093498,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,0.5,0,1332,1998,149,666.0,0.7906423473433782,0.641665858871129,0.641665858871129,0.7090602696272799,0.7315436241610739,0.6226415094339622,0.6111111111111112,0.6346153846153846,0.41460101238578645,0.5561396647743695,0.18629671324590588,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,0.5,0,1332,1998,149,666.0,0.6927042030134813,0.5324593140050439,0.5324593140050439,0.6492862807295796,0.6711409395973155,0.5504587155963303,0.5263157894736842,0.5769230769230769,0.29282361066633894,0.8151251116147242,0.23912818062235094,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1.0,0,1332,2664,149,1332.0,0.5063441712926249,0.343591180312226,0.343591180312226,0.4943497224425059,0.5100671140939598,0.3865546218487395,0.34328358208955223,0.4423076923076923,-0.010827868908304873,0.6933138056812551,0.25008288786779675,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1.0,0,1332,2664,149,1332.0,0.5,0.348993288590604,0.348993288590604,0.5,0.348993288590604,0.5174129353233831,0.348993288590604,1.0,0.0,0.6931471805599454,0.25,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1.0,0,1332,2664,149,1332.0,0.520618556701031,0.3611111111111111,0.3611111111111111,0.5,0.348993288590604,0.5174129353233831,0.348993288590604,1.0,0.0,0.693663301517229,0.2502580600605345,149.0,0.348993288590604,,,,,,,,,,,,,,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.0,0,1332,1332,149,,0.8767842981760507,0.7637717742575636,0.7637717742575636,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4313572296262526,0.13674812608369222,149.0,0.348993288590604,,,,,,,,,,,,0.0,0.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.0,0,1332,1332,149,,0.883624107850912,0.7943591206475977,0.7943591206475977,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4733323766866657,0.13708266974872513,149.0,0.348993288590604,,,,,,,,,,,,0.0,0.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.0,0,1332,1332,149,,0.8298969072164949,0.7288894405549033,0.7288894405549033,0.7386003172085647,0.7583892617449665,0.660377358490566,0.6481481481481481,0.6730769230769231,0.47318380123878045,1.2486778332624118,0.20785876747698875,149.0,0.348993288590604,,,,,,,,,,,,0.0,0.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.01,0,1332,1332,149,,0.8767842981760507,0.7637717742575636,0.7637717742575636,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4313572296262526,0.13674812608369222,149.0,0.348993288590604,,,,,,,,,,,,1.0,1.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.01,0,1332,1332,149,,0.883624107850912,0.7943591206475977,0.7943591206475977,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4733323766866657,0.13708266974872513,149.0,0.348993288590604,,,,,,,,,,,,1.0,1.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.01,0,1332,1332,149,,0.8298969072164949,0.7288894405549033,0.7288894405549033,0.7386003172085647,0.7583892617449665,0.660377358490566,0.6481481481481481,0.6730769230769231,0.47318380123878045,1.2486778332624118,0.20785876747698875,149.0,0.348993288590604,,,,,,,,,,,,1.0,1.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.02,0,1332,1332,149,,0.8836241078509119,0.781661426856248,0.781661426856248,0.7836042823156225,0.8053691275167785,0.7184466019417476,0.7254901960784313,0.7115384615384616,0.5698127897196847,0.4107803442204223,0.13246774176672907,149.0,0.348993288590604,,,,,,,,,,,,8.0,16.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.02,0,1332,1332,149,,0.883624107850912,0.8271854235320252,0.8271854235320252,0.7784496431403648,0.7986577181208053,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.5568992862807296,0.4445405624051458,0.13579101035789304,149.0,0.348993288590604,,,,,,,,,,,,8.0,16.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.02,0,1332,1332,149,,0.8289056304520221,0.738736203858967,0.738736203858967,0.7578310864393338,0.7718120805369127,0.6851851851851852,0.6607142857142857,0.7115384615384616,0.5074781236833453,1.2115054304585042,0.19763810391606892,149.0,0.348993288590604,,,,,,,,,,,,8.0,16.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.05,0,1332,1332,149,,0.8801546391752577,0.7713584711129562,0.7713584711129562,0.7990681998413958,0.825503355704698,0.74,0.7708333333333334,0.7115384615384616,0.6101076431161422,0.4289312230389396,0.1324797132872041,149.0,0.348993288590604,,,,,,,,,,,,9.0,12.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.05,0,1332,1332,149,,0.8913560666137986,0.8103536362309214,0.8103536362309214,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4399331972284024,0.12883492502024274,149.0,0.348993288590604,,,,,,,,,,,,9.0,12.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.05,0,1332,1332,149,,0.8257335448057098,0.7338307595572073,0.7338307595572073,0.7282910388580492,0.7449664429530202,0.6481481481481481,0.625,0.6730769230769231,0.44933568582958255,1.240720852261511,0.2122355437732697,149.0,0.348993288590604,,,,,,,,,,,,9.0,12.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.1,0,1332,1332,149,,0.8716296590007931,0.7412279055925277,0.7412279055925277,0.7887589214908803,0.8120805369127517,0.7254901960784313,0.74,0.7115384615384616,0.5829755572272459,0.4406802663007784,0.13472454710415113,149.0,0.348993288590604,,,,,,,,,,,,35.0,49.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.1,0,1332,1332,149,,0.8653846153846153,0.7852468202424088,0.7852468202424088,0.7599127676447264,0.7919463087248322,0.6868686868686869,0.723404255319149,0.6538461538461539,0.5332073576571202,0.4722574329573296,0.14295405416824558,149.0,0.348993288590604,,,,,,,,,,,,35.0,49.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.1,0,1332,1332,149,,0.8039254559873117,0.6979994429860522,0.6979994429860522,0.7090602696272799,0.7315436241610739,0.6226415094339622,0.6111111111111112,0.6346153846153846,0.41460101238578645,1.4193818267408274,0.23390785792178256,149.0,0.348993288590604,,,,,,,,,,,,35.0,49.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.2,0,1332,1332,149,,0.8815424266455194,0.7802393006250886,0.7802393006250886,0.8182989690721649,0.8389261744966443,0.7647058823529411,0.78,0.75,0.6426139767444856,0.4240885905596881,0.13292195753203093,149.0,0.348993288590604,,,,,,,,,,,,66.0,118.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.2,0,1332,1332,149,,0.8632038065027755,0.7901452997177634,0.7901452997177634,0.7849920697858843,0.8187919463087249,0.7216494845360825,0.7777777777777778,0.6730769230769231,0.5917351714167676,0.46293430896153265,0.1401118931438569,149.0,0.348993288590604,,,,,,,,,,,,66.0,118.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.2,0,1332,1332,149,,0.8241475019825535,0.7361683028545116,0.7361683028545116,0.7430610626486915,0.7583892617449665,0.6666666666666666,0.6428571428571429,0.6923076923076923,0.4784069047564639,1.3222907155434143,0.2216419041644837,149.0,0.348993288590604,,,,,,,,,,,,66.0,118.0,,
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,0.5,0,1332,1332,149,,0.8194885011895322,0.6689009579372737,0.6689009579372737,0.7282910388580492,0.7449664429530202,0.6481481481481481,0.625,0.6730769230769231,0.44933568582958255,0.5053262177287854,0.16789672726550228,149.0,0.348993288590604,,,,,,,,,,,,158.0,247.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,0.5,0,1332,1332,149,,0.8065027755749405,0.689970176462048,0.689970176462048,0.7135210150674068,0.7315436241610739,0.6296296296296297,0.6071428571428571,0.6538461538461539,0.4202644669027012,0.5652197327489278,0.1835927141850575,149.0,0.348993288590604,,,,,,,,,,,,158.0,247.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,0.5,0,1332,1332,149,,0.7234337827121332,0.5531058585195985,0.5531058585195985,0.6736716891356067,0.6912751677852349,0.5818181818181818,0.5517241379310345,0.6153846153846154,0.3395563604574167,1.7940341413955267,0.2706847959485403,149.0,0.348993288590604,,,,,,,,,,,,158.0,247.0,,
