task_type,model,scenario,fraction,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,n_eval_rows_mean,n_eval_rows_std,positive_rate_mean,positive_rate_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,median_ae_mean,median_ae_std,r2_mean,r2_std,explained_variance_mean,explained_variance_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,max_error_mean,max_error_std,n_eval_rows_mean,n_eval_rows_std
classification,lgbm,cliffs,0.0,0.830319432118475,0.11725531037711118,0.7942743340121021,0.18352460156737146,0.7942743340121021,0.18352460156737146,0.7432637512498305,0.11161436374394432,0.8011948946908474,0.10403669348361812,0.7211739242792529,0.1869162286342268,0.7708427241544474,0.15921440732663275,0.7029906334250682,0.21936732891928015,0.5183543557380074,0.2144972913257555,0.5263277655871877,0.2256717933706979,0.14714474405852254,0.06930102180982346,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.01,0.8302615831940219,0.1171712778798937,0.793639403499066,0.18413564576484753,0.793639403499066,0.18413564576484753,0.7436704127382806,0.11025846643445267,0.8017907873621314,0.10342548691013725,0.7225790931192847,0.18331365705912658,0.7735339159953724,0.15219142317979342,0.7049342529311579,0.21761210297582956,0.5198966192259034,0.21005625679136491,0.5247561919240616,0.22538107399446056,0.14713274950404764,0.06907544937184844,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.02,0.8295554814017858,0.11661282147235369,0.7941249955750789,0.1838796587816267,0.7941249955750789,0.1838796587816267,0.7428529812257385,0.11130320538444294,0.8009581999428197,0.10374781968533064,0.7207118800456096,0.18617177796173895,0.7702686041513223,0.15712697936852596,0.7034634883006234,0.21974620942783177,0.5182409068637351,0.21396660295344494,0.5243317860994252,0.22462985859529572,0.1468890527414815,0.06864986475179394,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.05,0.829468414412895,0.11661932348109084,0.7933612993109105,0.1851569025874917,0.7933612993109105,0.1851569025874917,0.745119384165631,0.11219399825438879,0.8023076734085625,0.10477600693354246,0.7231526499860158,0.18417652063876455,0.7731322366685127,0.15528884677016272,0.705805391646368,0.21758695115405607,0.5225471324860111,0.21561641255230707,0.5196500147726709,0.22223522884124078,0.1464401486451873,0.06919296915565429,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.1,0.8290813158664505,0.11426830420379175,0.7931471637409233,0.18239433428667176,0.7931471637409233,0.18239433428667176,0.7423064370157514,0.10918319562148124,0.8014530131021391,0.10040115735579909,0.7197410391921878,0.18618001400129855,0.7707449384201986,0.1559292823751995,0.7007925089519491,0.2206818628317407,0.5182062357255343,0.20926401902948877,0.517350722985222,0.21902542584556178,0.14667648835729702,0.06721067285391692,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.2,0.8268177490573769,0.11638445374127486,0.7915682733532979,0.18395330777805868,0.7915682733532979,0.18395330777805868,0.7432195606721186,0.11253819552064895,0.8017027269392409,0.10402226665268022,0.7212858313990147,0.18576297463445898,0.7722847198459782,0.15494756099575696,0.7035637779281285,0.2204388562027344,0.5192798111181377,0.2155263188485545,0.5163495551739966,0.2198691854739797,0.14686991619276657,0.0679494768735474,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,0.5,0.820879929368556,0.11609630703473908,0.7855018754494535,0.1882570891067679,0.7855018754494535,0.1882570891067679,0.7383862234337994,0.11248611827988134,0.7960322399135188,0.10273394330928629,0.7151299132982442,0.18839824885178358,0.7646849633287656,0.16499692673312447,0.6974974434162248,0.21975938320050634,0.5050730340468718,0.21584551511869418,0.5131942221621235,0.2138198315666617,0.149465534791603,0.06715806333079752,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,cliffs,1.0,0.8076491184050667,0.121656207212948,0.7751136086079834,0.1906195349820036,0.7751136086079834,0.1906195349820036,0.7340210317898642,0.11340269019346544,0.7908591695858558,0.10475304409884967,0.7100657543806466,0.18705953810933704,0.7601179523476722,0.16268588172928655,0.6917118926380764,0.21726046563475243,0.4934456016474288,0.21878771528666144,0.5214824610409308,0.20834946048476022,0.1533174647985498,0.06716442124351661,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.0,0.830319432118475,0.11725531037711118,0.7942743340121021,0.18352460156737146,0.7942743340121021,0.18352460156737146,0.7432637512498305,0.11161436374394432,0.8011948946908474,0.10403669348361812,0.7211739242792529,0.1869162286342268,0.7708427241544474,0.15921440732663275,0.7029906334250682,0.21936732891928015,0.5183543557380074,0.2144972913257555,0.5263277655871877,0.2256717933706979,0.14714474405852254,0.06930102180982346,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.01,0.8293237969208761,0.11438171864089595,0.7925831568954947,0.18291626835948646,0.7925831568954947,0.18291626835948646,0.741846805292782,0.1109345375512309,0.8013207148694671,0.10332340819528504,0.719892723566743,0.18648921962554277,0.7724625070996815,0.154858814235273,0.7013224485938756,0.22252990946344206,0.5186826438683064,0.2109004217083571,0.5086919818346648,0.21396217250988042,0.1463274467772776,0.06758637390936079,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
