scenario,dataset,source,fraction,fraction_pct,noise_types,pearson_r,spearman_r,kendall_tau,mse,rmse,mae,r2,n_train,n_test,n_conflicts_train_added,n_conflicts_test_added,n_cliffs_train_modified,n_cliffs_test_modified,n_contam_train_to_test,n_contam_test_to_train,n_overlap_smiles,frac_overlap_train,frac_overlap_test
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.0,0.0,cliffs,0.8739981463807646,0.8723373948026751,0.6982119528921884,0.024672233697897023,0.15707397524063949,0.11162126872971811,0.7551404773910533,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.01,1.0,cliffs,0.8639329007163377,0.8639977247978324,0.688271177479767,0.026074042025767498,0.16147458631551745,0.1145953489840656,0.7412282340913772,13097.0,3275.0,0.0,0.0,131.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.02,2.0,cliffs,0.8383979378554302,0.8558043388400552,0.6772120812461974,0.029967973679430663,0.17311260404554796,0.12218877771189875,0.702582918978741,13097.0,3275.0,0.0,0.0,262.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.03,3.0,cliffs,0.832604983364739,0.8371709215978463,0.6569401448527675,0.03098480068305371,0.17602500016490188,0.12659340393818846,0.692491421884003,13097.0,3275.0,0.0,0.0,393.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.04,4.0,cliffs,0.8106151038439582,0.8299370691417643,0.6485122081232763,0.034611647828666124,0.18604205930021878,0.13173247811936323,0.6564967863141409,13097.0,3275.0,0.0,0.0,524.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.05,5.0,cliffs,0.8135958746727546,0.8383642597886896,0.655022109032704,0.0340855900113003,0.1846228317714261,0.13065660214924907,0.6617176458278005,13097.0,3275.0,0.0,0.0,655.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.06,6.0,cliffs,0.7880680778370154,0.8137817616759135,0.6308505282164405,0.03856013254207295,0.19636734082344995,0.13848637021598953,0.6173100594943504,13097.0,3275.0,0.0,0.0,786.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.07,7.000000000000001,cliffs,0.7811185857378391,0.8063608781856415,0.624757899937258,0.0398008344085278,0.19950146467765043,0.13929501728765858,0.6049967168744619,13097.0,3275.0,0.0,0.0,917.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.08,8.0,cliffs,0.7616500375557964,0.7952843491108225,0.6138845515142356,0.043920596199301346,0.20957241278207717,0.14467161134198792,0.5641101511219102,13097.0,3275.0,0.0,0.0,1048.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.09,9.0,cliffs,0.7546243171553348,0.7862573174610004,0.6035018719634319,0.04505235710457256,0.2122554053600816,0.14981772624387552,0.552877992803152,13097.0,3275.0,0.0,0.0,1179.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.1,10.0,cliffs,0.714132563684453,0.767319340612762,0.5884219635172754,0.05374046010555636,0.23181988720891994,0.1572724658799093,0.46665293595393853,13097.0,3275.0,0.0,0.0,1310.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.11,11.0,cliffs,0.7115923814853475,0.7667109548545772,0.5857130505026769,0.054511861773210456,0.23347775434334309,0.15948885246914637,0.4589971620019584,13097.0,3275.0,0.0,0.0,1441.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.12,12.0,cliffs,0.7323877225867772,0.7766517116974485,0.5922617674707322,0.05158825676137164,0.2271304839984533,0.15866571749623273,0.4880124727460762,13097.0,3275.0,0.0,0.0,1572.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.13,13.0,cliffs,0.691688102383244,0.748794616099213,0.56761319701095,0.059994783825505583,0.24493832657529443,0.1685227280368985,0.4045819155890855,13097.0,3275.0,0.0,0.0,1703.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.14,14.000000000000002,cliffs,0.6924617935689287,0.7446415808088104,0.565365224692553,0.05919403129665365,0.24329823529292943,0.16702737837538578,0.41252898209078237,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.15,15.0,cliffs,0.6972454824154357,0.7541662357957432,0.5715954420272534,0.05742231618924394,0.23962953947550777,0.16465707107005623,0.43011236431354305,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.16,16.0,cliffs,0.7131318725900623,0.767858898450228,0.5851957518751991,0.053928139468247316,0.23222433005231669,0.16143455151996391,0.4647903125808478,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.17,17.0,cliffs,0.6935584109814011,0.7547937922072467,0.573941707492561,0.05899318288174182,0.24288512280858582,0.16546458767394942,0.4145223016902261,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.18,18.0,cliffs,0.7081280351576206,0.7612709039916925,0.577951198988934,0.05668529685212113,0.23808674228549798,0.1644632315619026,0.4374269109107908,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.19,19.0,cliffs,0.7091359297826305,0.7580757846467986,0.5749483123975447,0.05598216096057612,0.23660549647160803,0.1642462938592706,0.444405181335799,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.2,20.0,cliffs,0.6690201631578457,0.7438511213157142,0.5620061426959443,0.06619420227252187,0.25728233960480434,0.17204011809929065,0.343055802470317,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.21,21.0,cliffs,0.6877668427546209,0.7452196857391093,0.5646445149886139,0.06212246463041633,0.24924378554021429,0.1696931641645477,0.38346575267761496,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.22,22.0,cliffs,0.7159443520738759,0.7660914173735913,0.5838926691323946,0.05514342424416174,0.23482637041900073,0.1617011348547189,0.45272922181346864,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.23,23.0,cliffs,0.6938298103002418,0.7403394294026785,0.5603837060915822,0.05849977435057701,0.24186726597573516,0.1676128808068339,0.4194191334433435,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.24,24.0,cliffs,0.6980862313496451,0.7494777519931013,0.5677699541707918,0.058706605984194304,0.2422944613155536,0.16765713322429948,0.4173664334045839,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.25,25.0,cliffs,0.6773689054754167,0.7412308289173989,0.5626167491566612,0.06458063272241837,0.2541271979195032,0.17034843452980955,0.35906966949883623,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.26,26.0,cliffs,0.7196287861471082,0.7590995880533692,0.5769230793802177,0.0515888202441061,0.22713172443343554,0.15984800801369498,0.48800688046306495,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.27,27.0,cliffs,0.696081308232757,0.7553682389263142,0.5734052409295489,0.057823165801081884,0.24046447929181117,0.16460759473453404,0.4261341333274695,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.28,28.000000000000004,cliffs,0.6826666589930261,0.7492857252269839,0.5644343857481594,0.06126126990647449,0.24751014101744295,0.17026147811713482,0.392012677595715,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.29,28.999999999999996,cliffs,0.6795588851998069,0.7389235127103597,0.560453873582178,0.06112764613818704,0.24724005771352472,0.16885361349627237,0.39333882635519535,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.3,30.0,cliffs,0.7050562115944528,0.7624673479879889,0.5816060129148233,0.05790726807047801,0.2406392903714562,0.1637674919641493,0.42529946056184875,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.31,31.0,cliffs,0.708114391239427,0.7632374455872355,0.5791488984480937,0.05682877390071022,0.23838786441576723,0.16447347906665433,0.43600297329520876,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.32,32.0,cliffs,0.6895960958798636,0.74131030684467,0.5610341140135899,0.05873401572977194,0.24235101759590766,0.16788181032669577,0.41709440545206233,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.33,33.0,cliffs,0.6891932485111391,0.7493044411369562,0.5678821631493534,0.059897410187093714,0.24473947410888525,0.1673023178799486,0.4055483000238381,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.34,34.0,cliffs,0.7125494918390185,0.7631543898346923,0.578878438333577,0.05563914673423272,0.23587951741139526,0.16431944883866662,0.4478094251808823,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.35,35.0,cliffs,0.6817081685841607,0.7382337810906655,0.5610700785128893,0.06164921882825786,0.2482926072766925,0.16928536428993654,0.38816247947633575,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.36,36.0,cliffs,0.6902389611854401,0.7647957298985675,0.5797913621739886,0.06189797332995221,0.24879303312181436,0.1680389318917242,0.38569371603653013,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
cliffs,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.37,37.0,cliffs,0.6740244083672132,0.7381638464804687,0.5602273221630734,0.06147643174594388,0.24794441261287556,0.16735233244111208,0.38987730444947943,13097.0,3275.0,0.0,0.0,1756.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
