scenario,dataset,source,fraction,fraction_pct,noise_types,pearson_r,spearman_r,kendall_tau,mse,rmse,mae,r2,n_train,n_test,n_conflicts_train_added,n_conflicts_test_added,n_cliffs_train_modified,n_cliffs_test_modified,n_contam_train_to_test,n_contam_test_to_train,n_overlap_smiles,frac_overlap_train,frac_overlap_test
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.0,0.0,contamination,0.8739981463807646,0.8723373948026751,0.6982119528921884,0.024672233697897023,0.15707397524063949,0.11162126872971811,0.7551404773910533,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.01,1.0,contamination,0.875658787080529,0.8742844962683617,0.7003394842489525,0.024394664940056144,0.1561879154738168,0.11100292415209895,0.7578952078450643,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,33.0,126.0,0.009757608611476806,0.038662166308683646
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.02,2.0,contamination,0.8767843876464915,0.87397358756126,0.701219694529291,0.024176428317113266,0.15548771114500742,0.11013602162354184,0.7600610966723146,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,66.0,159.0,0.0123122192968871,0.04878797177048174
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.03,3.0,contamination,0.8802984427094775,0.8783524326856035,0.7068648194932332,0.023582108406237177,0.15356467173877322,0.10850202292742032,0.7659594231650032,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,98.0,191.0,0.014789005032907473,0.058606934642528384
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.04,4.0,contamination,0.8825968919531929,0.8766029267388296,0.7049638310920475,0.02313662354462325,0.15210727643549224,0.10832489945353205,0.7703806365776176,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,131.0,224.0,0.017341487961600992,0.06873274010432648
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.05,5.0,contamination,0.8808691721601914,0.8780494566049556,0.7069886004455731,0.023408940701043608,0.15299980621243808,0.10789458808807814,0.7676780256289786,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,163.0,256.0,0.01981270799473725,0.07855170297637312
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.06,6.0,contamination,0.8803800063332711,0.879655483203396,0.7087814832572835,0.023584230836662883,0.15357158212593527,0.10748685171430776,0.7659383591094672,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,196.0,289.0,0.022373616164744134,0.08867750843817122
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.07,7.000000000000001,contamination,0.8843226820252691,0.8829358765134064,0.7141550152696713,0.02286399091872316,0.1512084353424873,0.10552515518196814,0.7730863784023316,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,229.0,322.0,0.024930318984205637,0.09880331389996931
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.08,8.0,contamination,0.8842121335976929,0.8822659525484324,0.7124550794409971,0.022860668606187726,0.15119744907301752,0.10571511746472356,0.7731193506849123,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,261.0,354.0,0.0273972602739726,0.10862227677201595
contamination,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.09,9.0,contamination,0.8848140203883683,0.8840261810427229,0.7148245922809954,0.022775543702925168,0.1509156840852705,0.10534230878699759,0.7739641725778235,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,294.0,387.0,0.0299512421639192,0.11874808223381406
