scenario,dataset,source,fraction,fraction_pct,noise_types,pearson_r,spearman_r,kendall_tau,mse,rmse,mae,r2,n_train,n_test,n_conflicts_train_added,n_conflicts_test_added,n_cliffs_train_modified,n_cliffs_test_modified,n_contam_train_to_test,n_contam_test_to_train,n_overlap_smiles,frac_overlap_train,frac_overlap_test
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.0,0.0,conflicts,0.8739981463807646,0.8723373948026751,0.6982119528921884,0.024672233697897023,0.15707397524063949,0.11162126872971811,0.7551404773910533,13097.0,3275.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.01,1.0,conflicts,0.8710456005533526,0.8703118245453986,0.6953240015966827,0.02507522307892549,0.1583515806012857,0.11274437941819901,0.7511410102709151,13228.0,3275.0,131.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.02,2.0,conflicts,0.8665773447344943,0.865723565639897,0.6884173557803223,0.02572492455588279,0.16038991413390927,0.11474949759123979,0.7446930495619641,13359.0,3275.0,262.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.03,3.0,conflicts,0.8584133273834575,0.8581310996738166,0.6799797150361739,0.026973075741563837,0.16423481890745287,0.11776681790312038,0.7323057761917504,13490.0,3275.0,393.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.04,4.0,conflicts,0.8540362593087132,0.8544282361513728,0.6739567572565457,0.027581644557574003,0.16607722468049013,0.12044654293791082,0.7262660364751294,13621.0,3275.0,524.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.05,5.0,conflicts,0.8577464809291923,0.8593517303405755,0.6788622604253022,0.027076680545279556,0.1645499332885904,0.11895620433705523,0.7312775505722764,13752.0,3275.0,655.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.06,6.0,conflicts,0.8426886527470357,0.8467312317698833,0.6650724823665574,0.029399687177691154,0.17146336978401874,0.12382486800276325,0.7082228769665297,13883.0,3275.0,786.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.07,7.000000000000001,conflicts,0.8441822096879119,0.8453416288020204,0.6620209429883047,0.029146518937724283,0.17072351606537478,0.12491572378218695,0.7107354445409574,14014.0,3275.0,917.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.08,8.0,conflicts,0.8424759550185661,0.841104364859814,0.6589171512234383,0.029362406765921435,0.17135462283207137,0.12492619341863441,0.70859286632138,14145.0,3275.0,1048.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.09,9.0,conflicts,0.8389572165737257,0.8412573054511429,0.6566982909490118,0.029996229716853225,0.17319419654495707,0.1263675515228043,0.7023024920048875,14276.0,3275.0,1179.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.1,10.0,conflicts,0.8312732745908143,0.8320625996025414,0.6472342640392331,0.031140108811919025,0.17646560234765024,0.12954875068138716,0.6909500667413395,14407.0,3275.0,1310.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.11,11.0,conflicts,0.8358624529521768,0.8398359709510053,0.6549668707954265,0.03042885102569224,0.17443867411125388,0.1275941798625883,0.6980089428901266,14538.0,3275.0,1441.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.12,12.0,conflicts,0.8261536490975965,0.8341284113636467,0.6472510594492161,0.03201359643140208,0.17892343734514515,0.1306135742511224,0.6822811410116973,14669.0,3275.0,1572.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.13,13.0,conflicts,0.8298966857622809,0.8304342142451608,0.6439106390192553,0.03138225966646832,0.17715038714738482,0.13061022105694944,0.6885468411813715,14800.0,3275.0,1703.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.14,14.000000000000002,conflicts,0.8225715218553024,0.8258814908501209,0.6374985247190621,0.03259301317425561,0.18053535159146977,0.13346704009700508,0.6765307209733673,14931.0,3275.0,1834.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.15,15.0,conflicts,0.819147380825074,0.8218989503061555,0.6345944117173273,0.033151869619510936,0.18207654879064172,0.13527046463251355,0.6709843515579457,15062.0,3275.0,1965.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.16,16.0,conflicts,0.8191214502385246,0.8230337677002917,0.6348478357924049,0.03316013113561197,0.182099234308143,0.13470376496523248,0.670902360161735,15193.0,3275.0,2096.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.17,17.0,conflicts,0.8222940799355992,0.8223487718370062,0.6328581395564136,0.032692747470482154,0.180811358798285,0.13513865146265056,0.6755409081959434,15324.0,3275.0,2227.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.18,18.0,conflicts,0.8190302825319047,0.824855349784071,0.6333495576750153,0.03327815599185993,0.18242301387670343,0.13665728885659392,0.6697310227663971,15455.0,3275.0,2358.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.19,19.0,conflicts,0.807211399491359,0.8128935817923042,0.6221109433239304,0.035297425514387366,0.1878760908534861,0.14104837338856363,0.6496907873601068,15586.0,3275.0,2489.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.2,20.0,conflicts,0.7959968584993066,0.7926467893503656,0.6014122800608273,0.03702916639597612,0.19242964011808608,0.14592884245049134,0.6325041292431174,15717.0,3275.0,2620.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.21,21.0,conflicts,0.7969653354674113,0.7991967823538886,0.607064868598454,0.03704110089600156,0.19246064765557025,0.14533741537269193,0.6323856853269894,15848.0,3275.0,2751.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.22,22.0,conflicts,0.7952958904481938,0.7974343155622341,0.6053797291301553,0.03727407247547968,0.19306494367305443,0.14626017905130068,0.6300735594598723,15979.0,3275.0,2882.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.23,23.0,conflicts,0.7991025957253883,0.8025155746526463,0.6109658824905155,0.03677654889289809,0.19177212751830774,0.14447681223164413,0.6350112310306473,16110.0,3275.0,3013.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.24,24.0,conflicts,0.7942354840950306,0.7981828481099433,0.6043910393291534,0.037808715201677404,0.1944446327407301,0.14798370141541203,0.6247674990396406,16241.0,3275.0,3144.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.25,25.0,conflicts,0.7914269985257336,0.7917910985492448,0.5996140514986428,0.038056608709307625,0.1950810311365706,0.1468419688991665,0.6223072805333054,16372.0,3275.0,3275.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.26,26.0,conflicts,0.7800307809586605,0.7785431558967852,0.585600707871457,0.039967938234248684,0.19991982951735598,0.15172516696567204,0.603338295367388,16503.0,3275.0,3406.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.27,27.0,conflicts,0.7837330277852375,0.7917388550851987,0.5963934383265609,0.03974358899095767,0.19935794188082318,0.15193895757593848,0.6055648488802383,16634.0,3275.0,3537.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
conflicts,novartis-adme-novartis-cyp3a4-reg,runs/polaris/novartis-adme-novartis-cyp3a4-reg/records.csv::resplit_train,0.28,28.000000000000004,conflicts,0.7727891305080281,0.7709649682576292,0.5775079328789605,0.04139981552137319,0.2034694461617596,0.15588017838811466,0.5891276327556041,16765.0,3275.0,3668.0,0.0,0.0,0.0,0.0,0.0,93.0,0.007202044451328119,0.028536360846885548
