smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C27H33N3O2/c1-17-7-5-6-8-23(17)19-9-10-24-20(14-19)15-21(25(28)30-24)13-18(2)26(31)29-22-11-12-32-27(3,4)16-22/h5-10,14-15,18,22H,11-13,16H2,1-4H3,(H2,28,30)(H,29,31)/t18-,22-/m1/s1",1,BACE_1,train
CCCO[C@H]1CN[C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,True,"((2, 'molecule has a stereo bond in a ring'),)",0,"InChI=1S/C36H50F2N4O5/c1-5-15-47-29-20-30(39-22-29)33(44)31(18-26-16-27(37)19-28(38)17-26)40-34(45)32(12-11-25-9-7-6-8-10-25)42-14-13-36(35(42)46,21-23(2)3)41-24(4)43/h6-10,16-17,19,23,29-33,39,44H,5,11-15,18,20-22H2,1-4H3,(H,40,45)(H,41,43)/p+1/t29-,30-,31+,32+,33-,36+/m1/s1",1,BACE_2,train
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C32H38N4O5S/c1-4-24-21-36-13-14-42(39,40)35(2)29-18-25(17-27(24)31(29)36)32(38)34-28(16-22-9-6-5-7-10-22)30(37)20-33-19-23-11-8-12-26(15-23)41-3/h5-12,15,17-18,21,28,30,33,37H,4,13-14,16,19-20H2,1-3H3,(H,34,38)/p+1/t28-,30+/m0/s1",1,BACE_3,train
CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,True,aniline,1,"InChI=1S/C28H38F4N2O5S/c1-5-38-14-24(28(30,31)32)39-23-12-18(11-21(29)25(23)33)9-19-15-40(36,37)16-22(26(19)35)34-13-17-7-6-8-20(10-17)27(2,3)4/h6-8,10-12,19,22,24,26,34-35H,5,9,13-16,33H2,1-4H3/p+1/t19-,22+,24-,26+/m1/s1",1,BACE_4,train
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C32H35F3N4O4S/c1-3-23-20-39-12-13-44(42,43)38(2)28-17-24(16-26(23)30(28)39)31(41)37-27(15-21-8-5-4-6-9-21)29(40)19-36-18-22-10-7-11-25(14-22)32(33,34)35/h4-11,14,16-17,20,27,29,36,40H,3,12-13,15,18-19H2,1-2H3,(H,37,41)/p+1/t27-,29+/m0/s1",1,BACE_5,train
CC(C)(C)c1cccc(CN[C@H]2C[S+]([O-])C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,True,"aniline, charged oxygen or sulfur atoms",2,"InChI=1S/C26H31F7N2O3S/c1-24(2,3)17-6-4-5-14(8-17)11-35-19-13-39(37)12-16(22(19)36)7-15-9-18(27)21(34)20(10-15)38-23(25(28,29)30)26(31,32)33/h4-6,8-10,16,19,22-23,35-36H,7,11-13,34H2,1-3H3/p+1/t16-,19+,22+,39?/m1/s1",1,BACE_6,train
CCCCCS(=O)(=O)CC(NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1,True,Aliphatic long chain,1,"InChI=1S/C33H42F2N4O5S/c1-3-5-6-13-45(43,44)22-30(39-32(41)26-11-8-12-36-20-26)33(42)38-29(17-25-15-27(34)18-28(35)16-25)31(40)21-37-19-24-10-7-9-23(4-2)14-24/h7-12,14-16,18,20,29-31,37,40H,3-6,13,17,19,21-22H2,1-2H3,(H,38,42)(H,39,41)/p+1/t29-,30+,31+/m0/s1",1,BACE_7,train
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)CN2)c1,True,"((2, 'molecule has a stereo bond in a ring'),)",0,"InChI=1S/C34H41F2N3O4/c1-4-11-39(12-5-2)34(42)25-14-22(3)13-24(18-25)33(41)38-31(17-23-15-26(35)19-27(36)16-23)32(40)30-20-29(21-37-30)43-28-9-7-6-8-10-28/h6-10,13-16,18-19,29-32,37,40H,4-5,11-12,17,20-21H2,1-3H3,(H,38,41)/p+1/t29-,30-,31+,32-/m1/s1",1,BACE_11,train
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCCS2(=O)=O)c1,True,(),0,"InChI=1S/C31H37F3N4O4S/c1-2-36-26-17-24(18-27(19-26)38-13-6-7-14-43(38,41)42)30(40)37-28(16-22-9-4-3-5-10-22)29(39)21-35-20-23-11-8-12-25(15-23)31(32,33)34/h3-5,8-12,15,17-19,28-29,35-36,39H,2,6-7,13-14,16,20-21H2,1H3,(H,37,40)/p+1/t28-,29+/m0/s1",1,BACE_13,train
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,True,(),0,"InChI=1S/C35H47N5O5S/c1-4-36-29-21-27(22-31(23-29)40(46(3,44)45)30-18-12-7-13-19-30)35(43)39-32(20-26-14-8-5-9-15-26)33(41)24-37-25(2)34(42)38-28-16-10-6-11-17-28/h5,7-9,12-15,18-19,21-23,25,28,32-33,36-37,41H,4,6,10-11,16-17,20,24H2,1-3H3,(H,38,42)(H,39,43)/p+1/t25-,32-,33+/m0/s1",1,BACE_14,train
COC[C@@H](Oc1cc(C[C@@H]2C[S+]([O-])C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,True,"aniline, charged oxygen or sulfur atoms",2,"InChI=1S/C27H36F4N2O4S/c1-26(2,3)19-7-5-6-16(9-19)12-33-21-15-38(35)14-18(25(21)34)8-17-10-20(28)24(32)22(11-17)37-23(13-36-4)27(29,30)31/h5-7,9-11,18,21,23,25,33-34H,8,12-15,32H2,1-4H3/p+1/t18-,21+,23-,25+,38?/m1/s1",1,BACE_15,train
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,True,(),0,"InChI=1S/C33H41F2N3O4/c1-5-10-38(11-6-2)33(41)26-13-22(3)12-25(18-26)32(40)37-30(17-24-14-27(34)19-28(35)15-24)31(39)21-36-20-23-8-7-9-29(16-23)42-4/h7-9,12-16,18-19,30-31,36,39H,5-6,10-11,17,20-21H2,1-4H3,(H,37,40)/p+1/t30-,31+/m0/s1",1,BACE_16,train
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(I)c2)c1,True,iodine,1,"InChI=1S/C32H38F2IN3O3/c1-4-9-38(10-5-2)32(41)25-12-21(3)11-24(17-25)31(40)37-29(16-23-13-26(33)18-27(34)14-23)30(39)20-36-19-22-7-6-8-28(35)15-22/h6-8,11-15,17-18,29-30,36,39H,4-5,9-10,16,19-20H2,1-3H3,(H,37,40)/p+1/t29-,30+/m0/s1",1,BACE_18,train
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C2NCN(Cc3ccccc3)C2=O)c1,True,(),0,"InChI=1S/C34H40F2N4O4/c1-4-11-39(12-5-2)33(43)26-14-22(3)13-25(18-26)32(42)38-29(17-24-15-27(35)19-28(36)16-24)31(41)30-34(44)40(21-37-30)20-23-9-7-6-8-10-23/h6-10,13-16,18-19,29-31,37,41H,4-5,11-12,17,20-21H2,1-3H3,(H,38,42)/p+1/t29-,30-,31-/m0/s1",1,BACE_19,train
CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,True,(),0,"InChI=1S/C28H38FN3O3/c1-18(33)32-23(13-19-6-8-21(29)9-7-19)25(34)17-30-24-15-28(10-5-11-28)35-26-22(24)12-20(16-31-26)14-27(2,3)4/h6-9,12,16,23-25,30,34H,5,10-11,13-15,17H2,1-4H3,(H,32,33)/p+1/t23-,24-,25+/m0/s1",1,BACE_21,train
CC[C@H](C)[C@@]1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)C1=O,True,(),0,"InChI=1S/C38H50N4O5/c1-5-27(2)38(41-28(3)43)21-22-42(37(38)46)34(20-19-29-13-8-6-9-14-29)36(45)40-33(24-30-15-10-7-11-16-30)35(44)26-39-25-31-17-12-18-32(23-31)47-4/h6-18,23,27,33-35,39,44H,5,19-22,24-26H2,1-4H3,(H,40,45)(H,41,43)/p+1/t27-,33-,34-,35+,38-/m0/s1",1,BACE_22,train
