smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CC(C)NCC(O)COc1cccc2ccccc12,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0.0,"InChI=1S/C16H21NO2.Cl/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16;/h3-9,12,14,17-18H,10-11H2,1-2H3;",1,1,train
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,True,alkyl halide,1.0,"InChI=1S/C18H27Cl2NO2/c1-18(2,3)23-17(22)6-4-5-15-7-9-16(10-8-15)21(13-11-19)14-12-20/h7-10H,4-6,11-14H2,1-3H3",1,2,train
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0.0,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",1,3,train
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,True,Aliphatic long chain,1.0,"InChI=1S/C17H26N2O2/c1-15(20)18-9-6-12-21-17-8-5-7-16(13-17)14-19-10-3-2-4-11-19/h5,7-8,13H,2-4,6,9-12,14H2,1H3,(H,18,20)",1,4,train
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,True,"((2, 'molecule has a stereo bond in a ring'),)",0.0,"InChI=1S/C19H18ClN3O5S/c1-8-11(12(22-28-8)9-6-4-5-7-10(9)20)15(24)21-13-16(25)23-14(18(26)27)19(2,3)29-17(13)23/h4-7,13-14,17H,1-3H3,(H,21,24)(H,26,27)/t13-,14+,17-/m1/s1",1,5,train
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,True,diketo group,1.0,"InChI=1S/C25H27N9O8S2/c1-3-32-8-9-33(21(39)20(32)38)24(42)27-15(12-4-6-14(35)7-5-12)18(36)26-16-19(37)34-17(23(40)41)13(10-43-22(16)34)11-44-25-28-29-30-31(25)2/h4-7,15-16,22,35H,3,8-11H2,1-2H3,(H,26,36)(H,27,42)(H,40,41)/t15-,16-,22-/m1/s1",1,6,train
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,True,"((2, 'InChI: Omitted undefined stereo'),)",0.0,"InChI=1S/C18H19N3O/c1-12-19-9-10-21(12)11-13-7-8-16-17(18(13)22)14-5-3-4-6-15(14)20(16)2/h3-6,9-10,13H,7-8,11H2,1-2H3",1,8,train
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,True,(),0.0,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1",1,9,train
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,True,"imine, imine",2.0,"InChI=1S/C6H8ClN7O/c7-2-4(9)13-3(8)1(12-2)5(15)14-6(10)11/h(H4,8,9,13)(H4,10,11,14,15)",1,10,train
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,True,"((2, 'InChI: Omitted undefined stereo'),)",0.0,"InChI=1S/C17H16ClN5O4/c1-17(26,7-24)16-20-14(21-27-16)13-11-6-22(2)15(25)12-9(18)4-3-5-10(12)23(11)8-19-13/h3-5,8,24,26H,6-7H2,1-2H3",0,11,train
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,True,(),0.0,"InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)/t6-,7+,8+/m0/s1",1,12,train
ClCCl,True,alkyl halide,1.0,InChI=1S/CH2Cl2/c2-1-3/h1H2,1,13,train
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0.0,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)",1,14,train
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0.0,"InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3",1,15,train
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,True,(),0.0,"InChI=1S/C21H32N6O3/c1-4-19(28)27(18-9-7-6-8-10-18)21(17-30-3)11-13-24(14-12-21)15-16-26-20(29)25(5-2)22-23-26/h6-10H,4-5,11-17H2,1-3H3",1,16,train
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,True,(),0.0,"InChI=1S/C29H33ClN2O2/c1-31(2)27(33)29(24-9-5-3-6-10-24,25-11-7-4-8-12-25)19-22-32-20-17-28(34,18-21-32)23-13-15-26(30)16-14-23/h3-16,34H,17-22H2,1-2H3",1,17,train
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,True,"((2, 'InChI: Omitted undefined stereo'),)",0.0,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13?,14?,15?,16-/m1/s1",1,18,train
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,True,(),0.0,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",1,19,train
CCCC(C)C,True,(),0.0,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",1,21,train
C[C@H](N)Cc1ccccc1,True,(),0.0,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m0/s1",1,22,train
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,True,Aliphatic long chain,1.0,"InChI=1S/C25H28N4O2S/c1-29(2)16-22-9-10-23(31-22)17-32-12-11-26-25-27-15-21(24(30)28-25)14-18-7-8-19-5-3-4-6-20(19)13-18/h3-10,13,15H,11-12,14,16-17H2,1-2H3,(H2,26,27,28,30)",0,23,train
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,True,(),0.0,"InChI=1S/C17H27NO4/c1-17(2,3)18-9-12(19)10-22-16-6-4-5-11-7-14(20)15(21)8-13(11)16/h4-6,12,14-15,18-21H,7-10H2,1-3H3/t12?,14-,15+/m1/s1",1,24,train
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,True,(),0.0,"InChI=1S/C22H30N2O2S/c1-3-21(25)24(19-8-5-4-6-9-19)22(18-26-2)12-15-23(16-13-22)14-11-20-10-7-17-27-20/h4-10,17H,3,11-16,18H2,1-2H3",1,25,train
CCN=C(NC#N)NCCSCc1ncccc1Br,True,"Aliphatic long chain, cyanate/aminonitrile/thiocyanate, enamine, imine, imine",5.0,"InChI=1S/C12H16BrN5S/c1-2-15-12(18-9-14)17-6-7-19-8-11-10(13)4-3-5-16-11/h3-5H,2,6-8H2,1H3,(H2,15,17,18)",0,26,train
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,True,"((5, 'molecule has a crossed bond in a ring'),)",0.0,"InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3",1,27,train
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,True,2-halo pyridine,1.0,"InChI=1S/C10H11ClF3N3/c11-9-7(10(12,13)14)1-2-8(16-9)17-5-3-15-4-6-17/h1-2,15H,3-6H2",1,29,train
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,True,beta-keto/anhydride,1.0,"InChI=1S/C11H18N2O3/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",1,31,train
