smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C20H27NO11/c21-6-10(9-4-2-1-3-5-9)30-20-18(28)16(26)14(24)12(32-20)8-29-19-17(27)15(25)13(23)11(7-22)31-19/h1-5,10-20,22-28H,7-8H2",-0.77,Amigdalin,train
Cc1occc1C(=O)Nc1ccccc1,True,(),0,"InChI=1S/C12H11NO2/c1-9-11(7-8-15-9)12(14)13-10-5-3-2-4-6-10/h2-8H,1H3,(H,13,14)",-3.3,Fenfuram,train
c1ccsc1,True,(),0,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,-1.33,Thiophene,train
c1ccc2scnc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,-1.5,benzothiazole,train
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,True,(),0,InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H,-7.32,"2,2,4,6,6'-PCB",train
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3",-5.03,Estradiol,train
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,True,isolated alkene,1,"InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3",-4.42,Rotenone,train
Clc1ccc2ccccc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,InChI=1S/C10H7Cl/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,-4.14,2-Chloronapthalene,train
C=CCCC,True,isolated alkene,1,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",-2.68,1-Pentene ,train
CCC1(c2ccccc2)C(=O)NCNC1=O,True,beta-keto/anhydride,1,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",-2.64,Primidone,train
