smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H21ClN4/c1-22-18-5-3-2-4-17(18)21-19(22)14-23-10-12-24(13-11-23)16-8-6-15(20)7-9-16/h2-9H,10-14H2,1H3",3.54,CHEMBL596271,train
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",3.69,CHEMBL1771,train
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H18ClN3O4S/c20-16-7-11-6-13(22-18(11)28-16)17(26)21-14-5-10-3-1-2-4-15(10)23(19(14)27)8-12(25)9-24/h1-4,6-7,12,14,22,24-25H,5,8-9H2,(H,21,26)/t12-,14?/m1/s1",3.37,CHEMBL234951,train
Cc1cccc(CC(NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,True,cyanamide,1,"InChI=1S/C21H27N5O2/c1-14-7-6-8-15(11-14)12-16(19(27)23-10-9-22)24-20(28)17-13-18(21(2,3)4)25-26(17)5/h6-8,11,13,16H,10,12H2,1-5H3,(H,23,27)(H,24,28)/t16-/m0/s1",3.1,CHEMBL565079,train
OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,True,triple bond,1,"InChI=1S/C21H21NO/c23-21(16-22-14-11-20(21)12-15-22)13-10-17-6-8-19(9-7-17)18-4-2-1-3-5-18/h1-9,20,23H,11-12,14-16H2",3.14,CHEMBL317462,train
CNc1cccc(CCOc2ccc(CC(NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C25H25Cl2N3O4/c1-15-13-16(9-10-21(15)34-12-11-17-5-3-8-22(28-2)29-17)14-20(25(32)33)30-24(31)23-18(26)6-4-7-19(23)27/h3-10,13,20H,11-12,14H2,1-2H3,(H,28,29)(H,30,31)(H,32,33)/t20-/m0/s1",0.34,CHEMBL2030960,train
O=c1[nH]cnc2scc(-c3ccsc3)c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C10H6N2OS2/c13-9-8-7(6-1-2-14-3-6)4-15-10(8)12-5-11-9/h1-5H,(H,11,12,13)",2.25,CHEMBL1527751,train
CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,True,triple bond,1,"InChI=1S/C22H23NO4S/c1-28(25,26)21-8-6-20(7-9-21)27-19-4-2-17(3-5-19)10-13-22(24)16-23-14-11-18(22)12-15-23/h2-9,18,24H,11-12,14-16H2,1H3/t22-/m0/s1",1.51,CHEMBL1940306,train
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)[nH]n1,True,(),0,"InChI=1S/C17H17FN8/c1-9-6-15(26-25-9)23-16-11(3)21-14(7-19)17(24-16)22-10(2)13-5-4-12(18)8-20-13/h4-6,8,10H,1-3H3,(H3,22,23,24,25,26)/t10-/m0/s1",2.61,CHEMBL578201,train
O=C1CCCCCN1,True,(),0,"InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)",-0.08,CHEMBL276218,train
CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C18H21N3OS/c1-2-13-23-17-15(5-3-9-20-17)18(22)21-12-4-6-16(21)14-7-10-19-11-8-14/h3,5,7-11,16H,2,4,6,12-13H2,1H3",1.95,CHEMBL2153181,train
Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,True,aniline,1,"InChI=1S/C13H10N2OS/c14-9-3-1-8(2-4-9)13-15-11-6-5-10(16)7-12(11)17-13/h1-7,16H,14H2",3.2,CHEMBL93884,train
COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H19ClN4O3S/c1-30-19-10-15(6-7-18(19)26-9-8-16(28)12-26)27-22(29)21-17(24-25-27)11-20(31-21)13-2-4-14(23)5-3-13/h2-7,10-11,16,28H,8-9,12H2,1H3/t16-/m1/s1",3.15,CHEMBL469790,train
CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C26H28N6O4/c1-35-23-15-31(10-11-32-21-12-17(13-27)2-3-18(21)4-7-25(32)34)9-8-20(23)28-14-19-5-6-22-26(29-19)30-24(33)16-36-22/h2-7,12,20,23,28H,8-11,14-16H2,1H3,(H,29,30,33)/t20-,23+/m1/s1",0.32,CHEMBL2165055,train
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2[nH]c(=O)sc12,True,Aliphatic long chain,1,"InChI=1S/C25H34N2O3S/c1-25(2,15-7-4-8-17-30-18-14-19-9-5-3-6-10-19)26-16-13-20-11-12-21(28)22-23(20)31-24(29)27-22/h3,5-6,9-12,26,28H,4,7-8,13-18H2,1-2H3,(H,27,29)",2.92,CHEMBL322479,train
O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,True,(),0,"InChI=1S/C20H18ClN5O4/c21-14-3-1-13(2-4-14)17(27)23-20-25-24-19(30-20)18(28)22-15-5-7-16(8-6-15)26-9-11-29-12-10-26/h1-8H,9-12H2,(H,22,28)(H,23,25,27)",1.92,CHEMBL2036736,train
