smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C9H10N2O3S2/c1-2-14-6-3-4-7-8(5-6)15-9(11-7)16(10,12)13/h3-5H,2H2,1H3,(H2,10,12,13)","[0.0, 0.0, 1.0, None, None, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",TOX3021,train
CCn1c(O)c(-c2ccccc2)[nH]c1=O,True,(),0,"InChI=1S/C11H12N2O2/c1-2-13-10(14)9(12-11(13)15)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3,(H,12,15)","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0.0, None, 0.0, 0.0]",TOX3020,train
CC(O)(P(=O)(O)O)P(=O)(O)O,True,phosphor,1,"InChI=1S/C2H8O7P2/c1-2(3,10(4,5)6)11(7,8)9/h3H,1H3,(H2,4,5,6)(H2,7,8,9)","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",TOX20800,train
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,True,"Oxygen-nitrogen single bond, peroxide",2,"InChI=1S/C16H34O4/c1-13(2,3)17-19-15(7,8)11-12-16(9,10)20-18-14(4,5)6/h11-12H2,1-10H3","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0.0, 0.0, 0.0, 0.0]",TOX5110,train
O=S(=O)(Cl)c1ccccc1,True,(),0,"InChI=1S/C6H5ClO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",TOX6619,train
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,True,iodine,1,"InChI=1S/C14H9I3O4/c15-9-6-8(1-2-12(9)18)21-14-10(16)3-7(4-11(14)17)5-13(19)20/h1-4,6,18H,5H2,(H,19,20)","[0.0, None, 0.0, None, 1.0, None, None, 1.0, 0.0, 1.0, 0.0, 1.0]",TOX25232,train
CCCCCCCC(=O)O,True,Aliphatic long chain,1,"InChI=1S/2C8H16O2.Zn/c2*1-2-3-4-5-6-7-8(9)10;/h2*2-7H2,1H3,(H,9,10);/q;;+2/p-2","[None, None, None, None, None, None, None, 0.0, None, 0.0, None, None]",TOX22517,train
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,True,"phosphor, quaternary nitrogen",2,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","[0.0, 0.0, 0.0, None, 0.0, 0.0, 0.0, None, 0.0, None, None, 0.0]",TOX25236,train
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,True,iodine,1,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1","[0.0, 0.0, None, None, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",TOX25238,train
CC(C)COC(=O)C(C)C,True,(),0,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",TOX6612,train
