smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CCn1c(=O)oc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc21,True,(),0,"InChI=1S/C20H22N2O3/c1-5-22-16-11-10-15(12-17(16)25-19(22)24)21-18(23)13-6-8-14(9-7-13)20(2,3)4/h6-12H,5H2,1-4H3,(H,21,23)",0.21005085,0,train
O=C1NCCSc2c1sc1ccc(O)cc21,True,(),0,"InChI=1S/C11H9NO2S2/c13-6-1-2-8-7(5-6)9-10(16-8)11(14)12-3-4-15-9/h1-2,5,13H,3-4H2,(H,12,14)",0.891593204,1,train
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H23N5O3S/c27-20(17-8-9-17)23-21-22-19-3-1-2-18(26(19)24-21)16-6-4-15(5-7-16)14-25-10-12-30(28,29)13-11-25/h1-7,17H,8-14H2,(H,23,24,27)",1.681349797,2,train
C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,True,(),0,"InChI=1S/C18H13ClF4N6O/c1-9-15-13(29(27-26-15)17-24-7-10(20)8-25-17)5-6-28(9)16(30)11-3-2-4-12(14(11)19)18(21,22)23/h2-4,7-9H,5-6H2,1H3/t9-/m1/s1",0.969089603,3,train
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C24H24ClN5O2/c1-15(31)28-19-11-7-17(8-12-19)23(32)30-13-3-2-4-21(30)22-20(14-27-24(26)29-22)16-5-9-18(25)10-6-16/h5-12,14,21H,2-4,13H2,1H3,(H,28,31)(H2,26,27,29)",0.596926814,4,train
Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H20FN5O2/c23-14-3-1-2-13(8-14)18-7-6-16-17(9-25-20(24)19(16)27-18)21(29)26-15-10-28(11-15)22(30)12-4-5-12/h1-3,6-9,12,15H,4-5,10-11H2,(H2,24,25)(H,26,29)",0.623352682,5,train
O=C(Nc1ccc(CN2CCCCC2)cc1)c1ccnc2[nH]cnc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H21N5O/c25-19(16-8-9-20-18-17(16)21-13-22-18)23-15-6-4-14(5-7-15)12-24-10-2-1-3-11-24/h4-9,13H,1-3,10-12H2,(H,23,25)(H,20,21,22)",1.767526899,6,train
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,True,(),0,"InChI=1S/C13H18Cl2N2O2S/c1-2-16-5-7-17(8-6-16)20(18,19)10-11-3-4-12(14)13(15)9-11/h3-4,9H,2,5-8,10H2,1H3",1.249124949,7,train
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C16H14ClN3O2/c17-13-4-2-1-3-12(13)14-15(21)19-9-10-20(14)16(22)11-5-7-18-8-6-11/h1-8,14H,9-10H2,(H,19,21)",1.876996793,8,train
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,True,Michael acceptor,1,"InChI=1S/C26H26FN7O2/c1-3-23(35)29-17-5-4-6-19(15-17)36-25-20-9-10-28-24(20)31-26(32-25)30-18-7-8-22(21(27)16-18)34-13-11-33(2)12-14-34/h3-10,15-16H,1,11-14H2,2H3,(H,29,35)(H2,28,30,31,32)",0.039414119,9,train
