smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CCn1c(=O)oc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc21,True,(),0,"InChI=1S/C20H22N2O3/c1-5-22-16-11-10-15(12-17(16)25-19(22)24)21-18(23)13-6-8-14(9-7-13)20(2,3)4/h6-12H,5H2,1-4H3,(H,21,23)",0.180412633,0,train
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,True,(),0,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",1.855513099,1,train
Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C23H21FN4/c24-20-7-2-1-6-18(20)19-14-26-27-23(19)22-8-4-12-28(22)15-16-9-10-21-17(13-16)5-3-11-25-21/h1-3,5-7,9-11,13-14,22H,4,8,12,15H2,(H,26,27)",0.460897843,2,train
O=C1NCCSc2c1sc1ccc(O)cc21,True,(),0,"InChI=1S/C11H9NO2S2/c13-6-1-2-8-7(5-6)9-10(16-8)11(14)12-3-4-15-9/h1-2,5,13H,3-4H2,(H,12,14)",1.164679941,3,train
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H23N5O3S/c27-20(17-8-9-17)23-21-22-19-3-1-2-18(26(19)24-21)16-6-4-15(5-7-16)14-25-10-12-30(28,29)13-11-25/h1-7,17H,8-14H2,(H,23,24,27)",1.601853652,4,train
C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,True,(),0,"InChI=1S/C18H13ClF4N6O/c1-9-15-13(29(27-26-15)17-24-7-10(20)8-25-17)5-6-28(9)16(30)11-3-2-4-12(14(11)19)18(21,22)23/h2-4,7-9H,5-6H2,1H3/t9-/m1/s1",1.240049772,5,train
CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C30H33FN8O2S/c1-4-24-29(35(3)30-34-27(25(14-32)42-30)20-5-7-21(31)8-6-20)39-15-22(13-19(2)28(39)33-24)37-11-9-36(10-12-37)18-26(41)38-16-23(40)17-38/h5-8,13,15,23,40H,4,9-12,16-18H2,1-3H3",-0.434152181,6,train
COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,True,(),0,"InChI=1S/C23H25N3O3/c1-28-15-13-20-24-21(29-25-20)16-26-17-23(14-12-22(26)27,18-8-4-2-5-9-18)19-10-6-3-7-11-19/h2-11H,12-17H2,1H3",1.25166255,7,train
CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H25F3N4O3/c1-20(2,31)8-9-29-12-13-10-17(14(21(3,4)32)11-16(13)28-29)27-19(30)15-6-5-7-18(26-15)22(23,24)25/h5-7,10-12,31-32H,8-9H2,1-4H3,(H,27,30)",1.092264361,8,train
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C24H24ClN5O2/c1-15(31)28-19-11-7-17(8-12-19)23(32)30-13-3-2-4-21(30)22-20(14-27-24(26)29-22)16-5-9-18(25)10-6-16/h5-12,14,21H,2-4,13H2,1H3,(H,28,31)(H2,26,27,29)",0.549861188,9,train
