family,dataset,run_dir,status,skip_reason,train_label_count,test_label_count,label_task_count,output_dir,task,metric,models,baseline_model
dti,BindingDB_cluster_cls,/mnt/delta/code/collab/bench/runs/dti/BindingDB_cluster_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BindingDB_protein_cls,/mnt/delta/code/collab/bench/runs/dti/BindingDB_protein_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BindingDB_random_cls,/mnt/delta/code/collab/bench/runs/dti/BindingDB_random_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BindingDB_scaffold_cls,/mnt/delta/code/collab/bench/runs/dti/BindingDB_scaffold_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BioSNAP_cluster_cls,/mnt/delta/code/collab/bench/runs/dti/BioSNAP_cluster_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BioSNAP_protein_cls,/mnt/delta/code/collab/bench/runs/dti/BioSNAP_protein_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BioSNAP_random_cls,/mnt/delta/code/collab/bench/runs/dti/BioSNAP_random_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,BioSNAP_scaffold_cls,/mnt/delta/code/collab/bench/runs/dti/BioSNAP_scaffold_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,Human_protein_cls,/mnt/delta/code/collab/bench/runs/dti/Human_protein_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,Human_random_cls,/mnt/delta/code/collab/bench/runs/dti/Human_random_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,Human_scaffold_cls,/mnt/delta/code/collab/bench/runs/dti/Human_scaffold_cls,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,PDBBindv2016_reg,/mnt/delta/code/collab/bench/runs/dti/PDBBindv2016_reg,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
dti,PDBBindv2020_reg,/mnt/delta/code/collab/bench/runs/dti/PDBBindv2020_reg,skipped,dti_pair_dataset_not_molecular_property,,,,,,,,
