dataset,task,metric,original_sota,clean_sota_rank1_prob,clean_top_by_rankprob,clean_top_score_model,clean_top_score,original_sota_clean_score
moleculenet/MoleculeNet-BACE,classification,auroc,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.9265165728580362,0.9265165728580362
moleculenet/MoleculeNet-BBBP,classification,auroc,ecfp_rf,1.0,ecfp_rf,ecfp_rf,0.9098436671966084,0.9098436671966084
moleculenet/MoleculeNet-ESOL,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.9994254774578868,0.9994254774578868
moleculenet/MoleculeNet-FreeSolv,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,1.7538328677059687,1.7538328677059687
moleculenet/MoleculeNet-HIV,classification,auroc,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.7955811399860249,0.7955811399860249
moleculenet/MoleculeNet-Lipophilicity,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.7984753238612383,0.7984753238612383
tdc/BBB_Martins,classification,auroc,lgbm_basic,1.0,lgbm_basic,lgbm_basic,0.8546884452510587,0.8546884452510587
tdc/Bioavailability_Ma,classification,auroc,ecfp_linear,1.0,ecfp_linear,ecfp_linear,0.7549857549857549,0.7549857549857549
tdc/CYP1A2_Veith,classification,auroc,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.8934504217523085,0.8934504217523085
tdc/CYP2C19_Veith,classification,auroc,lgbm_advanced,0.0,ecfp_rf,ecfp_rf,0.8477166341911353,0.8452843288763465
tdc/CYP2C9_Substrate_CarbonMangels,classification,auroc,lgbm_basic,1.0,lgbm_basic,lgbm_basic,0.745777027027027,0.745777027027027
tdc/CYP2C9_Veith,classification,auroc,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.8607411584939675,0.8607411584939675
tdc/CYP2D6_Substrate_CarbonMangels,classification,auroc,torch_mlp_basic,0.0,torch_mlp_advanced,torch_mlp_advanced,0.7147058823529412,0.7127450980392157
tdc/CYP2D6_Veith,classification,auroc,ecfp_rf,1.0,ecfp_rf,ecfp_rf,0.8409901252782522,0.8409901252782522
tdc/CYP3A4_Substrate_CarbonMangels,classification,auroc,ecfp_rf,1.0,ecfp_rf,ecfp_rf,0.7062952898550724,0.7062952898550724
tdc/CYP3A4_Veith,classification,auroc,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.8559951289851759,0.8559951289851759
tdc/Caco2_Wang,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.5415521728884457,0.5415521728884457
tdc/Clearance_Hepatocyte_AZ,regression,rmse,ecfp_rf,0.0,lgbm_advanced,lgbm_advanced,51.91023045609704,52.138960350375925
tdc/Clearance_Microsome_AZ,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,44.87171031764335,44.87171031764335
tdc/HIA_Hou,classification,auroc,ecfp_rf,0.0,ecfp_linear,ecfp_linear,0.9672131147540984,0.9637978142076502
tdc/Half_Life_Obach,regression,rmse,torch_mlp_basic,1.0,torch_mlp_basic,torch_mlp_basic,95.28783239082814,95.28783239082814
tdc/HydrationFreeEnergy_FreeSolv,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,2.2704595537742827,2.2704595537742827
tdc/Lipophilicity_AstraZeneca,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,0.8358357232614844,0.8358357232614844
tdc/PAMPA_NCATS,classification,auroc,ecfp_rf,0.0,lgbm_advanced,lgbm_advanced,0.7372534872534873,0.7338263588263588
tdc/PPBR_AZ,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,15.9579750080157,15.9579750080157
tdc/Pgp_Broccatelli,classification,auroc,ecfp_rf,1.0,ecfp_rf,ecfp_rf,0.8726817780394467,0.8726817780394467
tdc/Solubility_AqSolDB,regression,rmse,lgbm_advanced,1.0,lgbm_advanced,lgbm_advanced,1.4161047271421598,1.4161047271421598
tdc/VDss_Lombardo,regression,rmse,lgbm_basic,1.0,lgbm_basic,lgbm_basic,6.115708139276024,6.115708139276024
