dataset,family,task,metric,model,perf_delta_075_minus_0,score_delta_075_minus_0
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,ecfp_linear,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,ecfp_rf,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_basic,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,torch_mlp_advanced,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,torch_mlp_basic,,
tdc/BBB_Martins,tdc,classification,auroc,ecfp_linear,-0.5062333333333333,-0.5062333333333333
tdc/BBB_Martins,tdc,classification,auroc,ecfp_rf,-0.5803666666666667,-0.5803666666666667
tdc/BBB_Martins,tdc,classification,auroc,lgbm_advanced,-0.5258666666666667,-0.5258666666666667
tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,-0.5373666666666668,-0.5373666666666668
tdc/BBB_Martins,tdc,classification,auroc,torch_mlp_advanced,-0.5370666666666667,-0.5370666666666667
tdc/BBB_Martins,tdc,classification,auroc,torch_mlp_basic,-0.5130416666666666,-0.5130416666666666
tdc/CYP1A2_Veith,tdc,classification,auroc,ecfp_linear,,
tdc/CYP1A2_Veith,tdc,classification,auroc,ecfp_rf,,
tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,,
tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_basic,,
tdc/CYP1A2_Veith,tdc,classification,auroc,torch_mlp_advanced,,
tdc/CYP1A2_Veith,tdc,classification,auroc,torch_mlp_basic,,
tdc/CYP2C19_Veith,tdc,classification,auroc,ecfp_linear,-0.5008333333333334,-0.5008333333333334
tdc/CYP2C19_Veith,tdc,classification,auroc,ecfp_rf,-0.6794583333333334,-0.6794583333333334
tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,-0.5674166666666667,-0.5674166666666667
tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_basic,-0.5341666666666667,-0.5341666666666667
tdc/CYP2C19_Veith,tdc,classification,auroc,torch_mlp_advanced,-0.692125,-0.692125
tdc/CYP2C19_Veith,tdc,classification,auroc,torch_mlp_basic,-0.645,-0.645
tdc/CYP2C9_Veith,tdc,classification,auroc,ecfp_linear,-0.2511,-0.2511
tdc/CYP2C9_Veith,tdc,classification,auroc,ecfp_rf,-0.6091500000000001,-0.6091500000000001
tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,-0.47235,-0.47235
tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_basic,-0.4118166666666667,-0.4118166666666667
tdc/CYP2C9_Veith,tdc,classification,auroc,torch_mlp_advanced,-0.4778166666666666,-0.4778166666666666
tdc/CYP2C9_Veith,tdc,classification,auroc,torch_mlp_basic,-0.48865833333333336,-0.48865833333333336
tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_linear,-0.3965833333333334,-0.3965833333333334
tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,-0.8102083333333333,-0.8102083333333333
tdc/CYP2D6_Veith,tdc,classification,auroc,lgbm_advanced,-0.65125,-0.65125
tdc/CYP2D6_Veith,tdc,classification,auroc,lgbm_basic,-0.5801666666666667,-0.5801666666666667
tdc/CYP2D6_Veith,tdc,classification,auroc,torch_mlp_advanced,-0.5096666666666666,-0.5096666666666666
tdc/CYP2D6_Veith,tdc,classification,auroc,torch_mlp_basic,-0.4044166666666666,-0.4044166666666666
tdc/Caco2_Wang,tdc,regression,rmse,ecfp_linear,0.04604603012125619,-0.04604603012125619
tdc/Caco2_Wang,tdc,regression,rmse,ecfp_rf,-0.10660422400731306,0.10660422400731306
tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,-0.101633543092841,0.101633543092841
tdc/Caco2_Wang,tdc,regression,rmse,lgbm_basic,-0.05088981713337615,0.05088981713337615
tdc/Caco2_Wang,tdc,regression,rmse,torch_mlp_advanced,0.17920010376305984,-0.17920010376305984
tdc/Caco2_Wang,tdc,regression,rmse,torch_mlp_basic,0.3396753424995056,-0.3396753424995056
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_linear,7.568019126370473,-7.568019126370473
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf,-4.449660376595055,4.449660376595055
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,lgbm_advanced,-11.27208198029431,11.27208198029431
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,lgbm_basic,-6.183897472827411,6.183897472827411
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,torch_mlp_advanced,-10.22496718287821,10.22496718287821
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,torch_mlp_basic,-6.347510262525539,6.347510262525539
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,ecfp_linear,16.37409318112288,-16.37409318112288
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,ecfp_rf,6.706573384701599,-6.706573384701599
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced,3.840921911189106,-3.840921911189106
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_basic,6.888981110086689,-6.888981110086689
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,torch_mlp_advanced,1.4928649204415834,-1.4928649204415834
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,torch_mlp_basic,-9.01558149869367,9.01558149869367
tdc/Half_Life_Obach,tdc,regression,rmse,ecfp_linear,51.99960106575898,-51.99960106575898
tdc/Half_Life_Obach,tdc,regression,rmse,ecfp_rf,48.8966764835516,-48.8966764835516
tdc/Half_Life_Obach,tdc,regression,rmse,lgbm_advanced,57.466463509863246,-57.466463509863246
tdc/Half_Life_Obach,tdc,regression,rmse,lgbm_basic,42.48219544221439,-42.48219544221439
tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_advanced,53.226632291257616,-53.226632291257616
tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic,52.37676675243578,-52.37676675243578
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,ecfp_linear,0.06329806495785717,-0.06329806495785717
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,ecfp_rf,-0.8091236143650877,0.8091236143650877
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced,-0.5590198993156829,0.5590198993156829
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_basic,-0.27968368074032335,0.27968368074032335
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,torch_mlp_advanced,-0.5151940967392923,0.5151940967392923
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,torch_mlp_basic,-0.532427981337905,0.532427981337905
tdc/PPBR_AZ,tdc,regression,rmse,ecfp_linear,19.540686426544195,-19.540686426544195
tdc/PPBR_AZ,tdc,regression,rmse,ecfp_rf,3.4921734572224015,-3.4921734572224015
tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced,7.14572205487544,-7.14572205487544
tdc/PPBR_AZ,tdc,regression,rmse,lgbm_basic,8.89164858227569,-8.89164858227569
tdc/PPBR_AZ,tdc,regression,rmse,torch_mlp_advanced,14.74869640319824,-14.74869640319824
tdc/PPBR_AZ,tdc,regression,rmse,torch_mlp_basic,14.816082023315433,-14.816082023315433
tdc/Solubility_AqSolDB,tdc,regression,rmse,ecfp_linear,-0.10025170152049445,0.10025170152049445
tdc/Solubility_AqSolDB,tdc,regression,rmse,ecfp_rf,-0.6623738644283743,0.6623738644283743
tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced,-0.47450995663734297,0.47450995663734297
tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_basic,-0.40540445135775527,0.40540445135775527
tdc/Solubility_AqSolDB,tdc,regression,rmse,torch_mlp_advanced,-0.7010160852612195,0.7010160852612195
tdc/Solubility_AqSolDB,tdc,regression,rmse,torch_mlp_basic,-0.46498287052657306,0.46498287052657306
tdc/VDss_Lombardo,tdc,regression,rmse,ecfp_linear,-3.4282269125709863,3.4282269125709863
tdc/VDss_Lombardo,tdc,regression,rmse,ecfp_rf,-3.1410713582439485,3.1410713582439485
tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_advanced,-6.527264352984803,6.527264352984803
tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic,-4.73348241950758,4.73348241950758
tdc/VDss_Lombardo,tdc,regression,rmse,torch_mlp_advanced,-6.9748377297200745,6.9748377297200745
tdc/VDss_Lombardo,tdc,regression,rmse,torch_mlp_basic,-6.806294688226693,6.806294688226693
