dataset,family,task,n_test,n_label_conflict,frac_label_conflict,n_exact_leak,frac_exact_leak,n_near_train_analogue,frac_near_train_analogue,n_same_scaffold,frac_same_scaffold,n_audit_clean,frac_audit_clean,flag_n_label_conflict,flag_frac_label_conflict,flag_n_exact_train_test_leak,flag_frac_exact_train_test_leak,flag_n_near_train_analogue,flag_frac_near_train_analogue,flag_n_same_scaffold_as_train,flag_frac_same_scaffold_as_train,median_max_train_tanimoto,mean_max_train_tanimoto,frac_nonclean
moleculenet/MoleculeNet-BACE,moleculenet,classification,149,0,0.0,3,0.020134228187919462,26,0.174496644295302,1,0.006711409395973154,119,0.7986577181208053,0,0.0,3,0.020134228187919462,29,0.19463087248322147,4,0.026845637583892617,0.7432432432432432,0.7298275844886374,0.20134228187919467
moleculenet/MoleculeNet-BBBP,moleculenet,classification,205,0,0.0,2,0.00975609756097561,1,0.004878048780487805,3,0.014634146341463415,199,0.9707317073170731,0,0.0,2,0.00975609756097561,3,0.014634146341463415,5,0.024390243902439025,0.4186046511627907,0.4595346703317935,0.029268292682926855
moleculenet/MoleculeNet-ESOL,moleculenet,regression,113,0,0.0,2,0.017699115044247787,10,0.08849557522123894,55,0.48672566371681414,46,0.40707964601769914,0,0.0,2,0.017699115044247787,12,0.10619469026548672,58,0.5132743362831859,0.5652173913043478,0.5918210916578894,0.5929203539823009
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,65,0,0.0,0,0.0,10,0.15384615384615385,25,0.38461538461538464,30,0.46153846153846156,0,0.0,0,0.0,10,0.15384615384615385,27,0.4153846153846154,0.55,0.5759351635119629,0.5384615384615384
moleculenet/MoleculeNet-HIV,moleculenet,classification,4111,9,0.0021892483580637314,86,0.020919484310386767,133,0.0323522257358307,95,0.0231087326684505,3788,0.9214303089272683,9,0.0021892483580637314,95,0.0231087326684505,228,0.055460958404281196,173,0.04208221843833617,0.4848484848484848,0.5202625950408956,0.0785696910727317
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,420,0,0.0,3,0.007142857142857143,47,0.11190476190476191,185,0.44047619047619047,185,0.44047619047619047,0,0.0,3,0.007142857142857143,50,0.11904761904761904,222,0.5285714285714286,0.6910427807486631,0.6420596388466723,0.5595238095238095
tdc/BBB_Martins,tdc,classification,405,5,0.012345679012345678,21,0.05185185185185185,19,0.04691358024691358,158,0.39012345679012345,202,0.49876543209876545,5,0.012345679012345678,26,0.06419753086419754,45,0.1111111111111111,197,0.48641975308641977,0.5714285714285714,0.5823421316058673,0.5012345679012346
tdc/Bioavailability_Ma,tdc,classification,128,0,0.0,0,0.0,3,0.0234375,45,0.3515625,80,0.625,0,0.0,0,0.0,3,0.0234375,48,0.375,0.45718432510885343,0.47349026882387196,0.375
tdc/CYP1A2_Veith,tdc,classification,2516,2,0.000794912559618442,11,0.0043720190779014305,173,0.06875993640699524,970,0.38553259141494434,1360,0.5405405405405406,2,0.000794912559618442,13,0.0051669316375198724,186,0.0739268680445151,1107,0.43998410174880764,0.5477821265492498,0.575800164267932,0.45945945945945943
tdc/CYP2C19_Veith,tdc,classification,2531,3,0.001185302252074279,21,0.008297115764519953,191,0.07546424338206242,975,0.38522323192414065,1341,0.5298301066772027,3,0.001185302252074279,23,0.009087317265902806,214,0.08455156064796523,1139,0.45001975503753455,0.5344827586206896,0.5745435253512299,0.47016989332279735
