dataset,family,task,metric,count,fraction
moleculenet/MoleculeNet-BACE,moleculenet,classification,rows_test,149.0,0.100607697501688
moleculenet/MoleculeNet-BACE,moleculenet,classification,test_label_conflicts,0.0,0.0
moleculenet/MoleculeNet-BACE,moleculenet,classification,exact_test_leaks,3.0,0.0201342281879194
moleculenet/MoleculeNet-BACE,moleculenet,classification,near_train_analogues,29.0,0.1946308724832214
moleculenet/MoleculeNet-BACE,moleculenet,classification,same_scaffold_test,,
moleculenet/MoleculeNet-BACE,moleculenet,classification,audit_clean_test,,
moleculenet/MoleculeNet-BBBP,moleculenet,classification,rows_test,205.0,0.1039026862645717
moleculenet/MoleculeNet-BBBP,moleculenet,classification,test_label_conflicts,0.0,0.0
moleculenet/MoleculeNet-BBBP,moleculenet,classification,exact_test_leaks,2.0,0.0097560975609756
moleculenet/MoleculeNet-BBBP,moleculenet,classification,near_train_analogues,3.0,0.0146341463414634
moleculenet/MoleculeNet-BBBP,moleculenet,classification,same_scaffold_test,,
moleculenet/MoleculeNet-BBBP,moleculenet,classification,audit_clean_test,,
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rows_test,113.0,0.1009830205540661
moleculenet/MoleculeNet-ESOL,moleculenet,regression,test_label_conflicts,0.0,0.0
moleculenet/MoleculeNet-ESOL,moleculenet,regression,exact_test_leaks,2.0,0.0176991150442477
moleculenet/MoleculeNet-ESOL,moleculenet,regression,near_train_analogues,12.0,0.1061946902654867
moleculenet/MoleculeNet-ESOL,moleculenet,regression,same_scaffold_test,,
moleculenet/MoleculeNet-ESOL,moleculenet,regression,audit_clean_test,,
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rows_test,65.0,0.1012461059190031
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,test_label_conflicts,0.0,0.0
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,exact_test_leaks,0.0,0.0
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,near_train_analogues,10.0,0.1538461538461538
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,same_scaffold_test,,
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,audit_clean_test,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,rows_test,4111.0,0.1000194637730524
moleculenet/MoleculeNet-HIV,moleculenet,classification,test_label_conflicts,9.0,0.0021892483580637
moleculenet/MoleculeNet-HIV,moleculenet,classification,exact_test_leaks,95.0,0.0231087326684505
moleculenet/MoleculeNet-HIV,moleculenet,classification,near_train_analogues,228.0,0.0554609584042811
moleculenet/MoleculeNet-HIV,moleculenet,classification,same_scaffold_test,,
moleculenet/MoleculeNet-HIV,moleculenet,classification,audit_clean_test,,
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rows_test,420.0,0.1
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,test_label_conflicts,0.0,0.0
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,exact_test_leaks,3.0,0.0071428571428571
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,near_train_analogues,50.0,0.119047619047619
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,same_scaffold_test,,
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,audit_clean_test,,
tdc/BBB_Martins,tdc,classification,rows_test,405.0,0.2018943170488534
tdc/BBB_Martins,tdc,classification,test_label_conflicts,5.0,0.0123456790123456
tdc/BBB_Martins,tdc,classification,exact_test_leaks,26.0,0.0641975308641975
tdc/BBB_Martins,tdc,classification,near_train_analogues,45.0,0.1111111111111111
tdc/BBB_Martins,tdc,classification,same_scaffold_test,,
tdc/BBB_Martins,tdc,classification,audit_clean_test,,
tdc/Bioavailability_Ma,tdc,classification,rows_test,128.0,0.2
tdc/Bioavailability_Ma,tdc,classification,test_label_conflicts,0.0,0.0
tdc/Bioavailability_Ma,tdc,classification,exact_test_leaks,0.0,0.0
tdc/Bioavailability_Ma,tdc,classification,near_train_analogues,3.0,0.0234375
tdc/Bioavailability_Ma,tdc,classification,same_scaffold_test,,
tdc/Bioavailability_Ma,tdc,classification,audit_clean_test,,
tdc/CYP1A2_Veith,tdc,classification,rows_test,2516.0,0.2001272669424117
tdc/CYP1A2_Veith,tdc,classification,test_label_conflicts,2.0,0.0007949125596184
tdc/CYP1A2_Veith,tdc,classification,exact_test_leaks,13.0,0.0051669316375198
tdc/CYP1A2_Veith,tdc,classification,near_train_analogues,186.0,0.0739268680445151
tdc/CYP1A2_Veith,tdc,classification,same_scaffold_test,,
tdc/CYP1A2_Veith,tdc,classification,audit_clean_test,,
tdc/CYP2C19_Veith,tdc,classification,rows_test,2531.0,0.1999368038549648
tdc/CYP2C19_Veith,tdc,classification,test_label_conflicts,3.0,0.0011853022520742
tdc/CYP2C19_Veith,tdc,classification,exact_test_leaks,23.0,0.0090873172659028
tdc/CYP2C19_Veith,tdc,classification,near_train_analogues,214.0,0.0845515606479652
tdc/CYP2C19_Veith,tdc,classification,same_scaffold_test,,
tdc/CYP2C19_Veith,tdc,classification,audit_clean_test,,
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,rows_test,134.0,0.2002989536621823
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,test_label_conflicts,0.0,0.0
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,exact_test_leaks,2.0,0.0149253731343283
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,near_train_analogues,5.0,0.0373134328358208
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,same_scaffold_test,,
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,audit_clean_test,,
tdc/CYP2C9_Veith,tdc,classification,rows_test,2416.0,0.1999007115671024
tdc/CYP2C9_Veith,tdc,classification,test_label_conflicts,5.0,0.002069536423841
tdc/CYP2C9_Veith,tdc,classification,exact_test_leaks,24.0,0.009933774834437
tdc/CYP2C9_Veith,tdc,classification,near_train_analogues,220.0,0.0910596026490066
tdc/CYP2C9_Veith,tdc,classification,same_scaffold_test,,
tdc/CYP2C9_Veith,tdc,classification,audit_clean_test,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,rows_test,133.0,0.2003012048192771
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,test_label_conflicts,0.0,0.0
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,exact_test_leaks,0.0,0.0
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,near_train_analogues,4.0,0.0300751879699248
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,same_scaffold_test,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,audit_clean_test,,
