mode,original_observed_rate,smallest_target_rate_sota_rank_probability_below_0_5,smallest_target_rate_sota_baseline_ci_includes_zero,smallest_target_rate_fraction_delta_positive_below_0_95,interpretation,interpretation_text,dataset,family,task,metric_name,sota_model
clean_reference,,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
leakage_curve,observed,0.5,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced
clean_reference,,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced
leakage_curve,observed,0.25,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced
random_matched_control,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced
conflict_curve,observed,0.0,0.25,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced
