dataset,family,task,metric,sota_model,sota_score,baseline_rank,original_sota_margin_vs_baseline
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,0.897501982553529,3.0,0.027755749405233954
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf,0.9083912611717976,1.0,0.0
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,0.9291168848055756,2.0,0.05556376634932336
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,1.4026384772355398,3.0,0.32438354714362116
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,0.7926775804661487,3.0,0.007815390307066017
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,0.7131467040142517,4.0,0.06413728824659815
tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,0.8840738121262779,3.0,0.013759403330547038
tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,0.7906432748538011,4.0,0.08976608187134494
tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,0.9287120071193866,3.0,0.007771616770110845
tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced,0.8902371476891932,2.0,0.004768416353885807
tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,0.726202838352371,3.0,0.06074766355140182
tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced,0.8991092198842147,3.0,0.010593753899124536
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,0.7030360531309297,5.0,0.03289057558507258
tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,0.867348640525081,1.0,0.0
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,0.6669636890175986,1.0,0.0
tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,0.8925051387740897,3.0,0.009941760560316593
tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,0.465049322487265,2.0,0.014035925756456402
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf,48.76932024258618,1.0,0.0
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced,39.34701033917244,2.0,0.977791198888859
tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf,0.9378730330982096,1.0,0.0
tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic,82.71525861118108,6.0,19.21214183000906
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced,1.9366708992908648,2.0,0.4397899508338883
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced,0.7367807422264919,4.0,0.07609289973188482
tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf,0.802094868955334,1.0,0.0
tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced,13.41043970851828,3.0,0.9280147519678561
tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf,0.9222602969831352,1.0,0.0
tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced,1.2494329839478149,3.0,0.0804157547070643
tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic,5.537948710661029,2.0,0.15974662560012476
