mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive,dataset,family,task,metric_name,sota_model,baseline_model
clean_reference,0.0,0.0217323327079423,0.0217323327079423,0.0217323327079423,0.0217323327079423,1.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0235650887573964,0.0207100591715977,-0.0147928994082841,0.0621301775147928,0.885,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.0234957142857142,0.0228571428571427,-0.0157499999999999,0.0657142857142856,0.866,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0267499999999999,0.0257142857142858,-0.0115,0.0714285714285714,0.886,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0316114285714285,0.0285714285714286,-0.0086071428571429,0.0742857142857142,0.938,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0373458333333333,0.0361111111111111,0.0027430555555554,0.073611111111111,0.98,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0422985714285714,0.0414285714285714,0.0185714285714285,0.0642857142857141,1.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0295614285714285,0.0285714285714285,-0.0114285714285713,0.0714285714285714,0.925,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0277557494052339,0.0277557494052339,0.0277557494052339,0.0277557494052339,1.0,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0274157142857142,0.0271428571428571,-0.0142857142857143,0.0714285714285714,0.88,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.02835,0.0271428571428572,-0.0114285714285714,0.072892857142857,0.893,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0282271428571428,0.0285714285714285,-0.0142857142857142,0.0714285714285714,0.911,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0276242857142857,0.0271428571428572,-0.012857142857143,0.0742857142857142,0.896,moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
