dataset,family,task,metric,model,perf_delta_075_minus_0,score_delta_075_minus_0
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,ecfp_linear,-0.021121403212172485,-0.021121403212172485
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,ecfp_rf,-0.12669806424344898,-0.12669806424344898
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_advanced,-0.10796458157227384,-0.10796458157227384
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,lgbm_basic,-0.098445190194421,-0.098445190194421
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,torch_mlp_advanced,-0.025422924767540156,-0.025422924767540156
moleculenet/MoleculeNet-BACE,moleculenet,classification,auroc,torch_mlp_basic,-0.04280258664412517,-0.04280258664412517
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_linear,0.19299999999999995,0.19299999999999995
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf,0.09275,0.09275
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,lgbm_advanced,0.14433333333333342,0.14433333333333342
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,lgbm_basic,0.1465833333333333,0.1465833333333333
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,torch_mlp_advanced,0.17333333333333345,0.17333333333333345
moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,torch_mlp_basic,0.19099999999999995,0.19099999999999995
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,ecfp_linear,0.9227197896770081,-0.9227197896770081
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,ecfp_rf,-0.026016617538859865,0.026016617538859865
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_advanced,0.06617464455321265,-0.06617464455321265
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,lgbm_basic,0.020439190824864673,-0.020439190824864673
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,torch_mlp_advanced,0.1962472632090495,-0.1962472632090495
moleculenet/MoleculeNet-ESOL,moleculenet,regression,rmse,torch_mlp_basic,0.5746080773751949,-0.5746080773751949
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,ecfp_linear,0.8805523934433497,-0.8805523934433497
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,ecfp_rf,0.929533537098461,-0.929533537098461
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,0.7630017422935039,-0.7630017422935039
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_basic,0.5825727085964607,-0.5825727085964607
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,torch_mlp_advanced,0.8587968406431994,-0.8587968406431994
moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,torch_mlp_basic,0.8488074713076732,-0.8488074713076732
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,ecfp_linear,0.06433602402492722,0.06433602402492722
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,ecfp_rf,0.10292405792379866,0.10292405792379866
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,0.027640808544052597,0.027640808544052597
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_basic,-0.02387959050697941,-0.02387959050697941
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,torch_mlp_advanced,0.01208406844932286,0.01208406844932286
moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,torch_mlp_basic,0.009078133223065943,0.009078133223065943
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,ecfp_linear,0.27910393833850644,-0.27910393833850644
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,ecfp_rf,0.2546433815764937,-0.2546433815764937
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,0.18430625315701188,-0.18430625315701188
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_basic,0.18836230632061046,-0.18836230632061046
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,torch_mlp_advanced,0.21194705200030917,-0.21194705200030917
moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,torch_mlp_basic,0.23208465326356087,-0.23208465326356087
tdc/BBB_Martins,tdc,classification,auroc,ecfp_linear,0.09250942113442118,0.09250942113442118
tdc/BBB_Martins,tdc,classification,auroc,ecfp_rf,0.10649653263403269,0.10649653263403269
tdc/BBB_Martins,tdc,classification,auroc,lgbm_advanced,0.07871460761460758,0.07871460761460758
tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,0.07609347319347315,0.07609347319347315
tdc/BBB_Martins,tdc,classification,auroc,torch_mlp_advanced,0.1069900446775447,0.1069900446775447
tdc/BBB_Martins,tdc,classification,auroc,torch_mlp_basic,0.11354314296814294,0.11354314296814294
tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,0.22699999999999998,0.22699999999999998
tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_rf,0.2898333333333334,0.2898333333333334
