metric,group,label,count,fraction,value
rows_total,,,1481,1.0,1481.0
rows_train,train,,1184,0.799459824442944,1184.0
rows_valid,valid,,148,0.099932478055368,148.0
rows_test,test,,149,0.10060769750168805,149.0
valid_molecules,,,1481,1.0,1481.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,3,0.020134228187919462,3.0
near_train_analogues,,,29,0.19463087248322147,29.0
same_scaffold_test_molecules,,,4,0.026845637583892617,4.0
audit_clean_test_molecules,,,119,0.7986577181208053,119.0
audit_group_count,audit_clean,,119,0.7986577181208053,119.0
audit_group_count,near_train_analogue,,26,0.174496644295302,26.0
audit_group_count,exact_leak,,3,0.020134228187919462,3.0
audit_group_count,same_scaffold,,1,0.006711409395973154,1.0
label_distribution_by_audit_group,audit_clean,0.0,78,0.6554621848739496,78.0
label_distribution_by_audit_group,audit_clean,1.0,41,0.3445378151260504,41.0
label_distribution_by_audit_group,exact_leak,0.0,2,0.6666666666666666,2.0
label_distribution_by_audit_group,exact_leak,1.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,0.0,16,0.6153846153846154,16.0
label_distribution_by_audit_group,near_train_analogue,1.0,10,0.38461538461538464,10.0
label_distribution_by_audit_group,same_scaffold,0.0,1,1.0,1.0
