mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
leakage_curve,0.0,ecfp_linear,0.01,6.0,2.0,6.0
leakage_curve,0.0,ecfp_rf,0.085,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.743,1.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.07,2.5,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.024,4.0,1.5,6.0
leakage_curve,0.0,torch_mlp_basic,0.024,5.0,1.5,6.0
leakage_curve,0.05,ecfp_linear,0.018,6.0,2.0,6.0
leakage_curve,0.05,ecfp_rf,0.103,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.662,1.0,1.0,4.0
leakage_curve,0.05,lgbm_basic,0.106,2.25,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.041,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.028,5.0,1.0,6.0
leakage_curve,0.1,ecfp_linear,0.027,6.0,1.0,6.0
leakage_curve,0.1,ecfp_rf,0.087,3.0,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.639,1.0,1.0,4.0
leakage_curve,0.1,lgbm_basic,0.129,2.0,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.049,4.0,1.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.022,5.0,1.5,6.0
leakage_curve,0.25,ecfp_linear,0.041,5.0,1.0,6.0
leakage_curve,0.25,ecfp_rf,0.045,3.0,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.576,1.0,1.0,4.0
leakage_curve,0.25,lgbm_basic,0.161,2.0,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.081,4.0,1.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.045,5.0,1.0,6.0
leakage_curve,0.5,ecfp_linear,0.102,4.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.011,5.0,2.0,6.0
leakage_curve,0.5,lgbm_advanced,0.422,2.0,1.0,5.0
leakage_curve,0.5,lgbm_basic,0.157,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.233,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.03,5.0,1.0,6.0
leakage_curve,0.75,ecfp_linear,0.118,3.0,1.0,6.0
leakage_curve,0.75,ecfp_rf,0.0,6.0,4.0,6.0
leakage_curve,0.75,lgbm_advanced,0.242,2.5,1.0,5.0
leakage_curve,0.75,lgbm_basic,0.011,4.0,2.0,5.0
leakage_curve,0.75,torch_mlp_advanced,0.588,1.0,1.0,4.0
leakage_curve,0.75,torch_mlp_basic,0.0,4.0,2.0,6.0
leakage_curve,observed,ecfp_linear,0.049,5.0,1.0,6.0
leakage_curve,observed,ecfp_rf,0.056,3.0,1.0,6.0
leakage_curve,observed,lgbm_advanced,0.594,1.0,1.0,4.0
leakage_curve,observed,lgbm_basic,0.157,2.0,1.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.057,4.0,1.0,6.0
leakage_curve,observed,torch_mlp_basic,0.04,5.0,1.0,6.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
random_matched_control,0.0,ecfp_linear,0.037,5.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.086,3.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.564,1.0,1.0,4.5
random_matched_control,0.0,lgbm_basic,0.159,2.0,1.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.067,4.0,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.036,5.0,1.0,6.0
random_matched_control,0.05,ecfp_linear,0.049,5.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.071,3.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.556,1.0,1.0,4.012499999999989
random_matched_control,0.05,lgbm_basic,0.175,2.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.066,4.0,1.0,6.0
random_matched_control,0.05,torch_mlp_basic,0.027,5.0,1.0,6.0
random_matched_control,0.1,ecfp_linear,0.05,5.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.069,3.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.593,1.0,1.0,4.012499999999989
random_matched_control,0.1,lgbm_basic,0.141,2.0,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.056,4.0,1.0,6.0
random_matched_control,0.1,torch_mlp_basic,0.041,5.0,1.0,6.0
random_matched_control,0.25,ecfp_linear,0.036,5.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.076,3.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.596,1.0,1.0,4.0
random_matched_control,0.25,lgbm_basic,0.154,2.0,1.0,6.0
random_matched_control,0.25,torch_mlp_advanced,0.075,4.0,1.0,6.0
random_matched_control,0.25,torch_mlp_basic,0.022,5.0,1.5,6.0
random_matched_control,0.5,ecfp_linear,0.033,5.0,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.077,3.0,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.568,1.0,1.0,4.012499999999989
random_matched_control,0.5,lgbm_basic,0.161,2.0,1.0,6.0
random_matched_control,0.5,torch_mlp_advanced,0.067,4.0,1.0,6.0
random_matched_control,0.5,torch_mlp_basic,0.04,5.0,1.0,6.0
random_matched_control,0.75,ecfp_linear,0.037,5.0,1.0,6.0
random_matched_control,0.75,ecfp_rf,0.074,3.0,1.0,6.0
random_matched_control,0.75,lgbm_advanced,0.57,1.0,1.0,4.0
random_matched_control,0.75,lgbm_basic,0.178,2.0,1.0,6.0
random_matched_control,0.75,torch_mlp_advanced,0.065,4.0,1.0,6.0
random_matched_control,0.75,torch_mlp_basic,0.031,5.0,1.0,6.0
random_matched_control,observed,ecfp_linear,0.037,5.0,1.0,6.0
random_matched_control,observed,ecfp_rf,0.083,3.0,1.0,6.0
random_matched_control,observed,lgbm_advanced,0.56,1.0,1.0,4.0
random_matched_control,observed,lgbm_basic,0.148,2.0,1.0,6.0
random_matched_control,observed,torch_mlp_advanced,0.07,4.0,1.0,6.0
random_matched_control,observed,torch_mlp_basic,0.046,5.0,1.0,6.0
