mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.02173233270794239,0.021732332707942392,0.021732332707942392,0.021732332707942392,1.0
leakage_curve,0.0,0.02356508875739645,0.020710059171597794,-0.0147928994082841,0.062130177514792884,0.885
leakage_curve,0.05,0.023495714285714286,0.022857142857142798,-0.015749999999999962,0.06571428571428561,0.866
leakage_curve,0.1,0.026749999999999993,0.0257142857142858,-0.01150000000000002,0.0714285714285714,0.886
leakage_curve,0.25,0.03161142857142857,0.028571428571428692,-0.008607142857142952,0.07428571428571429,0.938
leakage_curve,0.5,0.037345833333333314,0.03611111111111115,0.0027430555555554422,0.07361111111111107,0.98
leakage_curve,0.75,0.04229857142857141,0.04142857142857148,0.018571428571428572,0.06428571428571417,1.0
leakage_curve,observed,0.029561428571428572,0.02857142857142858,-0.011428571428571344,0.0714285714285714,0.925
observed_composition,observed,0.027755749405233957,0.027755749405233954,0.027755749405233954,0.027755749405233954,1.0
random_matched_control,0.0,0.027415714285714286,0.027142857142857135,-0.014285714285714346,0.0714285714285714,0.88
random_matched_control,0.05,0.02835,0.027142857142857246,-0.011428571428571458,0.07289285714285709,0.893
random_matched_control,0.1,0.028227142857142853,0.02857142857142858,-0.014285714285714235,0.0714285714285714,0.911
random_matched_control,0.25,0.027624285714285712,0.027142857142857246,-0.012857142857143015,0.07428571428571429,0.896
random_matched_control,0.5,0.027001428571428576,0.0257142857142858,-0.01714285714285702,0.06857142857142873,0.892
random_matched_control,0.75,0.027325714285714283,0.0257142857142858,-0.014285714285714346,0.0714285714285714,0.885
random_matched_control,observed,0.027815714285714287,0.02857142857142858,-0.017178571428571515,0.07289285714285731,0.892
