metric,group,label,count,fraction,value
rows_total,,,1973,1.0,1973.0
rows_train,train,,1563,0.7921946274708566,1563.0
rows_valid,valid,,205,0.10390268626457172,205.0
rows_test,test,,205,0.10390268626457172,205.0
valid_molecules,,,1973,1.0,1973.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,2,0.00975609756097561,2.0
near_train_analogues,,,3,0.014634146341463415,3.0
same_scaffold_test_molecules,,,5,0.024390243902439025,5.0
audit_clean_test_molecules,,,199,0.9707317073170731,199.0
audit_group_count,audit_clean,,199,0.9707317073170731,199.0
audit_group_count,same_scaffold,,3,0.014634146341463415,3.0
audit_group_count,exact_leak,,2,0.00975609756097561,2.0
audit_group_count,near_train_analogue,,1,0.004878048780487805,1.0
label_distribution_by_audit_group,audit_clean,0.0,51,0.2562814070351759,51.0
label_distribution_by_audit_group,audit_clean,1.0,148,0.7437185929648241,148.0
label_distribution_by_audit_group,exact_leak,0.0,2,1.0,2.0
label_distribution_by_audit_group,near_train_analogue,1.0,1,1.0,1.0
label_distribution_by_audit_group,same_scaffold,1.0,3,1.0,3.0
