mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
leakage_curve,0.0,0.23494398318156998,0.34641016151377546,-0.7302967433402213,0.8563488385776752
leakage_curve,0.05,0.20342956140966723,0.2335496832484569,-0.7302967433402213,0.8563488385776752
leakage_curve,0.1,0.2180979211632464,0.25819888974716115,-0.7302967433402213,0.8563488385776752
leakage_curve,0.25,0.21329057232403478,0.25819888974716115,-0.7236260122813799,0.8563488385776752
leakage_curve,0.5,0.21689541413627442,0.25819888974716115,-0.7302967433402213,0.8563488385776752
leakage_curve,0.75,0.05982276369843966,0.11547005383792514,-0.5477225575051661,0.6024640760767093
leakage_curve,observed,0.2364465700529082,0.34641016151377546,-0.5962847939999439,0.8563488385776752
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.21572680645514355,0.25819888974716115,-0.7380492303729421,0.8563488385776752
random_matched_control,0.05,0.21824781905048637,0.29814239699997197,-0.7302967433402213,0.8563488385776752
random_matched_control,0.1,0.1910384744880376,0.25819888974716115,-0.7745966692414834,0.8563488385776752
random_matched_control,0.25,0.22092170304097475,0.34641016151377546,-0.7302967433402213,0.8563488385776752
random_matched_control,0.5,0.2211138188716954,0.34641016151377546,-0.7745966692414834,0.8563488385776752
random_matched_control,0.75,0.16655464559563055,0.11547005383792514,-0.7745966692414834,0.8563488385776752
random_matched_control,observed,0.20998220288002653,0.25819888974716115,-0.7745966692414834,0.8563488385776752
