mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
leakage_curve,0.0,ecfp_linear,0.006,3.5,1.5,6.0
leakage_curve,0.0,ecfp_rf,0.053,3.5,1.0,5.0
leakage_curve,0.0,lgbm_advanced,0.005,3.5,1.9875000000000007,5.5
leakage_curve,0.0,lgbm_basic,0.002,3.5,1.9875000000000007,6.0
leakage_curve,0.0,torch_mlp_advanced,0.018,3.5,1.5,6.0
leakage_curve,0.0,torch_mlp_basic,0.005,3.5,1.5,6.0
leakage_curve,0.05,ecfp_linear,0.004,3.5,1.5,6.0
leakage_curve,0.05,ecfp_rf,0.051,3.5,1.0,5.0
leakage_curve,0.05,lgbm_advanced,0.005,3.5,2.0,6.0
leakage_curve,0.05,lgbm_basic,0.005,3.5,2.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.022,3.5,1.5,6.0
leakage_curve,0.05,torch_mlp_basic,0.002,3.5,1.5,6.0
leakage_curve,0.1,ecfp_linear,0.006,3.5,1.5,6.0
leakage_curve,0.1,ecfp_rf,0.041,3.5,1.0,5.0
leakage_curve,0.1,lgbm_advanced,0.01,3.5,1.5,5.5
leakage_curve,0.1,lgbm_basic,0.004,3.5,1.5,6.0
leakage_curve,0.1,torch_mlp_advanced,0.021,3.5,1.5,6.0
leakage_curve,0.1,torch_mlp_basic,0.005,3.5,1.9875000000000007,5.5
leakage_curve,0.25,ecfp_linear,0.002,3.5,1.5,6.0
leakage_curve,0.25,ecfp_rf,0.028,3.5,1.0,5.0
leakage_curve,0.25,lgbm_advanced,0.003,3.5,2.0,5.5
leakage_curve,0.25,lgbm_basic,0.003,3.5,2.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.02,3.5,1.5,6.0
leakage_curve,0.25,torch_mlp_basic,0.006,3.5,2.0,5.5
leakage_curve,0.5,ecfp_linear,0.005,3.5,1.5,6.0
leakage_curve,0.5,ecfp_rf,0.023,3.5,1.5,5.0
leakage_curve,0.5,lgbm_advanced,0.004,3.5,2.0,5.5
leakage_curve,0.5,lgbm_basic,0.001,3.5,2.0,5.5
leakage_curve,0.5,torch_mlp_advanced,0.005,3.5,2.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.0,3.5,2.5,6.0
leakage_curve,0.75,ecfp_linear,0.0,3.5,3.0,3.5
leakage_curve,0.75,ecfp_rf,0.0,3.5,3.0,3.5
leakage_curve,0.75,lgbm_advanced,0.0,3.5,3.0,3.5
leakage_curve,0.75,lgbm_basic,0.0,3.5,3.0,3.5
leakage_curve,0.75,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.75,torch_mlp_basic,0.0,3.5,3.0,3.5
leakage_curve,observed,ecfp_linear,0.008,3.5,1.5,6.0
leakage_curve,observed,ecfp_rf,0.043,3.5,1.0,5.0
leakage_curve,observed,lgbm_advanced,0.006,3.5,1.9875000000000007,6.0
leakage_curve,observed,lgbm_basic,0.004,3.5,2.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.029,3.5,1.0,6.0
leakage_curve,observed,torch_mlp_basic,0.004,3.5,2.0,6.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_basic,0.0,3.0,3.0,3.0
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
random_matched_control,0.0,ecfp_linear,0.009,3.5,1.5,6.0
random_matched_control,0.0,ecfp_rf,0.068,3.5,1.0,5.0
random_matched_control,0.0,lgbm_advanced,0.006,3.5,2.0,5.5
random_matched_control,0.0,lgbm_basic,0.001,3.5,2.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.026,3.5,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.003,3.5,2.0,6.0
random_matched_control,0.05,ecfp_linear,0.007,3.5,1.5,6.0
random_matched_control,0.05,ecfp_rf,0.062,3.5,1.0,5.0
random_matched_control,0.05,lgbm_advanced,0.011,3.5,1.5,5.5
random_matched_control,0.05,lgbm_basic,0.004,3.5,1.5,6.0
random_matched_control,0.05,torch_mlp_advanced,0.019,3.5,1.5,6.0
random_matched_control,0.05,torch_mlp_basic,0.002,3.5,2.0,6.0
random_matched_control,0.1,ecfp_linear,0.004,3.5,1.5,6.0
random_matched_control,0.1,ecfp_rf,0.052,3.5,1.0,5.0
random_matched_control,0.1,lgbm_advanced,0.005,3.5,2.0,5.5
random_matched_control,0.1,lgbm_basic,0.004,3.5,2.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.018,3.5,1.5,6.0
random_matched_control,0.1,torch_mlp_basic,0.002,3.5,2.0,5.5
random_matched_control,0.25,ecfp_linear,0.009,3.5,1.5,6.0
random_matched_control,0.25,ecfp_rf,0.042,3.5,1.0,5.0
random_matched_control,0.25,lgbm_advanced,0.003,3.5,1.5,6.0
random_matched_control,0.25,lgbm_basic,0.008,3.5,1.5,6.0
random_matched_control,0.25,torch_mlp_advanced,0.015,3.5,1.5,6.0
random_matched_control,0.25,torch_mlp_basic,0.002,3.5,2.0,5.5
random_matched_control,0.5,ecfp_linear,0.006,3.5,2.0,6.0
random_matched_control,0.5,ecfp_rf,0.05,3.5,1.0,5.0
random_matched_control,0.5,lgbm_advanced,0.003,3.5,1.5,6.0
random_matched_control,0.5,lgbm_basic,0.001,3.5,2.0,6.0
random_matched_control,0.5,torch_mlp_advanced,0.018,3.5,1.5,6.0
random_matched_control,0.5,torch_mlp_basic,0.002,3.5,2.0,6.0
random_matched_control,0.75,ecfp_linear,0.005,3.5,1.5,6.0
random_matched_control,0.75,ecfp_rf,0.033,3.5,1.0,5.5
random_matched_control,0.75,lgbm_advanced,0.007,3.5,1.5,5.5
random_matched_control,0.75,lgbm_basic,0.002,3.5,2.0,6.0
random_matched_control,0.75,torch_mlp_advanced,0.022,3.5,1.5,6.0
random_matched_control,0.75,torch_mlp_basic,0.005,3.5,1.5,6.0
random_matched_control,observed,ecfp_linear,0.009,3.5,1.5,6.0
random_matched_control,observed,ecfp_rf,0.041,3.5,1.0,5.0
random_matched_control,observed,lgbm_advanced,0.006,3.5,2.0,6.0
random_matched_control,observed,lgbm_basic,0.001,3.5,2.0,6.0
random_matched_control,observed,torch_mlp_advanced,0.017,3.5,1.5,6.0
random_matched_control,observed,torch_mlp_basic,0.007,3.5,2.0,6.0
