group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,46,4.439030593669847,0.0965006650797793,0.3876714818169441
audit_group,exact_leak,2,0.3059173911536214,0.1529586955768107,0.007934464597979715
audit_group,near_train_analogue,10,4.154664398307031,0.41546643983070314,0.13214680466777426
audit_group,same_scaffold,55,3.1165589183356217,0.05666470760610221,0.472247248917302
clean_vs_nonclean,audit_clean,46,4.439030593669847,0.0965006650797793,0.3876714818169441
clean_vs_nonclean,nonclean,67,7.577140707796272,0.11309165235516824,0.6123285181830561
max_train_tanimoto_bin,"[0, 0.4)",12,-1.1761933331155527,-0.09801611109296272,0.11970404831308465
max_train_tanimoto_bin,"[0.4, 0.6)",51,11.190354504465697,0.2194187157738372,0.5744035670767133
max_train_tanimoto_bin,"[0.6, 0.8)",36,-1.0366805992504284,-0.028796683312511902,0.16581111534444817
max_train_tanimoto_bin,"[0.8, 0.9)",4,-1.897550167285468,-0.474387541821367,0.0
max_train_tanimoto_bin,"[0.9, 1.0]",10,4.936240896651873,0.49362408966518734,0.14008126926575395
