mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.0,ecfp_rf,0.312,2.0,1.0,4.0
leakage_curve,0.0,lgbm_advanced,0.491,2.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.13,3.0,1.0,4.0
leakage_curve,0.0,torch_mlp_advanced,0.067,4.0,1.0,4.0
leakage_curve,0.0,torch_mlp_basic,0.0,5.0,5.0,6.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.05,ecfp_rf,0.254,2.0,1.0,4.0
leakage_curve,0.05,lgbm_advanced,0.576,1.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.056,3.0,1.0,5.0
leakage_curve,0.05,torch_mlp_advanced,0.11,4.0,1.0,4.0
leakage_curve,0.05,torch_mlp_basic,0.004,5.0,4.0,6.0
leakage_curve,0.1,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.1,ecfp_rf,0.301,2.0,1.0,4.0
leakage_curve,0.1,lgbm_advanced,0.534,1.0,1.0,3.0
leakage_curve,0.1,lgbm_basic,0.084,3.0,1.0,5.0
leakage_curve,0.1,torch_mlp_advanced,0.079,4.0,1.0,4.0
leakage_curve,0.1,torch_mlp_basic,0.002,5.0,3.0,6.0
leakage_curve,0.25,ecfp_linear,0.001,6.0,4.0,6.0
leakage_curve,0.25,ecfp_rf,0.222,2.0,1.0,5.0
leakage_curve,0.25,lgbm_advanced,0.548,1.0,1.0,3.0
leakage_curve,0.25,lgbm_basic,0.096,3.0,1.0,5.0
leakage_curve,0.25,torch_mlp_advanced,0.129,4.0,1.0,4.0
leakage_curve,0.25,torch_mlp_basic,0.004,5.0,3.0,6.0
leakage_curve,0.5,ecfp_linear,0.003,6.0,3.0,6.0
leakage_curve,0.5,ecfp_rf,0.148,3.0,1.0,6.0
leakage_curve,0.5,lgbm_advanced,0.607,1.0,1.0,3.0
leakage_curve,0.5,lgbm_basic,0.062,3.0,1.0,5.0
leakage_curve,0.5,torch_mlp_advanced,0.145,3.0,1.0,5.0
leakage_curve,0.5,torch_mlp_basic,0.035,5.0,1.0,6.0
leakage_curve,0.75,ecfp_linear,0.008,6.0,3.0,6.0
leakage_curve,0.75,ecfp_rf,0.0,4.0,2.0,6.0
leakage_curve,0.75,lgbm_advanced,0.691,1.0,1.0,3.0
leakage_curve,0.75,lgbm_basic,0.0,4.0,2.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.104,3.0,1.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.197,4.0,1.0,6.0
leakage_curve,observed,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,observed,ecfp_rf,0.273,2.0,1.0,4.0
leakage_curve,observed,lgbm_advanced,0.533,1.0,1.0,3.0
