mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.04716515410332889,0.04716515410332889,0.04716515410332889,0.04716515410332889,1.0
leakage_curve,0.0,0.04749805811397403,0.039016205993458175,-0.14261121681116246,0.28094175417987516,0.643
leakage_curve,0.05,0.07067706520465505,0.062230821321895946,-0.12295311499921606,0.3011974000430699,0.707
leakage_curve,0.1,0.060078728995433324,0.05501374681016141,-0.15803156835233959,0.2819461933307789,0.662
leakage_curve,0.25,0.07926506243927794,0.07152959355910893,-0.14543896890457605,0.3227731331447856,0.738
leakage_curve,0.5,0.0989606448405547,0.0918077609739007,-0.12230700082670574,0.33019812419307626,0.82
leakage_curve,0.75,0.1396893202060467,0.1296204296491097,0.04997942772164139,0.3195918472404263,1.0
leakage_curve,observed,0.0563570158812276,0.0507302633800647,-0.14200388032363317,0.27915758838000865,0.685
observed_composition,observed,0.055563766349323473,0.055563766349323473,0.055563766349323473,0.055563766349323473,1.0
random_matched_control,0.0,0.05192454108351056,0.04708771735091316,-0.20005423943705936,0.33887644107255016,0.634
random_matched_control,0.05,0.05428927660420823,0.04462058952881731,-0.1880755986670712,0.34756654412454685,0.623
random_matched_control,0.1,0.05178068204311761,0.05105812349362027,-0.2033128016597742,0.33539788163617323,0.626
random_matched_control,0.25,0.0567923359741542,0.04867605605272496,-0.20929344067688316,0.3522670545752096,0.644
random_matched_control,0.5,0.05876061533980695,0.06051739416671342,-0.19311366185573675,0.34304329212199847,0.649
random_matched_control,0.75,0.05398629765606058,0.05247676873671614,-0.20434186898302215,0.32494103909397903,0.64
random_matched_control,observed,0.052303048757930036,0.04979604341073862,-0.21370621346912308,0.326252296408405,0.627
