mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,2.0,2.0,2.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,4.0,4.0,4.0
leakage_curve,0.0,ecfp_linear,0.288,2.0,1.0,6.0
leakage_curve,0.0,ecfp_rf,0.134,3.0,1.0,5.0
leakage_curve,0.0,lgbm_advanced,0.575,1.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.001,6.0,3.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.0,4.0,2.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.002,3.0,2.0,5.0
leakage_curve,0.05,ecfp_linear,0.313,2.0,1.0,6.0
leakage_curve,0.05,ecfp_rf,0.103,3.0,1.0,5.0
leakage_curve,0.05,lgbm_advanced,0.582,1.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.002,6.0,2.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.0,4.0,2.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.0,3.0,2.0,5.0
leakage_curve,0.1,ecfp_linear,0.305,2.0,1.0,6.0
leakage_curve,0.1,ecfp_rf,0.08,4.0,1.0,5.0
leakage_curve,0.1,lgbm_advanced,0.61,1.0,1.0,3.0
leakage_curve,0.1,lgbm_basic,0.005,6.0,2.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.0,4.0,2.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.0,3.0,2.0,5.0
leakage_curve,0.25,ecfp_linear,0.325,3.0,1.0,6.0
leakage_curve,0.25,ecfp_rf,0.186,3.0,1.0,5.0
leakage_curve,0.25,lgbm_advanced,0.47,2.0,1.0,4.0
leakage_curve,0.25,lgbm_basic,0.009,6.0,2.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.002,4.0,2.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.008,4.0,2.0,5.0
leakage_curve,0.5,ecfp_linear,0.337,3.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.179,3.0,1.0,5.0
leakage_curve,0.5,lgbm_advanced,0.474,2.0,1.0,4.0
leakage_curve,0.5,lgbm_basic,0.003,6.0,2.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.001,4.0,2.9750000000000014,6.0
leakage_curve,0.5,torch_mlp_basic,0.006,3.0,2.0,5.0
leakage_curve,0.75,ecfp_linear,0.383,2.0,1.0,5.0
leakage_curve,0.75,ecfp_rf,0.254,2.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.351,2.0,1.0,5.0
leakage_curve,0.75,lgbm_basic,0.0,6.0,6.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.004,4.0,2.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.008,4.0,2.0,5.0
leakage_curve,observed,ecfp_linear,0.273,3.0,1.0,6.0
leakage_curve,observed,ecfp_rf,0.136,4.0,1.0,5.0
leakage_curve,observed,lgbm_advanced,0.589,1.0,1.0,3.0
leakage_curve,observed,lgbm_basic,0.002,6.0,2.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.0,4.0,3.0,6.0
leakage_curve,observed,torch_mlp_basic,0.0,3.0,2.0,5.0
observed_composition,observed,ecfp_linear,0.0,5.0,5.0,5.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,6.0,6.0,6.0
observed_composition,observed,torch_mlp_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_basic,0.0,4.0,4.0,4.0
random_matched_control,0.0,ecfp_linear,0.123,5.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.119,4.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.641,1.0,1.0,4.0
random_matched_control,0.0,lgbm_basic,0.025,5.0,1.9750000000000014,6.0
random_matched_control,0.0,torch_mlp_advanced,0.071,3.0,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.021,4.0,2.0,6.0
random_matched_control,0.05,ecfp_linear,0.123,4.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.12,4.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.616,1.0,1.0,4.0
random_matched_control,0.05,lgbm_basic,0.031,5.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.088,3.0,1.0,6.0
random_matched_control,0.05,torch_mlp_basic,0.022,4.0,2.0,6.0
random_matched_control,0.1,ecfp_linear,0.13,4.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.117,4.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.617,1.0,1.0,4.0
random_matched_control,0.1,lgbm_basic,0.032,5.5,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.074,3.0,1.0,6.0
random_matched_control,0.1,torch_mlp_basic,0.03,4.0,1.0,6.0
random_matched_control,0.25,ecfp_linear,0.131,4.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.115,4.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.625,1.0,1.0,4.0
random_matched_control,0.25,lgbm_basic,0.024,5.0,2.0,6.0
random_matched_control,0.25,torch_mlp_advanced,0.085,3.0,1.0,6.0
random_matched_control,0.25,torch_mlp_basic,0.02,4.0,2.0,6.0
random_matched_control,0.5,ecfp_linear,0.148,4.0,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.09,4.0,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.628,1.0,1.0,4.0
random_matched_control,0.5,lgbm_basic,0.021,6.0,2.0,6.0
random_matched_control,0.5,torch_mlp_advanced,0.081,3.0,1.0,6.0
random_matched_control,0.5,torch_mlp_basic,0.032,4.0,1.0,6.0
random_matched_control,0.75,ecfp_linear,0.139,5.0,1.0,6.0
random_matched_control,0.75,ecfp_rf,0.098,4.0,1.0,6.0
random_matched_control,0.75,lgbm_advanced,0.617,1.0,1.0,4.0
random_matched_control,0.75,lgbm_basic,0.023,6.0,2.0,6.0
random_matched_control,0.75,torch_mlp_advanced,0.096,3.0,1.0,6.0
random_matched_control,0.75,torch_mlp_basic,0.027,4.0,1.0,6.0
random_matched_control,observed,ecfp_linear,0.134,4.0,1.0,6.0
random_matched_control,observed,ecfp_rf,0.105,4.0,1.0,6.0
random_matched_control,observed,lgbm_advanced,0.601,1.0,1.0,4.0
random_matched_control,observed,lgbm_basic,0.037,5.0,1.0,6.0
random_matched_control,observed,torch_mlp_advanced,0.094,3.0,1.0,6.0
random_matched_control,observed,torch_mlp_basic,0.029,4.0,1.0,6.0
