metric,group,label,count,fraction,value
rows_total,,,41102,1.0,41102.0
rows_train,train,,32882,0.8000097318865262,32882.0
rows_valid,valid,,4109,0.0999708043404214,4109.0
rows_test,test,,4111,0.1000194637730524,4111.0
valid_molecules,,,41102,1.0,41102.0
test_label_conflicts,,,9,0.0021892483580637314,9.0
exact_test_leaks,,,95,0.0231087326684505,95.0
near_train_analogues,,,228,0.055460958404281196,228.0
same_scaffold_test_molecules,,,173,0.04208221843833617,173.0
audit_clean_test_molecules,,,3788,0.9214303089272683,3788.0
audit_group_count,audit_clean,,3788,0.9214303089272683,3788.0
audit_group_count,near_train_analogue,,133,0.0323522257358307,133.0
audit_group_count,same_scaffold,,95,0.0231087326684505,95.0
audit_group_count,exact_leak,,86,0.020919484310386767,86.0
audit_group_count,label_conflict,,9,0.0021892483580637314,9.0
label_distribution_by_audit_group,audit_clean,0.0,3665,0.9675290390707497,3665.0
label_distribution_by_audit_group,audit_clean,1.0,123,0.03247096092925027,123.0
label_distribution_by_audit_group,exact_leak,0.0,85,0.9883720930232558,85.0
label_distribution_by_audit_group,exact_leak,1.0,1,0.011627906976744186,1.0
label_distribution_by_audit_group,label_conflict,0.0,6,0.6666666666666666,6.0
label_distribution_by_audit_group,label_conflict,1.0,3,0.3333333333333333,3.0
label_distribution_by_audit_group,near_train_analogue,0.0,126,0.9473684210526315,126.0
label_distribution_by_audit_group,near_train_analogue,1.0,7,0.05263157894736842,7.0
label_distribution_by_audit_group,same_scaffold,0.0,93,0.9789473684210527,93.0
label_distribution_by_audit_group,same_scaffold,1.0,2,0.021052631578947368,2.0
