mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,4.0,4.0,4.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.0,3.5,3.5,3.5
conflict_curve,0.0,ecfp_rf,0.0,3.5,3.5,3.5
conflict_curve,0.0,lgbm_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.0,lgbm_basic,0.0,3.5,3.5,3.5
conflict_curve,0.0,torch_mlp_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.0,torch_mlp_basic,0.0,3.5,3.5,3.5
conflict_curve,0.05,ecfp_linear,0.0,3.5,3.5,3.5
conflict_curve,0.05,ecfp_rf,0.0,3.5,3.5,3.5
conflict_curve,0.05,lgbm_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.05,lgbm_basic,0.0,3.5,3.5,3.5
conflict_curve,0.05,torch_mlp_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.05,torch_mlp_basic,0.0,3.5,3.5,3.5
conflict_curve,0.1,ecfp_linear,0.0,3.5,3.5,3.5
conflict_curve,0.1,ecfp_rf,0.0,3.5,3.5,3.5
conflict_curve,0.1,lgbm_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.1,lgbm_basic,0.0,3.5,3.5,3.5
conflict_curve,0.1,torch_mlp_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.1,torch_mlp_basic,0.0,3.5,3.5,3.5
conflict_curve,0.25,ecfp_linear,0.005,4.0,1.5,6.0
conflict_curve,0.25,ecfp_rf,0.065,6.0,1.0,6.0
conflict_curve,0.25,lgbm_advanced,0.115,2.5,1.0,5.0
conflict_curve,0.25,lgbm_basic,0.341,2.0,1.0,5.5
conflict_curve,0.25,torch_mlp_advanced,0.088,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.049,4.0,1.0,5.0
conflict_curve,0.5,ecfp_linear,0.053,2.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.0,6.0,4.0,6.0
conflict_curve,0.5,lgbm_advanced,0.118,3.0,1.0,5.0
conflict_curve,0.5,lgbm_basic,0.546,1.0,1.0,5.0
conflict_curve,0.5,torch_mlp_advanced,0.016,4.0,1.5,6.0
conflict_curve,0.5,torch_mlp_basic,0.048,4.5,1.0,6.0
conflict_curve,0.75,ecfp_linear,0.137,2.0,1.0,3.0
conflict_curve,0.75,ecfp_rf,0.0,6.0,4.0,6.0
conflict_curve,0.75,lgbm_advanced,0.0,3.0,2.0,4.5
conflict_curve,0.75,lgbm_basic,0.636,1.0,1.0,2.0
conflict_curve,0.75,torch_mlp_advanced,0.0,4.5,3.5,6.0
conflict_curve,0.75,torch_mlp_basic,0.0,4.5,3.0,6.0
conflict_curve,observed,ecfp_linear,0.0,3.5,3.5,3.5
