group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,185,27.551746467890247,0.14892835928589324,0.6081827420862458
audit_group,exact_leak,3,0.13704981629643576,0.04568327209881192,0.0018106823001847613
audit_group,near_train_analogue,47,-1.364445466517641,-0.02903075460675832,0.02381582649864059
audit_group,same_scaffold,185,13.824366117332081,0.07472630333693017,0.3661907491149287
clean_vs_nonclean,audit_clean,185,27.551746467890247,0.14892835928589324,0.6081827420862458
clean_vs_nonclean,nonclean,235,12.596970467110875,0.05360412964728032,0.3918172579137541
max_train_tanimoto_bin,"[0, 0.4)",70,21.303542145729185,0.3043363163675598,0.35430010263944334
max_train_tanimoto_bin,"[0.4, 0.6)",88,-0.4547593425592069,-0.00516771980180917,0.2159926751150276
max_train_tanimoto_bin,"[0.6, 0.8)",162,17.92388550668627,0.11064126855979178,0.3451412631167012
max_train_tanimoto_bin,"[0.8, 0.9)",70,1.745657285856648,0.02493796122652354,0.0724606991937299
max_train_tanimoto_bin,"[0.9, 1.0]",30,-0.3696086607117779,-0.012320288690392596,0.012105259935097958
