mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_rf,0.007,4.0,2.0,5.0
leakage_curve,0.0,lgbm_advanced,0.548,1.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.395,2.0,1.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.037,4.0,1.0,5.0
leakage_curve,0.0,torch_mlp_basic,0.013,5.0,2.0,5.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.05,ecfp_rf,0.009,3.0,2.0,5.0
leakage_curve,0.05,lgbm_advanced,0.516,1.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.427,2.0,1.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.037,4.0,1.0,5.0
leakage_curve,0.05,torch_mlp_basic,0.011,5.0,2.0,5.0
leakage_curve,0.1,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.1,ecfp_rf,0.004,3.0,2.0,5.0
leakage_curve,0.1,lgbm_advanced,0.482,2.0,1.0,3.0
leakage_curve,0.1,lgbm_basic,0.461,2.0,1.0,3.0
leakage_curve,0.1,torch_mlp_advanced,0.034,4.0,1.0,5.0
leakage_curve,0.1,torch_mlp_basic,0.019,5.0,2.0,5.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.25,ecfp_rf,0.011,3.0,2.0,5.0
leakage_curve,0.25,lgbm_advanced,0.462,2.0,1.0,3.0249999999999773
leakage_curve,0.25,lgbm_basic,0.458,2.0,1.0,4.0
leakage_curve,0.25,torch_mlp_advanced,0.047,4.0,1.0,5.0
leakage_curve,0.25,torch_mlp_basic,0.022,5.0,2.0,5.0
leakage_curve,0.5,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.5,ecfp_rf,0.067,3.0,1.0,5.0
leakage_curve,0.5,lgbm_advanced,0.454,2.0,1.0,4.0
leakage_curve,0.5,lgbm_basic,0.406,2.0,1.0,4.0
leakage_curve,0.5,torch_mlp_advanced,0.048,4.0,1.0,5.0
leakage_curve,0.5,torch_mlp_basic,0.025,5.0,1.9750000000000014,5.0
leakage_curve,0.75,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.75,ecfp_rf,0.192,3.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.403,2.0,1.0,4.0
leakage_curve,0.75,lgbm_basic,0.361,2.0,1.0,4.0
leakage_curve,0.75,torch_mlp_advanced,0.022,4.0,2.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.022,5.0,2.0,5.0
leakage_curve,observed,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,observed,ecfp_rf,0.014,3.0,2.0,5.0
leakage_curve,observed,lgbm_advanced,0.441,2.0,1.0,3.0
leakage_curve,observed,lgbm_basic,0.496,2.0,1.0,3.0
leakage_curve,observed,torch_mlp_advanced,0.035,4.0,1.0,5.0
leakage_curve,observed,torch_mlp_basic,0.014,5.0,2.0,5.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,4.0,4.0,4.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,3.0,3.0,3.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
random_matched_control,0.0,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.0,ecfp_rf,0.023,4.0,2.0,5.0
random_matched_control,0.0,lgbm_advanced,0.463,2.0,1.0,4.0
random_matched_control,0.0,lgbm_basic,0.352,2.0,1.0,4.0
random_matched_control,0.0,torch_mlp_advanced,0.104,4.0,1.0,5.0
random_matched_control,0.0,torch_mlp_basic,0.058,4.0,1.0,5.0
random_matched_control,0.05,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.05,ecfp_rf,0.029,4.0,1.0,5.0
random_matched_control,0.05,lgbm_advanced,0.454,2.0,1.0,4.0
random_matched_control,0.05,lgbm_basic,0.37,2.0,1.0,4.0
random_matched_control,0.05,torch_mlp_advanced,0.093,4.0,1.0,5.0
random_matched_control,0.05,torch_mlp_basic,0.054,4.0,1.0,5.0
random_matched_control,0.1,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.1,ecfp_rf,0.031,4.0,1.0,5.0
random_matched_control,0.1,lgbm_advanced,0.49,2.0,1.0,4.0
random_matched_control,0.1,lgbm_basic,0.341,2.0,1.0,4.0
random_matched_control,0.1,torch_mlp_advanced,0.085,4.0,1.0,5.0
random_matched_control,0.1,torch_mlp_basic,0.053,4.0,1.0,5.0
random_matched_control,0.25,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.25,ecfp_rf,0.022,4.0,2.0,5.0
random_matched_control,0.25,lgbm_advanced,0.455,2.0,1.0,4.0
random_matched_control,0.25,lgbm_basic,0.388,2.0,1.0,4.0
random_matched_control,0.25,torch_mlp_advanced,0.089,4.0,1.0,5.0
random_matched_control,0.25,torch_mlp_basic,0.046,4.0,1.0,5.0
random_matched_control,0.5,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.5,ecfp_rf,0.041,4.0,1.0,5.0
random_matched_control,0.5,lgbm_advanced,0.469,2.0,1.0,4.0
random_matched_control,0.5,lgbm_basic,0.359,2.0,1.0,4.0
random_matched_control,0.5,torch_mlp_advanced,0.08,4.0,1.0,5.0
random_matched_control,0.5,torch_mlp_basic,0.051,4.0,1.0,5.0
random_matched_control,0.75,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,0.75,ecfp_rf,0.031,4.0,1.0,5.0
random_matched_control,0.75,lgbm_advanced,0.471,2.0,1.0,4.0
random_matched_control,0.75,lgbm_basic,0.355,2.0,1.0,4.0
random_matched_control,0.75,torch_mlp_advanced,0.085,4.0,1.0,5.0
random_matched_control,0.75,torch_mlp_basic,0.058,4.0,1.0,5.0
random_matched_control,observed,ecfp_linear,0.0,6.0,6.0,6.0
random_matched_control,observed,ecfp_rf,0.034,4.0,1.0,5.0
random_matched_control,observed,lgbm_advanced,0.459,2.0,1.0,4.0
random_matched_control,observed,lgbm_basic,0.377,2.0,1.0,4.0
random_matched_control,observed,torch_mlp_advanced,0.083,4.0,1.0,5.0
random_matched_control,observed,torch_mlp_basic,0.047,4.0,1.0,5.0
