mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.08836806823299304,0.08836806823299304,0.08836806823299304,0.08836806823299304,1.0
leakage_curve,0.0,0.08701368750067134,0.08850972309692662,0.003165067964538443,0.1711463916253322,0.98
leakage_curve,0.05,0.08066936932372533,0.07954989068230994,0.0017469874259155285,0.16297293935864263,0.978
leakage_curve,0.1,0.07959536409860363,0.07863133928184995,-0.0013681925002293938,0.16327610635491516,0.973
leakage_curve,0.25,0.06867548458299248,0.06858549205459136,-0.015263842323714005,0.14828797732019744,0.944
leakage_curve,0.5,0.04380366738221636,0.04341333517712581,-0.03914299439615251,0.12722289777634274,0.865
leakage_curve,0.75,0.01667655908118962,0.01753833447181985,-0.04995191679654482,0.07938624417481324,0.689
leakage_curve,observed,0.07321772754617714,0.07389012872441608,-0.01162143806877867,0.15510168637306768,0.955
observed_composition,observed,0.06413728824659813,0.06413728824659815,0.06413728824659815,0.06413728824659815,1.0
random_matched_control,0.0,0.06615200847118197,0.06600340857250908,-0.015389159611325644,0.1525321724546333,0.94
random_matched_control,0.05,0.06253325503006961,0.06354464042483637,-0.017254963140593122,0.14484705570492998,0.923
random_matched_control,0.1,0.06584839017171908,0.06724582216892888,-0.0204174016621288,0.14491529630406944,0.933
random_matched_control,0.25,0.06552477182260677,0.06544786986916834,-0.015951793830843622,0.14852885077993716,0.939
random_matched_control,0.5,0.06518210891630404,0.06702857735883688,-0.02452314303627578,0.150686633655011,0.917
random_matched_control,0.75,0.06531868502002584,0.06585629301277457,-0.027754253829509162,0.15030946048698204,0.932
random_matched_control,observed,0.0645341378391564,0.06681485305873536,-0.02031475598626513,0.14612596448174384,0.921
