group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,202,-61.20650274284875,-0.3030024888259839,0.5189690185886491
audit_group,exact_leak,21,0.5092248362916362,0.02424880172817315,0.012517756078724667
audit_group,label_conflict,5,-9.923191136854832,-1.9846382273709664,0.0
audit_group,near_train_analogue,19,-1.38215960427973,-0.0727452423305121,0.03565455432187543
audit_group,same_scaffold,158,-4.703875252964917,-0.029771362360537446,0.4328586710107508
clean_vs_nonclean,audit_clean,202,-61.20650274284875,-0.3030024888259839,0.5189690185886491
clean_vs_nonclean,nonclean,203,-15.500001157807842,-0.07635468550644257,0.4810309814113508
max_train_tanimoto_bin,"[0, 0.4)",88,-52.07242002881182,-0.5917320457819525,0.21567526067635162
max_train_tanimoto_bin,"[0.4, 0.6)",126,-3.952366732185347,-0.03136798993797894,0.3723317862521425
max_train_tanimoto_bin,"[0.6, 0.8)",133,-9.309381268660427,-0.06999534788466487,0.34455740158152937
max_train_tanimoto_bin,"[0.8, 0.9)",21,0.6542503289775683,0.031154777570360396,0.049366133368535715
max_train_tanimoto_bin,"[0.9, 1.0]",37,-12.026586199976558,-0.3250428702696367,0.01806941812144073
