metric,group,label,count,fraction,value
rows_total,,,2006,1.0,2006.0
rows_train,train,,1398,0.6969092721834497,1398.0
rows_valid,valid,,203,0.1011964107676969,203.0
rows_test,test,,405,0.20189431704885344,405.0
valid_molecules,,,2006,1.0,2006.0
test_label_conflicts,,,5,0.012345679012345678,5.0
exact_test_leaks,,,26,0.06419753086419754,26.0
near_train_analogues,,,45,0.1111111111111111,45.0
same_scaffold_test_molecules,,,197,0.48641975308641977,197.0
audit_clean_test_molecules,,,202,0.49876543209876545,202.0
audit_group_count,audit_clean,,202,0.49876543209876545,202.0
audit_group_count,same_scaffold,,158,0.39012345679012345,158.0
audit_group_count,exact_leak,,21,0.05185185185185185,21.0
audit_group_count,near_train_analogue,,19,0.04691358024691358,19.0
audit_group_count,label_conflict,,5,0.012345679012345678,5.0
label_distribution_by_audit_group,audit_clean,0.0,57,0.28217821782178215,57.0
label_distribution_by_audit_group,audit_clean,1.0,145,0.7178217821782178,145.0
label_distribution_by_audit_group,exact_leak,1.0,21,1.0,21.0
label_distribution_by_audit_group,label_conflict,0.0,3,0.6,3.0
label_distribution_by_audit_group,label_conflict,1.0,2,0.4,2.0
label_distribution_by_audit_group,near_train_analogue,0.0,6,0.3157894736842105,6.0
label_distribution_by_audit_group,near_train_analogue,1.0,13,0.6842105263157895,13.0
label_distribution_by_audit_group,same_scaffold,0.0,37,0.23417721518987342,37.0
label_distribution_by_audit_group,same_scaffold,1.0,121,0.7658227848101266,121.0
