mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
conflict_curve,0.0,0.18998549462563805,0.34641016151377546,-0.8563488385776752,0.894427190999916
conflict_curve,0.05,0.13141369038104556,0.2335496832484569,-0.8563488385776752,0.8563488385776752
conflict_curve,0.1,0.20784294595427769,0.29814239699997197,-0.7453559924999299,0.894427190999916
conflict_curve,0.25,0.18294060547612503,0.25819888974716115,-0.7333333333333333,0.894427190999916
conflict_curve,0.5,0.19783304083225559,0.25819888974716115,-0.7607073477892454,0.8563488385776752
conflict_curve,0.75,0.13734224390356306,0.18257418583505533,-0.7745966692414834,0.8563488385776752
conflict_curve,observed,0.11366386246186938,0.2335496832484569,-0.8563488385776752,0.8563488385776752
leakage_curve,0.0,0.3464715078648742,0.4666666666666666,-0.7333333333333333,0.9999999999999999
leakage_curve,0.05,0.3341291051818253,0.4666666666666666,-0.7333333333333333,0.9999999999999999
leakage_curve,0.1,0.31666425975689094,0.4666666666666666,-0.7333333333333333,0.9660917830792959
leakage_curve,0.25,0.26647444493635114,0.3333333333333333,-0.7333333333333333,0.9660917830792959
leakage_curve,0.5,0.1802984321537401,0.3046797785351375,-0.7333333333333333,0.8666666666666666
leakage_curve,0.75,0.15508679816188725,0.27602622373694163,-0.7333333333333333,0.7333333333333333
leakage_curve,observed,0.3373862027939031,0.4666666666666666,-0.7333333333333333,0.8666666666666666
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.2658910870101063,0.41403933560541256,-0.7745966692414834,0.894427190999916
random_matched_control,0.05,0.2555897672061103,0.35805743701971643,-0.7745966692414834,0.9309493362512627
random_matched_control,0.1,0.27310515211002784,0.3892494720807615,-0.7745966692414834,0.8666666666666666
random_matched_control,0.25,0.2517530808688943,0.34641016151377546,-0.7745966692414834,0.894427190999916
random_matched_control,0.5,0.26638248369399875,0.36514837167011066,-0.7745966692414834,0.894427190999916
random_matched_control,0.75,0.2563180470726962,0.35805743701971643,-0.7702105677302502,0.894427190999916
random_matched_control,observed,0.27224477736661973,0.3892494720807615,-0.7745966692414834,0.894427190999916
