mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,4.0,4.0,4.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_basic,1.0,1.0,1.0,1.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
conflict_curve,0.0,ecfp_linear,0.038,3.5,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.064,3.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.021,3.0,1.5,6.0
conflict_curve,0.0,lgbm_basic,0.05,3.0,1.0,6.0
conflict_curve,0.0,torch_mlp_advanced,0.071,3.5,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.043,4.0,1.0,6.0
conflict_curve,0.05,ecfp_linear,0.043,3.5,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.054,3.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.014,3.5,1.5,6.0
conflict_curve,0.05,lgbm_basic,0.053,3.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.087,3.5,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.039,3.5,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.073,3.0,1.0,6.0
conflict_curve,0.1,ecfp_rf,0.039,4.5,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.096,2.5,1.0,5.5
conflict_curve,0.1,lgbm_basic,0.097,2.5,1.0,6.0
conflict_curve,0.1,torch_mlp_advanced,0.053,4.0,1.0,6.0
conflict_curve,0.1,torch_mlp_basic,0.041,4.0,1.0,6.0
conflict_curve,0.25,ecfp_linear,0.07,3.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.062,4.5,1.0,6.0
conflict_curve,0.25,lgbm_advanced,0.077,2.5,1.0,5.5
conflict_curve,0.25,lgbm_basic,0.086,2.5,1.0,6.0
conflict_curve,0.25,torch_mlp_advanced,0.061,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.041,4.0,1.0,6.0
conflict_curve,0.5,ecfp_linear,0.062,3.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.047,4.5,1.0,6.0
conflict_curve,0.5,lgbm_advanced,0.075,2.5,1.0,6.0
conflict_curve,0.5,lgbm_basic,0.076,3.0,1.0,6.0
conflict_curve,0.5,torch_mlp_advanced,0.04,4.0,1.0,6.0
conflict_curve,0.5,torch_mlp_basic,0.017,4.0,1.5,6.0
conflict_curve,0.75,ecfp_linear,0.037,3.0,1.0,5.5
conflict_curve,0.75,ecfp_rf,0.062,4.0,1.0,6.0
conflict_curve,0.75,lgbm_advanced,0.028,3.0,1.0,6.0
conflict_curve,0.75,lgbm_basic,0.049,3.0,1.0,6.0
conflict_curve,0.75,torch_mlp_advanced,0.034,3.5,1.0,6.0
conflict_curve,0.75,torch_mlp_basic,0.015,3.5,1.5,6.0
conflict_curve,observed,ecfp_linear,0.042,3.5,1.0,6.0
conflict_curve,observed,ecfp_rf,0.057,3.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.013,3.0,1.5,6.0
conflict_curve,observed,lgbm_basic,0.037,3.0,1.0,6.0
conflict_curve,observed,torch_mlp_advanced,0.07,3.5,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.042,3.5,1.0,6.0
leakage_curve,0.0,ecfp_linear,0.091,4.0,1.0,6.0
leakage_curve,0.0,ecfp_rf,0.259,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.114,3.0,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.334,2.0,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.147,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.041,5.0,1.0,6.0
leakage_curve,0.05,ecfp_linear,0.085,4.0,1.0,6.0
leakage_curve,0.05,ecfp_rf,0.292,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.105,3.0,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.315,2.0,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.14,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.043,5.0,1.0,6.0
leakage_curve,0.1,ecfp_linear,0.095,4.0,1.0,6.0
leakage_curve,0.1,ecfp_rf,0.292,3.0,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.116,3.0,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.29,2.0,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.143,4.0,1.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.043,5.0,1.0,6.0
leakage_curve,0.25,ecfp_linear,0.075,4.0,1.0,6.0
leakage_curve,0.25,ecfp_rf,0.348,2.0,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.081,3.0,1.0,6.0
leakage_curve,0.25,lgbm_basic,0.265,3.0,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.164,4.0,1.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.049,5.0,1.0,6.0
leakage_curve,0.5,ecfp_linear,0.068,4.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.406,2.0,1.0,5.0
leakage_curve,0.5,lgbm_advanced,0.067,3.0,1.0,6.0
leakage_curve,0.5,lgbm_basic,0.181,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.188,4.0,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.067,5.0,1.0,6.0
leakage_curve,0.75,ecfp_linear,0.01,4.0,2.0,6.0
leakage_curve,0.75,ecfp_rf,0.619,1.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.025,4.0,1.4875000000000007,6.0
leakage_curve,0.75,lgbm_basic,0.112,3.0,1.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.102,4.0,1.0,6.0
leakage_curve,0.75,torch_mlp_basic,0.093,4.5,1.0,6.0
leakage_curve,observed,ecfp_linear,0.099,4.0,1.0,6.0
leakage_curve,observed,ecfp_rf,0.281,3.0,1.0,6.0
leakage_curve,observed,lgbm_advanced,0.109,3.0,1.0,6.0
leakage_curve,observed,lgbm_basic,0.32,2.0,1.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.134,4.0,1.0,6.0
leakage_curve,observed,torch_mlp_basic,0.041,5.0,1.0,6.0
observed_composition,observed,ecfp_linear,0.0,4.0,4.0,4.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_basic,1.0,1.0,1.0,1.0
observed_composition,observed,torch_mlp_advanced,0.0,5.0,5.0,5.0
observed_composition,observed,torch_mlp_basic,0.0,6.0,6.0,6.0
random_matched_control,0.0,ecfp_linear,0.049,4.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.133,3.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.0805,3.0,1.0,6.0
random_matched_control,0.0,lgbm_basic,0.201,3.0,1.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.092,4.0,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.044,4.5,1.0,6.0
random_matched_control,0.05,ecfp_linear,0.071,3.5,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.123,3.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.068,3.0,1.0,6.0
random_matched_control,0.05,lgbm_basic,0.202,3.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.0895,4.0,1.0,6.0
random_matched_control,0.05,torch_mlp_basic,0.042,4.0,1.0,6.0
random_matched_control,0.1,ecfp_linear,0.065,3.5,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.1315,3.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.077,3.0,1.0,6.0
random_matched_control,0.1,lgbm_basic,0.205,2.5,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.0885,4.0,1.0,6.0
random_matched_control,0.1,torch_mlp_basic,0.0375,4.5,1.0,6.0
random_matched_control,0.25,ecfp_linear,0.063,3.5,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.125,3.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.076,3.0,1.0,6.0
random_matched_control,0.25,lgbm_basic,0.203,3.0,1.0,6.0
random_matched_control,0.25,torch_mlp_advanced,0.0965,4.0,1.0,6.0
random_matched_control,0.25,torch_mlp_basic,0.038,4.0,1.0,6.0
random_matched_control,0.5,ecfp_linear,0.0655,3.5,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.12,3.0,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.0695,3.0,1.0,6.0
random_matched_control,0.5,lgbm_basic,0.199,2.5,1.0,6.0
