mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.004779189352692059,0.004779189352692059,0.004779189352692059,0.004779189352692059,1.0
conflict_curve,0.0,0.0105,0.0,-0.4,0.30000000000000004,0.301
conflict_curve,0.05,0.0045000000000000005,0.0,-0.4,0.30249999999999777,0.29
conflict_curve,0.1,0.10049999999999999,0.08333333333333337,-0.16770833333333335,0.41666666666666674,0.63
conflict_curve,0.25,0.09765,0.09999999999999998,-0.20000000000000007,0.4,0.602
conflict_curve,0.5,0.07404166666666666,0.08333333333333331,-0.16666666666666669,0.3333333333333333,0.62
conflict_curve,0.75,0.0535,0.08333333333333331,-0.16666666666666669,0.25,0.557
conflict_curve,observed,-0.0013999999999999987,0.0,-0.4,0.30000000000000004,0.271
leakage_curve,0.0,0.005476923076923078,0.005982905982906073,-0.08038461538461554,0.09232905982905981,0.55
leakage_curve,0.05,0.0008508928571428601,0.0035714285714285587,-0.0928794642857143,0.08214285714285718,0.535
leakage_curve,0.1,0.0005854700854700891,-0.0008547008547009072,-0.08205128205128198,0.08034188034188039,0.483
leakage_curve,0.25,-0.012037523452157597,-0.008442776735459734,-0.10696529080675413,0.06566604127579734,0.428
leakage_curve,0.5,-0.021584325396825393,-0.015873015873015928,-0.10317460317460314,0.03970734126984122,0.296
leakage_curve,0.75,-0.02492613636363637,-0.013636363636363669,-0.10343749999999999,0.018181818181818188,0.189
leakage_curve,observed,0.0008846153846153908,0.0017094017094017033,-0.08376068376068369,0.07694444444444448,0.515
observed_composition,observed,0.013759403330547038,0.013759403330547038,0.013759403330547038,0.013759403330547038,1.0
random_matched_control,0.0,0.014452678571428568,0.0,-0.20000000000000007,0.30000000000000004,0.448
random_matched_control,0.05,0.01292410714285714,0.0,-0.20000000000000007,0.30000000000000004,0.4445
random_matched_control,0.1,0.014726785714285715,0.0,-0.19999999999999996,0.25,0.4475
random_matched_control,0.25,0.013538392857142856,0.0,-0.20000000000000007,0.29999999999999993,0.4495
random_matched_control,0.5,0.01360178571428571,0.0,-0.20000000000000007,0.20000000000000007,0.453
random_matched_control,0.75,0.016474107142857145,0.0,-0.19999999999999996,0.25,0.4555
random_matched_control,observed,0.013842410714285712,0.0,-0.20000000000000007,0.24999999999999994,0.456
