group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,80,-33.537239469523115,-0.41921549336903896,0.7486472445853266
audit_group,near_train_analogue,3,0.6232685118694676,0.20775617062315588,0.03497541491188704
audit_group,same_scaffold,45,-17.704245332527538,-0.3934276740561675,0.21637734050278631
clean_vs_nonclean,audit_clean,80,-33.537239469523115,-0.41921549336903896,0.7486472445853266
clean_vs_nonclean,nonclean,48,-17.080976820658073,-0.35585368376370985,0.25135275541467333
max_train_tanimoto_bin,"[0, 0.4)",51,-25.859695205139587,-0.5070528471595998,0.3944955663846071
max_train_tanimoto_bin,"[0.4, 0.6)",44,-14.421383901187005,-0.3277587250269774,0.35114371222084806
max_train_tanimoto_bin,"[0.6, 0.8)",27,-10.240251997150974,-0.3792685924870731,0.21607050347933235
max_train_tanimoto_bin,"[0.8, 0.9)",3,-0.7201536985730884,-0.24005123285769614,0.0033148030033253997
max_train_tanimoto_bin,"[0.9, 1.0]",3,0.6232685118694676,0.20775617062315588,0.03497541491188704
