metric,group,label,count,fraction,value
rows_total,,,640,1.0,640.0
rows_train,train,,448,0.7,448.0
rows_valid,valid,,64,0.1,64.0
rows_test,test,,128,0.2,128.0
valid_molecules,,,640,1.0,640.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,0,0.0,0.0
near_train_analogues,,,3,0.0234375,3.0
same_scaffold_test_molecules,,,48,0.375,48.0
audit_clean_test_molecules,,,80,0.625,80.0
audit_group_count,audit_clean,,80,0.625,80.0
audit_group_count,same_scaffold,,45,0.3515625,45.0
audit_group_count,near_train_analogue,,3,0.0234375,3.0
label_distribution_by_audit_group,audit_clean,0.0,26,0.325,26.0
label_distribution_by_audit_group,audit_clean,1.0,54,0.675,54.0
label_distribution_by_audit_group,near_train_analogue,0.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,1.0,2,0.6666666666666666,2.0
label_distribution_by_audit_group,same_scaffold,0.0,11,0.24444444444444444,11.0
label_distribution_by_audit_group,same_scaffold,1.0,34,0.7555555555555555,34.0
