mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,1.0,1.0,1.0,1.0
clean_reference,0.0,ecfp_rf,0.0,4.0,4.0,4.0
clean_reference,0.0,lgbm_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,lgbm_basic,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_advanced,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_basic,0.0,2.0,2.0,2.0
leakage_curve,0.0,ecfp_linear,0.031,3.5,1.0,5.5
leakage_curve,0.0,ecfp_rf,0.039,3.5,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.029,3.5,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.04,3.5,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.0,3.5,1.5,5.5
leakage_curve,0.0,torch_mlp_basic,0.024,3.5,1.5,5.5
leakage_curve,0.05,ecfp_linear,0.03,3.5,1.0,5.5
leakage_curve,0.05,ecfp_rf,0.049,3.5,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.033,3.5,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.054,3.5,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.003,3.5,1.5,5.5
leakage_curve,0.05,torch_mlp_basic,0.023,3.5,1.5,6.0
leakage_curve,0.1,ecfp_linear,0.021,3.5,1.5,5.5
leakage_curve,0.1,ecfp_rf,0.043,3.5,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.037,3.5,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.036,3.5,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.001,3.5,1.5,5.5
leakage_curve,0.1,torch_mlp_basic,0.024,3.5,1.5,6.0
leakage_curve,0.25,ecfp_linear,0.023,3.5,1.5,5.5
leakage_curve,0.25,ecfp_rf,0.04,3.5,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.037,3.5,1.0,6.0
leakage_curve,0.25,lgbm_basic,0.078,3.5,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.0,3.5,2.0,5.5
leakage_curve,0.25,torch_mlp_basic,0.012,3.5,1.5,6.0
leakage_curve,0.5,ecfp_linear,0.011,3.5,1.5,4.5
leakage_curve,0.5,ecfp_rf,0.023,3.5,1.5,6.0
leakage_curve,0.5,lgbm_advanced,0.019,3.5,1.5,6.0
leakage_curve,0.5,lgbm_basic,0.064,3.5,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.002,3.5,2.0,5.5
leakage_curve,0.5,torch_mlp_basic,0.004,3.5,2.0,5.512499999999989
leakage_curve,0.75,ecfp_linear,0.0,3.5,3.0,3.5
leakage_curve,0.75,ecfp_rf,0.0,3.5,3.0,3.5
