mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.03952991452991451,0.0395299145299145,0.0395299145299145,0.0395299145299145,1.0
leakage_curve,0.0,0.06283333333333334,0.0,-0.33333333333333337,0.6666666666666667,0.258
leakage_curve,0.05,0.04066666666666667,0.0,-0.33333333333333337,0.6666666666666667,0.229
leakage_curve,0.1,0.034833333333333334,0.0,-0.6666666666666666,0.6666666666666667,0.218
leakage_curve,0.25,0.064,0.0,-0.33333333333333337,0.6666666666666667,0.247
leakage_curve,0.5,0.0325,0.0,-0.25,0.5,0.182
leakage_curve,0.75,0.0,0.0,0.0,0.0,0.0
leakage_curve,observed,0.0455,0.0,-0.6666666666666666,0.6666666666666667,0.23
observed_composition,observed,0.08976608187134491,0.08976608187134494,0.08976608187134494,0.08976608187134494,1.0
random_matched_control,0.0,0.07516666666666667,0.0,-0.6666666666666666,0.6666666666666667,0.3
random_matched_control,0.05,0.09033333333333335,0.0,-0.34166666666666623,0.6666666666666667,0.305
random_matched_control,0.1,0.08966666666666667,0.0,-0.33333333333333337,0.6666666666666667,0.296
random_matched_control,0.25,0.10166666666666666,0.0,-0.6666666666666666,1.0,0.31
random_matched_control,0.5,0.09633333333333334,0.0,-0.33333333333333337,0.6666666666666667,0.302
random_matched_control,0.75,0.0855,0.0,-0.33333333333333337,0.6666666666666667,0.298
random_matched_control,observed,0.109,0.0,-0.33333333333333337,1.0,0.307
