group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,1360,45.404917465961105,0.033385968724971404,0.600908134574066
audit_group,exact_leak,11,-0.15067603565360096,-0.013697821423054634,0.00031482589889342803
audit_group,label_conflict,2,0.6158659711844311,0.30793298559221555,0.002358540147353184
audit_group,near_train_analogue,173,33.60870208586905,0.19426995425357832,0.10035012137713259
audit_group,same_scaffold,970,32.053035293283024,0.03304436628173508,0.2960683780025548
clean_vs_nonclean,audit_clean,1360,45.404917465961105,0.033385968724971404,0.600908134574066
clean_vs_nonclean,nonclean,1156,66.1269273146829,0.05720322432065995,0.399091865425934
max_train_tanimoto_bin,"[0, 0.4)",507,22.882533340671937,0.04513320185536871,0.25971960195115573
max_train_tanimoto_bin,"[0.4, 0.6)",923,24.105215682361614,0.02611616000255863,0.41840498948437255
max_train_tanimoto_bin,"[0.6, 0.8)",707,27.314327258590026,0.03863412624977373,0.1823611082928443
max_train_tanimoto_bin,"[0.8, 0.9)",272,35.610206572577795,0.13091987710506542,0.13142514149528045
max_train_tanimoto_bin,"[0.9, 1.0]",107,1.619561926442617,0.015136092770491749,0.008089158776347062
