metric,group,label,count,fraction,value
rows_total,,,12572,1.0,12572.0
rows_train,train,,8799,0.6998886414253898,8799.0
rows_valid,valid,,1257,0.09998409163219854,1257.0
rows_test,test,,2516,0.2001272669424117,2516.0
valid_molecules,,,12572,1.0,12572.0
test_label_conflicts,,,2,0.000794912559618442,2.0
exact_test_leaks,,,13,0.0051669316375198724,13.0
near_train_analogues,,,186,0.0739268680445151,186.0
same_scaffold_test_molecules,,,1107,0.43998410174880764,1107.0
audit_clean_test_molecules,,,1360,0.5405405405405406,1360.0
audit_group_count,audit_clean,,1360,0.5405405405405406,1360.0
audit_group_count,same_scaffold,,970,0.38553259141494434,970.0
audit_group_count,near_train_analogue,,173,0.06875993640699524,173.0
audit_group_count,exact_leak,,11,0.0043720190779014305,11.0
audit_group_count,label_conflict,,2,0.000794912559618442,2.0
label_distribution_by_audit_group,audit_clean,0.0,777,0.5713235294117647,777.0
label_distribution_by_audit_group,audit_clean,1.0,583,0.42867647058823527,583.0
label_distribution_by_audit_group,exact_leak,0.0,10,0.9090909090909091,10.0
label_distribution_by_audit_group,exact_leak,1.0,1,0.09090909090909091,1.0
label_distribution_by_audit_group,label_conflict,0.0,2,1.0,2.0
label_distribution_by_audit_group,near_train_analogue,0.0,122,0.7052023121387283,122.0
label_distribution_by_audit_group,near_train_analogue,1.0,51,0.2947976878612717,51.0
label_distribution_by_audit_group,same_scaffold,0.0,417,0.4298969072164949,417.0
label_distribution_by_audit_group,same_scaffold,1.0,553,0.5701030927835051,553.0
