mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,4.0,4.0,4.0
conflict_curve,0.0,ecfp_linear,0.018,3.5,1.5,6.0
conflict_curve,0.0,ecfp_rf,0.024,3.5,1.5,6.0
conflict_curve,0.0,lgbm_advanced,0.005,3.5,2.0,5.0
conflict_curve,0.0,lgbm_basic,0.004,3.5,2.0,5.0
conflict_curve,0.0,torch_mlp_advanced,0.013,3.5,1.5,6.0
conflict_curve,0.0,torch_mlp_basic,0.011,3.5,1.5,6.0
conflict_curve,0.05,ecfp_linear,0.012,3.5,1.5,6.0
conflict_curve,0.05,ecfp_rf,0.015,3.5,1.5,6.0
conflict_curve,0.05,lgbm_advanced,0.002,3.5,2.0,5.0
conflict_curve,0.05,lgbm_basic,0.003,3.5,2.0,5.5
conflict_curve,0.05,torch_mlp_advanced,0.012,3.5,1.5,6.0
conflict_curve,0.05,torch_mlp_basic,0.011,3.5,1.9875000000000007,6.0
conflict_curve,0.1,ecfp_linear,0.006,3.5,1.5,6.0
conflict_curve,0.1,ecfp_rf,0.013,3.5,1.5,6.0
conflict_curve,0.1,lgbm_advanced,0.002,3.5,2.0,5.0
conflict_curve,0.1,lgbm_basic,0.0,3.5,2.0,5.5
conflict_curve,0.1,torch_mlp_advanced,0.017,3.5,1.5,6.0
conflict_curve,0.1,torch_mlp_basic,0.008,3.5,1.5,6.0
conflict_curve,0.25,ecfp_linear,0.083,3.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.005,3.5,2.0,6.0
conflict_curve,0.25,lgbm_advanced,0.005,3.0,1.5,5.0
conflict_curve,0.25,lgbm_basic,0.017,3.0,1.5,5.0
conflict_curve,0.25,torch_mlp_advanced,0.006,4.0,2.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.005,3.5,1.5,6.0
conflict_curve,0.5,ecfp_linear,0.0,3.5,3.5,3.5
conflict_curve,0.5,ecfp_rf,0.0,3.5,3.5,3.5
conflict_curve,0.5,lgbm_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.5,lgbm_basic,0.0,3.5,3.5,3.5
conflict_curve,0.5,torch_mlp_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.5,torch_mlp_basic,0.0,3.5,3.5,3.5
conflict_curve,0.75,ecfp_linear,0.0,3.5,3.5,3.5
conflict_curve,0.75,ecfp_rf,0.0,3.5,3.5,3.5
conflict_curve,0.75,lgbm_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.75,lgbm_basic,0.0,3.5,3.5,3.5
conflict_curve,0.75,torch_mlp_advanced,0.0,3.5,3.5,3.5
conflict_curve,0.75,torch_mlp_basic,0.0,3.5,3.5,3.5
conflict_curve,observed,ecfp_linear,0.009,3.5,1.9875000000000007,6.0
conflict_curve,observed,ecfp_rf,0.017,3.5,1.5,6.0
conflict_curve,observed,lgbm_advanced,0.002,3.5,2.0,5.0
conflict_curve,observed,lgbm_basic,0.005,3.5,2.0,5.5
conflict_curve,observed,torch_mlp_advanced,0.015,3.5,1.5,6.0
conflict_curve,observed,torch_mlp_basic,0.009,3.5,1.5,6.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.0,ecfp_rf,0.056,3.0,1.0,5.0
leakage_curve,0.0,lgbm_advanced,0.9,1.0,1.0,2.0
leakage_curve,0.0,lgbm_basic,0.034,2.0,1.0,4.0
leakage_curve,0.0,torch_mlp_advanced,0.003,5.0,3.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.006,4.0,2.0,5.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.05,ecfp_rf,0.092,3.0,1.0,5.0
leakage_curve,0.05,lgbm_advanced,0.868,1.0,1.0,2.0
leakage_curve,0.05,lgbm_basic,0.028,2.0,1.0,4.0
leakage_curve,0.05,torch_mlp_advanced,0.005,5.0,2.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.006,4.0,2.0,5.0
leakage_curve,0.1,ecfp_linear,0.001,6.0,5.0,6.0
leakage_curve,0.1,ecfp_rf,0.101,3.0,1.0,5.0
leakage_curve,0.1,lgbm_advanced,0.851,1.0,1.0,2.0
leakage_curve,0.1,lgbm_basic,0.037,2.0,1.0,4.0
leakage_curve,0.1,torch_mlp_advanced,0.003,5.0,3.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.006,4.0,2.0,5.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.25,ecfp_rf,0.142,3.0,1.0,5.0
leakage_curve,0.25,lgbm_advanced,0.807,1.0,1.0,2.0
leakage_curve,0.25,lgbm_basic,0.03,2.0,1.0,4.0
leakage_curve,0.25,torch_mlp_advanced,0.008,5.0,2.0,5.0
leakage_curve,0.25,torch_mlp_basic,0.011,4.0,2.0,5.0
leakage_curve,0.5,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.5,ecfp_rf,0.161,3.0,1.0,5.0
leakage_curve,0.5,lgbm_advanced,0.788,1.0,1.0,2.0
leakage_curve,0.5,lgbm_basic,0.013,3.0,2.0,5.0
leakage_curve,0.5,torch_mlp_advanced,0.027,4.0,1.0,5.0
leakage_curve,0.5,torch_mlp_basic,0.01,5.0,2.0,5.0
leakage_curve,0.75,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.75,ecfp_rf,0.062,3.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.805,1.0,1.0,2.0
leakage_curve,0.75,lgbm_basic,0.001,3.0,2.0,5.0
leakage_curve,0.75,torch_mlp_advanced,0.085,4.0,1.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.047,4.0,1.0,5.0
leakage_curve,observed,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,observed,ecfp_rf,0.081,3.0,1.0,5.0
leakage_curve,observed,lgbm_advanced,0.875,1.0,1.0,2.0
leakage_curve,observed,lgbm_basic,0.031,2.0,1.0,4.0
leakage_curve,observed,torch_mlp_advanced,0.004,5.0,2.0,6.0
leakage_curve,observed,torch_mlp_basic,0.008,4.0,2.0,5.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,5.0,5.0,5.0
observed_composition,observed,torch_mlp_basic,0.0,4.0,4.0,4.0
random_matched_control,0.0,ecfp_linear,0.0035,6.0,2.5,6.0
random_matched_control,0.0,ecfp_rf,0.1045,3.0,1.0,5.0
random_matched_control,0.0,lgbm_advanced,0.3545,2.0,1.0,4.0
random_matched_control,0.0,lgbm_basic,0.044,3.0,1.0,4.512499999999932
random_matched_control,0.0,torch_mlp_advanced,0.0025,4.0,2.0,5.5
random_matched_control,0.0,torch_mlp_basic,0.009,4.0,2.0,5.5
random_matched_control,0.05,ecfp_linear,0.005,6.0,2.5,6.0
random_matched_control,0.05,ecfp_rf,0.1005,3.0,1.0,5.0
random_matched_control,0.05,lgbm_advanced,0.3615,2.0,1.0,4.5
random_matched_control,0.05,lgbm_basic,0.0395,3.0,1.0,4.5
random_matched_control,0.05,torch_mlp_advanced,0.0075,4.0,2.0,5.5
random_matched_control,0.05,torch_mlp_basic,0.009,4.0,2.0,5.5
random_matched_control,0.1,ecfp_linear,0.0035,6.0,2.5,6.0
random_matched_control,0.1,ecfp_rf,0.0805,3.0,1.0,5.0
random_matched_control,0.1,lgbm_advanced,0.3735,2.0,1.0,4.5
random_matched_control,0.1,lgbm_basic,0.041,3.0,1.0,5.0
random_matched_control,0.1,torch_mlp_advanced,0.0065,4.0,2.0,5.5
random_matched_control,0.1,torch_mlp_basic,0.0135,3.5,2.0,5.5
random_matched_control,0.25,ecfp_linear,0.0035,6.0,2.5,6.0
random_matched_control,0.25,ecfp_rf,0.091,3.0,1.0,5.0
random_matched_control,0.25,lgbm_advanced,0.3605,2.5,1.0,4.5
random_matched_control,0.25,lgbm_basic,0.044,3.0,1.0,4.5
random_matched_control,0.25,torch_mlp_advanced,0.0055,4.0,2.0,5.5
random_matched_control,0.25,torch_mlp_basic,0.0105,4.0,2.0,5.5
random_matched_control,0.5,ecfp_linear,0.005,6.0,2.5,6.0
random_matched_control,0.5,ecfp_rf,0.0875,3.0,1.0,5.0
random_matched_control,0.5,lgbm_advanced,0.3635,2.0,1.0,4.5
random_matched_control,0.5,lgbm_basic,0.046,3.0,1.0,4.5
random_matched_control,0.5,torch_mlp_advanced,0.007,4.0,2.0,5.5
random_matched_control,0.5,torch_mlp_basic,0.012,4.0,2.0,5.5
random_matched_control,0.75,ecfp_linear,0.0055,6.0,2.5,6.0
random_matched_control,0.75,ecfp_rf,0.0785,3.0,1.0,5.0
random_matched_control,0.75,lgbm_advanced,0.3745,2.0,1.0,4.5
random_matched_control,0.75,lgbm_basic,0.045,3.0,1.0,5.0
random_matched_control,0.75,torch_mlp_advanced,0.0035,4.0,2.0,5.5
random_matched_control,0.75,torch_mlp_basic,0.01,4.0,2.0,5.5
random_matched_control,observed,ecfp_linear,0.004,6.0,2.5,6.0
random_matched_control,observed,ecfp_rf,0.101,3.0,1.0,5.0
random_matched_control,observed,lgbm_advanced,0.3535,2.0,1.0,4.0
random_matched_control,observed,lgbm_basic,0.041,3.0,1.0,4.012499999999932
random_matched_control,observed,torch_mlp_advanced,0.005,4.0,2.0,5.5
random_matched_control,observed,torch_mlp_basic,0.0105,4.0,2.0,5.5
