mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,-0.002432305314788774,-0.002432305314788774,-0.002432305314788774,-0.002432305314788774,0.0
conflict_curve,0.0,0.001625,0.0,-0.5,0.25,0.145
conflict_curve,0.05,-0.008125,0.0,-0.25,0.25,0.13
conflict_curve,0.1,-0.0015,0.0,-0.25,0.25,0.146
conflict_curve,0.25,0.03,0.0,-0.33333333333333337,0.33333333333333337,0.205
conflict_curve,0.5,0.1085,0.0,-0.25,0.5,0.422
conflict_curve,0.75,0.11366666666666665,0.0,0.0,0.3333333333333333,0.345
conflict_curve,observed,-0.001625,0.0,-0.5,0.37812499999999716,0.136
leakage_curve,0.0,-0.0022449220713926577,-0.0026269482151834445,-0.026000502765208558,0.020598290598290624,0.419
leakage_curve,0.05,-0.0009352649504157088,-0.000863968746869892,-0.022500751277171167,0.020040318541520528,0.467
leakage_curve,0.1,-0.0007326836581709166,-0.0005997001499251642,-0.023220264867566152,0.019965017491254348,0.477
leakage_curve,0.25,0.0028004511278195425,0.002493734335839659,-0.01684273182957392,0.02190789473684218,0.601
leakage_curve,0.5,0.007354886863607805,0.007424575738529338,-0.008461004609260405,0.02171197360150841,0.829
leakage_curve,0.75,0.010293097527472511,0.010659913003662924,0.0006546188186813964,0.01877289377289371,0.981
leakage_curve,observed,-0.00028152184781520716,0.00014998500149993044,-0.023223302669733107,0.021475977402259785,0.506
observed_composition,observed,0.004768416353885807,0.004768416353885807,0.004768416353885807,0.004768416353885807,1.0
random_matched_control,0.0,0.00284326294620412,0.0,-0.25,0.25,0.3955
random_matched_control,0.05,0.004397197083961789,0.0,-0.25,0.25,0.403
random_matched_control,0.1,0.005679430618401203,0.0,-0.25,0.25,0.416
random_matched_control,0.25,0.00153633107088989,0.0,-0.25,0.25,0.4015
random_matched_control,0.5,0.004121248114630466,0.0,-0.25,0.25,0.3995
random_matched_control,0.75,0.008239284816490696,0.0,-0.25,0.25,0.406
random_matched_control,observed,0.00414566993464052,0.0,-0.25,0.25,0.4085
