group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,90,-12.150008311879853,-0.13500009235422059,0.6944147560516003
audit_group,exact_leak,2,-0.001020725646905682,-0.000510362823452841,0.0013860641501439342
audit_group,near_train_analogue,3,-3.0617062427332997,-1.0205687475777665,0.006977735527025192
audit_group,same_scaffold,39,-2.5930929219204897,-0.06648956210052538,0.2972214442712306
clean_vs_nonclean,audit_clean,90,-12.150008311879853,-0.13500009235422059,0.6944147560516003
clean_vs_nonclean,nonclean,44,-5.655819890300695,-0.1285413611431976,0.3055852439483997
max_train_tanimoto_bin,"[0, 0.4)",71,-5.845948819129321,-0.08233730731168057,0.5141588475422769
max_train_tanimoto_bin,"[0.4, 0.6)",41,-6.617109511163918,-0.16139291490643703,0.3939706234342
max_train_tanimoto_bin,"[0.6, 0.8)",16,-2.3054269810230377,-0.14408918631393985,0.08230941835688779
max_train_tanimoto_bin,"[0.8, 0.9)",4,-3.0363221652173635,-0.7590805413043409,0.00817504651649149
max_train_tanimoto_bin,"[0.9, 1.0]",2,-0.001020725646905682,-0.000510362823452841,0.0013860641501439342
