metric,group,label,count,fraction,value
rows_total,,,669,1.0,669.0
rows_train,train,,468,0.6995515695067265,468.0
rows_valid,valid,,67,0.10014947683109118,67.0
rows_test,test,,134,0.20029895366218237,134.0
valid_molecules,,,669,1.0,669.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,2,0.014925373134328358,2.0
near_train_analogues,,,5,0.03731343283582089,5.0
same_scaffold_test_molecules,,,43,0.3208955223880597,43.0
audit_clean_test_molecules,,,90,0.6716417910447762,90.0
audit_group_count,audit_clean,,90,0.6716417910447762,90.0
audit_group_count,same_scaffold,,39,0.291044776119403,39.0
audit_group_count,near_train_analogue,,3,0.022388059701492536,3.0
audit_group_count,exact_leak,,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.0,74,0.8222222222222222,74.0
label_distribution_by_audit_group,audit_clean,1.0,16,0.17777777777777778,16.0
label_distribution_by_audit_group,exact_leak,0.0,2,1.0,2.0
label_distribution_by_audit_group,near_train_analogue,0.0,2,0.6666666666666666,2.0
label_distribution_by_audit_group,near_train_analogue,1.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,same_scaffold,0.0,29,0.7435897435897436,29.0
label_distribution_by_audit_group,same_scaffold,1.0,10,0.2564102564102564,10.0
