mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,5.0,5.0,5.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_basic,1.0,1.0,1.0,1.0
clean_reference,0.0,torch_mlp_advanced,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_basic,0.0,4.0,4.0,4.0
leakage_curve,0.0,ecfp_linear,0.013,4.0,1.5,6.0
leakage_curve,0.0,ecfp_rf,0.113,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.078,3.0,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.092,2.5,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.0,4.5,2.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.021,3.5,1.5,6.0
leakage_curve,0.05,ecfp_linear,0.015,4.0,1.5,6.0
leakage_curve,0.05,ecfp_rf,0.117,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.061,3.0,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.097,2.5,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.001,4.0,2.0,5.5
leakage_curve,0.05,torch_mlp_basic,0.025,3.5,1.4875000000000007,6.0
leakage_curve,0.1,ecfp_linear,0.013,4.0,1.5,6.0
leakage_curve,0.1,ecfp_rf,0.135,3.0,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.068,3.0,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.078,2.5,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.0,4.0,2.0,5.5
leakage_curve,0.1,torch_mlp_basic,0.019,3.5,1.5,6.0
leakage_curve,0.25,ecfp_linear,0.006,3.5,2.0,6.0
leakage_curve,0.25,ecfp_rf,0.117,3.0,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.077,3.0,1.0,6.0
leakage_curve,0.25,lgbm_basic,0.051,3.0,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.0,4.0,2.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.016,3.5,1.5,5.5
leakage_curve,0.5,ecfp_linear,0.127,3.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.43,2.0,1.0,6.0
leakage_curve,0.5,lgbm_advanced,0.034,4.5,1.0,6.0
leakage_curve,0.5,lgbm_basic,0.018,4.5,1.5,6.0
leakage_curve,0.5,torch_mlp_advanced,0.005,3.5,1.5,5.5
leakage_curve,0.5,torch_mlp_basic,0.015,3.5,1.5,6.0
leakage_curve,0.75,ecfp_linear,0.169,2.5,1.0,4.0
leakage_curve,0.75,ecfp_rf,0.497,2.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.001,5.5,3.5,6.0
leakage_curve,0.75,lgbm_basic,0.001,5.5,3.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.001,3.0,1.5,4.5
leakage_curve,0.75,torch_mlp_basic,0.0,3.0,2.0,5.0
leakage_curve,observed,ecfp_linear,0.012,4.0,1.5,6.0
leakage_curve,observed,ecfp_rf,0.118,3.0,1.0,6.0
leakage_curve,observed,lgbm_advanced,0.07,3.0,1.0,6.0
leakage_curve,observed,lgbm_basic,0.086,2.5,1.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.002,4.5,2.0,6.0
leakage_curve,observed,torch_mlp_basic,0.015,3.5,1.5,6.0
observed_composition,observed,ecfp_linear,0.0,5.0,5.0,5.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_basic,1.0,1.0,1.0,1.0
observed_composition,observed,torch_mlp_advanced,0.0,6.0,6.0,6.0
observed_composition,observed,torch_mlp_basic,0.0,4.0,4.0,4.0
random_matched_control,0.0,ecfp_linear,0.019,3.5,1.5,6.0
random_matched_control,0.0,ecfp_rf,0.112,3.5,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.063,3.0,1.0,6.0
random_matched_control,0.0,lgbm_basic,0.065,3.0,1.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.003,4.0,2.0,5.5
random_matched_control,0.0,torch_mlp_basic,0.052,3.5,1.0,5.5
random_matched_control,0.05,ecfp_linear,0.016,3.5,1.5,6.0
random_matched_control,0.05,ecfp_rf,0.083,3.5,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.072,3.0,1.0,6.0
random_matched_control,0.05,lgbm_basic,0.057,3.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.003,3.5,1.5,6.0
random_matched_control,0.05,torch_mlp_basic,0.053,3.5,1.0,5.5
random_matched_control,0.1,ecfp_linear,0.019,3.5,1.5,6.0
random_matched_control,0.1,ecfp_rf,0.102,3.5,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.074,3.0,1.0,6.0
random_matched_control,0.1,lgbm_basic,0.074,3.0,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.0,4.0,1.5,6.0
random_matched_control,0.1,torch_mlp_basic,0.045,3.5,1.0,5.512499999999989
random_matched_control,0.25,ecfp_linear,0.013,3.5,1.5,6.0
random_matched_control,0.25,ecfp_rf,0.11,3.5,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.079,3.0,1.0,6.0
random_matched_control,0.25,lgbm_basic,0.074,3.0,1.0,6.0
random_matched_control,0.25,torch_mlp_advanced,0.002,4.0,1.5,5.512499999999989
random_matched_control,0.25,torch_mlp_basic,0.047,3.5,1.0,5.5
random_matched_control,0.5,ecfp_linear,0.011,3.5,1.5,6.0
random_matched_control,0.5,ecfp_rf,0.087,3.5,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.073,3.0,1.0,6.0
random_matched_control,0.5,lgbm_basic,0.074,3.0,1.0,6.0
random_matched_control,0.5,torch_mlp_advanced,0.001,4.0,1.5,6.0
random_matched_control,0.5,torch_mlp_basic,0.055,3.5,1.0,5.512499999999989
random_matched_control,0.75,ecfp_linear,0.02,4.0,1.5,6.0
random_matched_control,0.75,ecfp_rf,0.086,3.5,1.0,6.0
random_matched_control,0.75,lgbm_advanced,0.07,3.0,1.0,6.0
random_matched_control,0.75,lgbm_basic,0.064,3.0,1.0,6.0
random_matched_control,0.75,torch_mlp_advanced,0.002,4.0,2.0,6.0
random_matched_control,0.75,torch_mlp_basic,0.057,3.5,1.0,5.5
random_matched_control,observed,ecfp_linear,0.021,3.5,1.5,6.0
random_matched_control,observed,ecfp_rf,0.102,3.5,1.0,6.0
random_matched_control,observed,lgbm_advanced,0.072,3.0,1.0,6.0
random_matched_control,observed,lgbm_basic,0.058,3.0,1.0,6.0
random_matched_control,observed,torch_mlp_advanced,0.002,4.0,1.5,6.0
random_matched_control,observed,torch_mlp_basic,0.055,3.5,1.0,5.5
