mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.02829391891891886,0.02829391891891886,0.02829391891891886,0.02829391891891886,1.0
leakage_curve,0.0,0.03783333333333334,0.0,-0.5,0.5020833333333315,0.411
leakage_curve,0.05,0.041333333333333326,0.0,-0.5000000000000001,0.5000000000000001,0.411
leakage_curve,0.1,-0.0009166666666666661,0.0,-0.6666666666666666,0.5,0.357
leakage_curve,0.25,-0.0145,0.0,-0.6666666666666666,0.33333333333333337,0.313
leakage_curve,0.5,-0.11870000000000001,-0.09999999999999998,-0.45000000000000007,0.1499999999999999,0.159
leakage_curve,0.75,-0.20783333333333337,-0.25000000000000006,-0.41666666666666674,0.08333333333333331,0.044
leakage_curve,observed,0.03091666666666667,0.0,-0.6666666666666666,0.5000000000000001,0.391
observed_composition,observed,0.06074766355140181,0.06074766355140182,0.06074766355140182,0.06074766355140182,1.0
random_matched_control,0.0,0.06108333333333334,0.0,-0.5,0.8333333333333334,0.41
random_matched_control,0.05,0.052666666666666674,0.0,-0.5,0.6666666666666667,0.37
random_matched_control,0.1,0.058,0.0,-0.6666666666666666,0.8333333333333334,0.402
random_matched_control,0.25,0.06741666666666667,0.0,-0.5020833333333333,0.8333333333333334,0.4
random_matched_control,0.5,0.07425,0.0,-0.5,0.6666666666666667,0.426
random_matched_control,0.75,0.06208333333333334,0.0,-0.5854166666666666,0.6666666666666667,0.428
random_matched_control,observed,0.060500000000000005,0.0,-0.6666666666666666,0.6687499999999982,0.411
