metric,group,label,count,fraction,value
rows_total,,,12086,1.0,12086.0
rows_train,train,,8461,0.7000661922885983,8461.0
rows_valid,valid,,1209,0.10003309614429919,1209.0
rows_test,test,,2416,0.19990071156710243,2416.0
valid_molecules,,,12086,1.0,12086.0
test_label_conflicts,,,5,0.0020695364238410598,5.0
exact_test_leaks,,,24,0.009933774834437087,24.0
near_train_analogues,,,220,0.09105960264900662,220.0
same_scaffold_test_molecules,,,1055,0.4366721854304636,1055.0
audit_clean_test_molecules,,,1311,0.5426324503311258,1311.0
audit_group_count,audit_clean,,1311,0.5426324503311258,1311.0
audit_group_count,same_scaffold,,885,0.3663079470198676,885.0
audit_group_count,near_train_analogue,,196,0.08112582781456953,196.0
audit_group_count,exact_leak,,19,0.007864238410596027,19.0
audit_group_count,label_conflict,,5,0.0020695364238410598,5.0
label_distribution_by_audit_group,audit_clean,0.0,777,0.5926773455377574,777.0
label_distribution_by_audit_group,audit_clean,1.0,534,0.4073226544622426,534.0
label_distribution_by_audit_group,exact_leak,0.0,18,0.9473684210526315,18.0
label_distribution_by_audit_group,exact_leak,1.0,1,0.05263157894736842,1.0
label_distribution_by_audit_group,label_conflict,0.0,4,0.8,4.0
label_distribution_by_audit_group,label_conflict,1.0,1,0.2,1.0
label_distribution_by_audit_group,near_train_analogue,0.0,124,0.6326530612244898,124.0
label_distribution_by_audit_group,near_train_analogue,1.0,72,0.3673469387755102,72.0
label_distribution_by_audit_group,same_scaffold,0.0,676,0.7638418079096045,676.0
label_distribution_by_audit_group,same_scaffold,1.0,209,0.23615819209039549,209.0
