mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.076,4.0,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.089,3.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.03,3.0,1.0,5.5
conflict_curve,0.0,lgbm_basic,0.05,3.0,1.0,5.5
conflict_curve,0.0,torch_mlp_advanced,0.065,3.5,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.041,4.0,1.0,6.0
conflict_curve,0.05,ecfp_linear,0.066,3.5,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.092,3.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.035,3.0,1.0,5.5
conflict_curve,0.05,lgbm_basic,0.035,3.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.05,3.5,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.047,3.5,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.135,3.5,1.0,6.0
conflict_curve,0.1,ecfp_rf,0.045,4.0,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.028,3.0,1.0,5.5
conflict_curve,0.1,lgbm_basic,0.099,2.5,1.0,5.5
conflict_curve,0.1,torch_mlp_advanced,0.057,3.5,1.0,6.0
conflict_curve,0.1,torch_mlp_basic,0.047,3.5,1.0,6.0
conflict_curve,0.25,ecfp_linear,0.161,2.5,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.007,5.0,1.5,6.0
conflict_curve,0.25,lgbm_advanced,0.013,3.0,1.5,5.5
conflict_curve,0.25,lgbm_basic,0.128,2.0,1.0,5.0
conflict_curve,0.25,torch_mlp_advanced,0.067,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.027,4.0,1.0,6.0
conflict_curve,0.5,ecfp_linear,0.583,1.0,1.0,5.0
conflict_curve,0.5,ecfp_rf,0.005,5.5,2.5,6.0
conflict_curve,0.5,lgbm_advanced,0.005,3.0,1.5,5.0
conflict_curve,0.5,lgbm_basic,0.073,2.5,1.0,5.0
conflict_curve,0.5,torch_mlp_advanced,0.022,4.5,1.5,6.0
conflict_curve,0.5,torch_mlp_basic,0.007,4.5,2.0,6.0
conflict_curve,0.75,ecfp_linear,0.708,1.0,1.0,5.0
conflict_curve,0.75,ecfp_rf,0.002,5.5,2.5,6.0
conflict_curve,0.75,lgbm_advanced,0.004,3.5,1.5,5.5
conflict_curve,0.75,lgbm_basic,0.082,2.5,1.0,4.5
conflict_curve,0.75,torch_mlp_advanced,0.034,4.0,1.0,6.0
conflict_curve,0.75,torch_mlp_basic,0.006,4.5,2.0,6.0
conflict_curve,observed,ecfp_linear,0.062,4.0,1.0,6.0
conflict_curve,observed,ecfp_rf,0.113,3.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.038,3.0,1.0,5.5
conflict_curve,observed,lgbm_basic,0.054,3.0,1.0,5.5
conflict_curve,observed,torch_mlp_advanced,0.066,3.5,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.042,3.5,1.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.0,ecfp_rf,0.105,3.0,1.0,4.0
leakage_curve,0.0,lgbm_advanced,0.578,1.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.315,2.0,1.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.0,5.0,4.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.001,5.0,4.0,6.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.05,ecfp_rf,0.101,3.0,1.0,4.0
leakage_curve,0.05,lgbm_advanced,0.588,1.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.308,2.0,1.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.0,5.0,4.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.002,5.0,4.0,6.0
leakage_curve,0.1,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.1,ecfp_rf,0.099,3.0,1.0,4.0
leakage_curve,0.1,lgbm_advanced,0.595,1.0,1.0,3.0
leakage_curve,0.1,lgbm_basic,0.303,2.0,1.0,3.0
leakage_curve,0.1,torch_mlp_advanced,0.0,5.0,4.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.0,5.0,4.0,6.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.25,ecfp_rf,0.114,3.0,1.0,4.0
leakage_curve,0.25,lgbm_advanced,0.641,1.0,1.0,3.0
leakage_curve,0.25,lgbm_basic,0.243,2.0,1.0,3.0
leakage_curve,0.25,torch_mlp_advanced,0.0,5.0,3.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.001,5.0,4.0,6.0
leakage_curve,0.5,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.5,ecfp_rf,0.146,3.0,1.0,4.0
leakage_curve,0.5,lgbm_advanced,0.616,1.0,1.0,3.0
leakage_curve,0.5,lgbm_basic,0.234,2.0,1.0,3.0
leakage_curve,0.5,torch_mlp_advanced,0.001,5.0,4.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.001,4.0,4.0,5.0
leakage_curve,0.75,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.75,ecfp_rf,0.122,3.0,1.0,3.0
leakage_curve,0.75,lgbm_advanced,0.718,1.0,1.0,3.0
leakage_curve,0.75,lgbm_basic,0.155,2.0,1.0,3.0
leakage_curve,0.75,torch_mlp_advanced,0.0,5.0,4.0,6.0
leakage_curve,0.75,torch_mlp_basic,0.0,4.0,4.0,5.0
leakage_curve,observed,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,observed,ecfp_rf,0.092,3.0,1.0,4.0
leakage_curve,observed,lgbm_advanced,0.59,1.0,1.0,3.0
leakage_curve,observed,lgbm_basic,0.316,2.0,1.0,3.0
leakage_curve,observed,torch_mlp_advanced,0.0,5.0,4.0,6.0
leakage_curve,observed,torch_mlp_basic,0.001,5.0,4.0,6.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,5.0,5.0,5.0
observed_composition,observed,torch_mlp_basic,0.0,4.0,4.0,4.0
random_matched_control,0.0,ecfp_linear,0.021,6.0,1.5,6.0
random_matched_control,0.0,ecfp_rf,0.0885,3.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.306,2.0,1.0,5.0
random_matched_control,0.0,lgbm_basic,0.157,2.0,1.0,5.0
random_matched_control,0.0,torch_mlp_advanced,0.0205,4.0,1.5,6.0
random_matched_control,0.0,torch_mlp_basic,0.0155,4.0,1.5,6.0
random_matched_control,0.05,ecfp_linear,0.0265,6.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.0875,3.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.3035,2.0,1.0,5.0
random_matched_control,0.05,lgbm_basic,0.161,2.0,1.0,5.5
random_matched_control,0.05,torch_mlp_advanced,0.019,4.0,1.5,6.0
random_matched_control,0.05,torch_mlp_basic,0.0145,4.0,1.5,6.0
random_matched_control,0.1,ecfp_linear,0.0275,6.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.093,3.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.304,2.0,1.0,5.0
random_matched_control,0.1,lgbm_basic,0.1515,2.5,1.0,5.012499999999932
random_matched_control,0.1,torch_mlp_advanced,0.021,4.0,1.5,6.0
random_matched_control,0.1,torch_mlp_basic,0.0215,4.0,1.5,6.0
random_matched_control,0.25,ecfp_linear,0.0265,6.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.094,3.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.307,2.0,1.0,5.0
random_matched_control,0.25,lgbm_basic,0.148,2.5,1.0,5.5
random_matched_control,0.25,torch_mlp_advanced,0.0205,4.0,1.5,6.0
random_matched_control,0.25,torch_mlp_basic,0.0145,4.0,1.5,6.0
random_matched_control,0.5,ecfp_linear,0.029,6.0,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.0815,3.0,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.306,2.0,1.0,5.0
random_matched_control,0.5,lgbm_basic,0.158,2.0,1.0,5.5
random_matched_control,0.5,torch_mlp_advanced,0.022,4.0,1.5,6.0
random_matched_control,0.5,torch_mlp_basic,0.0155,4.0,1.5,6.0
random_matched_control,0.75,ecfp_linear,0.0225,6.0,1.5,6.0
random_matched_control,0.75,ecfp_rf,0.089,3.0,1.0,6.0
random_matched_control,0.75,lgbm_advanced,0.3015,2.0,1.0,5.0
random_matched_control,0.75,lgbm_basic,0.153,2.0,1.0,5.5
random_matched_control,0.75,torch_mlp_advanced,0.013,4.0,1.5,6.0
random_matched_control,0.75,torch_mlp_basic,0.0195,4.0,1.5,6.0
random_matched_control,observed,ecfp_linear,0.0205,6.0,1.5,6.0
random_matched_control,observed,ecfp_rf,0.076,3.0,1.0,6.0
random_matched_control,observed,lgbm_advanced,0.3175,2.0,1.0,5.0
random_matched_control,observed,lgbm_basic,0.1495,2.0,1.0,5.0
random_matched_control,observed,torch_mlp_advanced,0.0195,4.0,1.5,6.0
random_matched_control,observed,torch_mlp_basic,0.0185,4.0,1.5,6.0
