group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,83,-48.05070998983511,-0.5789242167450014,0.6948989602673654
audit_group,near_train_analogue,4,-0.7314122356775528,-0.1828530589193882,0.014998256207012376
audit_group,same_scaffold,46,-59.68378467506244,-1.2974735798926618,0.29010278352562224
clean_vs_nonclean,audit_clean,83,-48.05070998983511,-0.5789242167450014,0.6948989602673654
clean_vs_nonclean,nonclean,50,-60.415196910739986,-1.2083039382147998,0.3051010397326347
max_train_tanimoto_bin,"[0, 0.4)",66,-36.201793895905766,-0.5485120287258449,0.5375631342605705
max_train_tanimoto_bin,"[0.4, 0.6)",38,-44.62536375635679,-1.174351677798863,0.3083381534170097
max_train_tanimoto_bin,"[0.6, 0.8)",24,-18.711808231924856,-0.7796586763302024,0.1391004561154076
max_train_tanimoto_bin,"[0.8, 0.9)",3,-9.14553551160694,-3.0485118372023137,0.006900482415975672
max_train_tanimoto_bin,"[0.9, 1.0]",2,0.21859449521925667,0.10929724760962833,0.008097773791036704
