mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,3.0,3.0,3.0
clean_reference,0.0,ecfp_rf,0.0,5.0,5.0,5.0
clean_reference,0.0,lgbm_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,lgbm_basic,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,torch_mlp_basic,0.0,2.0,2.0,2.0
leakage_curve,0.0,ecfp_linear,0.025,3.5,1.4875000000000007,6.0
leakage_curve,0.0,ecfp_rf,0.031,3.5,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.061,3.5,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.052,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.014,3.0,1.5,5.5
leakage_curve,0.0,torch_mlp_basic,0.054,3.0,1.0,6.0
leakage_curve,0.05,ecfp_linear,0.017,3.5,1.5,6.0
leakage_curve,0.05,ecfp_rf,0.027,3.5,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.067,3.5,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.051,3.5,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.013,3.0,1.5,5.5
leakage_curve,0.05,torch_mlp_basic,0.044,3.0,1.0,6.0
leakage_curve,0.1,ecfp_linear,0.017,3.5,1.5,6.0
leakage_curve,0.1,ecfp_rf,0.031,3.5,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.06,3.5,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.055,3.5,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.009,3.0,1.5,5.512499999999989
leakage_curve,0.1,torch_mlp_basic,0.036,3.0,1.0,6.0
leakage_curve,0.25,ecfp_linear,0.021,3.5,1.5,5.512499999999989
leakage_curve,0.25,ecfp_rf,0.029,3.5,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.039,3.5,1.0,6.0
leakage_curve,0.25,lgbm_basic,0.045,3.5,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.005,3.0,1.5,6.0
leakage_curve,0.25,torch_mlp_basic,0.028,3.0,1.0,6.0
leakage_curve,0.5,ecfp_linear,0.012,3.5,1.5,5.5
leakage_curve,0.5,ecfp_rf,0.02,4.0,1.5,6.0
leakage_curve,0.5,lgbm_advanced,0.036,3.5,1.0,6.0
leakage_curve,0.5,lgbm_basic,0.026,3.5,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.004,3.0,1.5,6.0
leakage_curve,0.5,torch_mlp_basic,0.021,3.0,1.5,6.0
leakage_curve,0.75,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.75,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.75,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.75,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.75,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.75,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,observed,ecfp_linear,0.014,3.5,1.5,6.0
leakage_curve,observed,ecfp_rf,0.041,3.5,1.0,6.0
leakage_curve,observed,lgbm_advanced,0.075,3.5,1.0,6.0
leakage_curve,observed,lgbm_basic,0.051,3.5,1.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.016,3.0,1.5,5.5
leakage_curve,observed,torch_mlp_basic,0.044,3.0,1.0,6.0
observed_composition,observed,ecfp_linear,0.0,3.0,3.0,3.0
observed_composition,observed,ecfp_rf,0.0,5.0,5.0,5.0
observed_composition,observed,lgbm_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,lgbm_basic,0.0,6.0,6.0,6.0
observed_composition,observed,torch_mlp_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_basic,1.0,1.0,1.0,1.0
random_matched_control,0.0,ecfp_linear,0.009,3.5,1.5,6.0
random_matched_control,0.0,ecfp_rf,0.029,3.5,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.067,3.5,1.0,6.0
