mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.06078431372549021,0.0607843137254902,0.0607843137254902,0.0607843137254902,1.0
leakage_curve,0.0,0.06910000000000001,0.0,-0.4,0.6000000000000001,0.41
leakage_curve,0.05,0.057699999999999994,0.0,-0.6,0.6000000000000001,0.38
leakage_curve,0.1,0.052599999999999994,0.0,-0.40499999999999975,0.6000000000000001,0.403
leakage_curve,0.25,0.054599999999999996,0.0,-0.4,0.6000000000000001,0.411
leakage_curve,0.5,0.05219999999999999,0.0,-0.4,0.6,0.44
leakage_curve,0.75,,,,,0.0
leakage_curve,observed,0.060300000000000006,0.0,-0.4,0.6000000000000001,0.394
observed_composition,observed,0.032890575585072586,0.03289057558507258,0.03289057558507258,0.03289057558507258,1.0
random_matched_control,0.0,0.0475,0.0,-0.4,0.6,0.323
random_matched_control,0.05,0.032,0.0,-0.4,0.6,0.31
random_matched_control,0.1,0.0407,0.0,-0.4,0.6,0.313
random_matched_control,0.25,0.024300000000000006,0.0,-0.4,0.6,0.288
random_matched_control,0.5,0.0415,0.0,-0.4,0.6,0.329
random_matched_control,0.75,0.023900000000000005,0.0,-0.6,0.6,0.292
random_matched_control,observed,0.0296,0.0,-0.4,0.5024999999999977,0.299
