metric,group,label,count,fraction,value
rows_total,,,13127,1.0,13127.0
rows_train,train,,9189,0.7000076178867982,9189.0
rows_valid,valid,,1312,0.09994667479241258,1312.0
rows_test,test,,2626,0.20004570732078922,2626.0
valid_molecules,,,13127,1.0,13127.0
test_label_conflicts,,,3,0.0011424219345011425,3.0
exact_test_leaks,,,18,0.006854531607006854,18.0
near_train_analogues,,,244,0.09291698400609291,244.0
same_scaffold_test_molecules,,,1160,0.44173648134044174,1160.0
audit_clean_test_molecules,,,1402,0.5338918507235338,1402.0
audit_group_count,audit_clean,,1402,0.5338918507235338,1402.0
audit_group_count,same_scaffold,,980,0.3731911652703732,980.0
audit_group_count,near_train_analogue,,226,0.08606245239908607,226.0
audit_group_count,exact_leak,,15,0.0057121096725057125,15.0
audit_group_count,label_conflict,,3,0.0011424219345011425,3.0
label_distribution_by_audit_group,audit_clean,0.0,1128,0.8045649072753209,1128.0
label_distribution_by_audit_group,audit_clean,1.0,274,0.19543509272467904,274.0
label_distribution_by_audit_group,exact_leak,0.0,12,0.8,12.0
label_distribution_by_audit_group,exact_leak,1.0,3,0.2,3.0
label_distribution_by_audit_group,label_conflict,0.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,label_conflict,1.0,2,0.6666666666666666,2.0
label_distribution_by_audit_group,near_train_analogue,0.0,206,0.911504424778761,206.0
label_distribution_by_audit_group,near_train_analogue,1.0,20,0.08849557522123894,20.0
label_distribution_by_audit_group,same_scaffold,0.0,791,0.8071428571428572,791.0
label_distribution_by_audit_group,same_scaffold,1.0,189,0.19285714285714287,189.0
